date,MOAT_HEDGED_2022_Q2,meta
2022-06-03 00:00:00,81.49331820630118,
2022-06-03 10:00:00,97.06039782121775,
2022-06-03 10:30:00,80.74567805300813,
2022-06-03 12:00:00,85.06559038376832,
2022-06-03 13:30:00,81.64121855292979,
2022-06-03 15:00:00,74.18477489835556,
2022-06-03 15:30:30,74.18477489835556,
2022-06-03 23:59:59,73.4518580239594,w
2022-06-06 00:00:00,87.00128468137962,
2022-06-06 10:00:00,111.45673927043072,
2022-06-06 10:30:00,102.55569378329983,
2022-06-06 12:00:00,80.87834950205229,
2022-06-06 13:30:00,75.88246842888202,
2022-06-06 15:00:00,68.096231104443,
2022-06-06 15:30:30,68.096231104443,
2022-06-06 23:59:59,61.88562682115713,c
2022-06-07 00:00:00,47.80455101929675,
2022-06-07 10:00:00,48.521522420762324,
2022-06-07 10:30:00,48.31348240847677,
2022-06-07 12:00:00,41.8993148439107,
2022-06-07 13:30:00,28.386448187435803,
2022-06-07 15:00:00,16.78888218606653,
2022-06-07 15:30:30,16.78888218606653,s
2022-06-07 23:59:59,16.124484833687063,c
2022-06-08 00:00:00,12.193105488491824,
2022-06-08 10:00:00,33.63810690534979,
2022-06-08 10:30:00,35.95302872352079,
2022-06-08 12:00:00,42.711959588357445,
2022-06-08 13:30:00,43.645690816086415,
2022-06-08 15:00:00,35.672679988542484,
2022-06-08 15:30:30,35.672679988542484,
2022-06-08 23:59:59,35.63974467868678,c
2022-06-09 00:00:00,36.277054225885706,
2022-06-09 10:00:00,45.954005416148846,
2022-06-09 10:30:00,53.39863486277267,
2022-06-09 12:00:00,62.44737946537191,
2022-06-09 13:30:00,73.89186746850828,
2022-06-09 15:00:00,62.74671242201663,
2022-06-09 15:30:30,62.74671242201663,
2022-06-09 23:59:59,76.09887528699988,c
2022-06-10 00:00:00,52.77496002660877,
2022-06-10 10:00:00,21.385502393622573,
2022-06-10 10:30:00,18.605028556209106,
2022-06-10 12:00:00,16.458070177606032,
2022-06-10 13:30:00,10.795741525808808,
2022-06-10 15:00:00,4.419903934248794,
2022-06-10 15:30:30,4.419903934248794,
2022-06-10 23:59:59,0.0,a
2022-06-13 00:00:00,-2.2225928254483733,
2022-06-13 10:00:00,9.836361459706154,
2022-06-13 10:30:00,14.034558933700794,
2022-06-13 12:00:00,11.725529505473105,
2022-06-13 13:30:00,36.937296353945214,
2022-06-13 15:00:00,38.49950969063616,
2022-06-13 15:30:30,38.49950969063616,
2022-06-13 23:59:59,37.56862745097959,c
2022-06-14 00:00:00,34.61988971151192,
2022-06-14 10:00:00,13.71475314388232,
2022-06-14 10:30:00,11.573235963423713,
2022-06-14 12:00:00,41.16607424539603,
2022-06-14 13:30:00,44.55257330565695,
2022-06-14 15:00:00,32.34510495368096,
2022-06-14 15:30:30,32.34510495368096,
2022-06-14 23:59:59,19.485826362646037,c
2022-06-15 00:00:00,36.32917997503614,
2022-06-15 10:00:00,28.706687464068295,
2022-06-15 10:30:00,25.41322527077483,
2022-06-15 12:00:00,42.28263644894105,
2022-06-15 13:30:00,50.08414096810503,
2022-06-15 15:00:00,72.5340805927109,
2022-06-15 15:30:30,72.5340805927109,
2022-06-15 23:59:59,72.42783712588835,c
2022-06-16 00:00:00,54.480876124194424,
2022-06-16 10:00:00,57.641983765119676,
2022-06-16 10:30:00,48.298063583896976,
2022-06-16 12:00:00,50.47995125710156,
2022-06-16 13:30:00,60.059640099733485,
2022-06-16 15:00:00,57.30295149751083,
2022-06-16 15:30:30,57.30295149751083,
2022-06-16 23:59:59,63.282314111236076,c
2022-06-17 00:00:00,39.39182123535403,
2022-06-17 10:00:00,57.22890430907114,
2022-06-17 10:30:00,44.590518134305,
2022-06-17 12:00:00,54.95671738273808,
2022-06-17 13:30:00,65.17642534880002,
2022-06-17 15:00:00,35.53887644068135,
2022-06-17 15:30:30,35.53887644068135,
2022-06-17 23:59:59,-9.950771547948932,e
2022-06-20 00:00:00,-9.950771547948932,
2022-06-20 10:00:00,-9.950771547948932,
2022-06-20 10:30:00,-9.950771547948932,
2022-06-20 12:00:00,-9.950771547948932,
2022-06-20 13:30:00,-9.950771547948932,
2022-06-20 15:00:00,-9.950771547948932,
2022-06-20 15:30:30,-9.950771547948932,
2022-06-20 23:59:59,-9.950771547948932,c
2022-06-21 00:00:00,-18.068987637650196,
2022-06-21 10:00:00,-6.809644410007593,
2022-06-21 10:30:00,-20.188518885498297,
2022-06-21 12:00:00,-43.618765111219375,
2022-06-21 13:30:00,-68.64499918968437,
2022-06-21 15:00:00,-91.81482347657942,
2022-06-21 15:30:30,-91.81482347657942,
2022-06-21 23:59:59,-91.51839127960454,c
2022-06-22 00:00:00,-109.59379525571484,
2022-06-22 10:00:00,-54.354918603577175,
2022-06-22 10:30:00,-43.75171063252304,
2022-06-22 12:00:00,-53.30481383997807,
2022-06-22 13:30:00,-41.83576098451795,
2022-06-22 15:00:00,-35.8881014924051,
2022-06-22 15:30:30,-35.8881014924051,
2022-06-22 23:59:59,-38.68484409952504,c
2022-06-23 00:00:00,-19.328664496692966,
2022-06-23 10:00:00,-48.82618382512794,
2022-06-23 10:30:00,-49.85129182693862,
2022-06-23 12:00:00,-24.62955858627373,
2022-06-23 13:30:00,-36.86454840512988,
