date,CAD_BBCA_2022_Q3,meta
2022-09-09 00:00:00,-9.637234115234662,
2022-09-09 10:00:00,-41.66131021082367,
2022-09-09 10:30:00,-32.15219235130377,
2022-09-09 12:00:00,-27.493754955426198,
2022-09-09 13:30:00,-9.18142355486134,
2022-09-09 15:00:00,-1.733791034310741,
2022-09-09 15:30:30,-1.733791034310741,
2022-09-09 23:59:59,0.0,a
2022-09-12 00:00:00,0.0,
2022-09-12 10:00:00,14.622055228716363,
2022-09-12 10:30:00,16.829682141877072,
2022-09-12 12:00:00,50.9840596007063,
2022-09-12 13:30:00,16.809027939267366,
2022-09-12 15:00:00,11.626893795057924,
2022-09-12 15:30:30,11.626893795057924,
2022-09-12 23:59:59,24.609563804091238,c
2022-09-13 00:00:00,25.57476654507974,
2022-09-13 10:00:00,17.027311973813994,
2022-09-13 10:30:00,38.275869566216045,
2022-09-13 12:00:00,38.924563543703414,
2022-09-13 13:30:00,43.26247044772725,
2022-09-13 15:00:00,53.534189803748234,
2022-09-13 15:30:30,53.534189803748234,
2022-09-13 23:59:59,54.04323647702438,c
2022-09-14 00:00:00,75.44972862260931,
2022-09-14 10:00:00,47.08649671452514,
2022-09-14 10:30:00,53.26529656801455,
2022-09-14 12:00:00,49.99033256284713,
2022-09-14 13:30:00,33.264856431200826,
2022-09-14 15:00:00,45.48852021188026,
2022-09-14 15:30:30,45.48852021188026,
2022-09-14 23:59:59,54.86075841550473,c
2022-09-15 00:00:00,61.173400976516575,
2022-09-15 10:00:00,51.789248927997676,
2022-09-15 10:30:00,46.75426783773213,
2022-09-15 12:00:00,45.72241515926606,
2022-09-15 13:30:00,45.15023001886266,
2022-09-15 15:00:00,33.20749607663663,
2022-09-15 15:30:30,33.20749607663663,
2022-09-15 23:59:59,46.66733365611145,c
2022-09-16 00:00:00,46.66733365611145,
2022-09-16 10:00:00,4.833966694127469,
2022-09-16 10:30:00,-0.1160775353288841,
2022-09-16 12:00:00,1.589005017208592,
2022-09-16 13:30:00,14.767883559817676,
2022-09-16 15:00:00,13.066139363972468,
2022-09-16 15:30:30,13.066139363972468,
2022-09-16 23:59:59,10.629946598983395,e
2022-09-19 00:00:00,-1.4904822561068158,
2022-09-19 10:00:00,9.159353903701287,
2022-09-19 10:30:00,-2.2870238028172025,
2022-09-19 12:00:00,1.6321991857616922,
2022-09-19 13:30:00,-12.48479547212554,
2022-09-19 15:00:00,-10.04467556927409,
2022-09-19 15:30:30,-10.04467556927409,
2022-09-19 23:59:59,-1.7441993744955653,c
2022-09-20 00:00:00,2.026359133912308,
2022-09-20 10:00:00,-16.88932187493492,
2022-09-20 10:30:00,-4.235977524764223,
2022-09-20 12:00:00,1.405490057497218,
2022-09-20 13:30:00,-20.816470556600336,
2022-09-20 15:00:00,-20.188112909920733,
2022-09-20 15:30:30,-20.188112909920733,
2022-09-20 23:59:59,-34.30410223094526,c
2022-09-21 00:00:00,-38.34689410881782,
2022-09-21 10:00:00,-39.465346892548496,
2022-09-21 10:30:00,-43.98344458047626,
2022-09-21 12:00:00,-26.751439072338712,
2022-09-21 13:30:00,-38.02049040920184,
2022-09-21 15:00:00,-43.001666096474764,
2022-09-21 15:30:30,-43.001666096474764,
2022-09-21 23:59:59,-42.07223656914317,c
2022-09-22 00:00:00,-56.63427826669766,
2022-09-22 10:00:00,-105.12947771077884,
2022-09-22 10:30:00,-104.80134233795906,
2022-09-22 12:00:00,-101.41071214890994,
2022-09-22 13:30:00,-127.41523918315693,
