date,DW_2021_Q4,meta
2021-12-24 10:30:00,-0.030146233136694178,
2021-12-24 12:00:00,-0.026283853401380952,
2021-12-24 13:30:00,-0.026283853401380952,
2021-12-24 15:00:00,-0.026283853401380952,
2021-12-24 15:30:30,-0.026283853401380952,s
2021-12-24 23:59:59,0.0,a
2021-12-27 00:00:00,18.52820585871773,
2021-12-27 10:00:00,49.28760427380911,
2021-12-27 10:30:00,43.522911315055026,
2021-12-27 12:00:00,69.64002546703925,
2021-12-27 13:30:00,69.4950888233377,
2021-12-27 15:00:00,77.58348804082297,
2021-12-27 15:30:30,77.58348804082297,
2021-12-27 23:59:59,86.13840282447244,c
2021-12-28 00:00:00,98.80811454951828,
2021-12-28 10:00:00,114.7686204561542,
2021-12-28 10:30:00,114.40818958806805,
2021-12-28 12:00:00,148.06154445029483,
2021-12-28 13:30:00,151.38729415616677,
2021-12-28 15:00:00,155.8678254504511,
2021-12-28 15:30:30,155.8678254504511,
2021-12-28 23:59:59,159.6856875952887,c
2021-12-29 00:00:00,158.0267569380528,
2021-12-29 10:00:00,208.88342659668479,
2021-12-29 10:30:00,194.27014719340417,
2021-12-29 12:00:00,173.375015125091,
2021-12-29 13:30:00,170.66945856829665,
2021-12-29 15:00:00,167.2058449807596,
2021-12-29 15:30:30,167.2058449807596,
2021-12-29 23:59:59,177.76362053292985,c
2021-12-30 00:00:00,180.53567204361286,
2021-12-30 10:00:00,150.02260583224125,
2021-12-30 10:30:00,146.07118020468482,
2021-12-30 12:00:00,120.38597037497549,
2021-12-30 13:30:00,112.52514043538483,
2021-12-30 15:00:00,124.00570211500573,
2021-12-30 15:30:30,124.00570211500573,
2021-12-30 23:59:59,130.82238745300805,c
2021-12-31 00:00:00,137.48219867782691,
2021-12-31 10:00:00,126.38397095016596,
2021-12-31 10:30:00,140.90166444169887,
2021-12-31 12:00:00,132.58102050845736,
2021-12-31 13:30:00,154.17161690176573,
2021-12-31 15:00:00,153.77779074722957,
2021-12-31 15:30:30,153.77779074722957,
2021-12-31 23:59:59,151.09989345002361,e
2022-01-03 00:00:00,135.90994401374508,
2022-01-03 10:00:00,157.4660344226096,
2022-01-03 10:30:00,129.211855103158,
2022-01-03 12:00:00,136.07228124524454,
2022-01-03 13:30:00,129.7877911639173,
2022-01-03 15:00:00,126.0827276548856,
2022-01-03 15:30:30,126.0827276548856,
2022-01-03 23:59:59,122.03137608180543,c
2022-01-04 00:00:00,135.1081419151622,
