date,EU_FTSE_DM_STAY_2022_Q4,meta
2022-10-28 10:30:00,47.56522325198537,
2022-10-28 11:00:00,53.53954805880804,
2022-10-28 23:59:59,54.78402699036968,w
2022-10-31 00:00:00,55.90304742445824,
2022-10-31 03:30:00,55.90304742445824,
2022-10-31 04:00:00,55.8695374292887,
2022-10-31 06:00:00,58.88535899122465,
2022-10-31 08:00:00,55.46551084939517,
2022-10-31 10:30:00,50.021990802826224,
2022-10-31 11:00:00,47.42589365924471,
2022-10-31 23:59:59,49.628368116417676,c
2022-11-01 00:00:00,49.84575272491233,
2022-11-01 03:30:00,49.84575272491233,
2022-11-01 04:00:00,49.84575272491233,
2022-11-01 06:00:00,36.63296892646463,
2022-11-01 08:00:00,45.810147297092215,
2022-11-01 10:30:00,43.94840284833015,
2022-11-01 11:00:00,51.41766298100967,
2022-11-01 23:59:59,46.8655859046024,c
2022-11-02 00:00:00,56.857744861496315,
2022-11-02 03:30:00,56.857744861496315,
2022-11-02 04:00:00,56.82935301693354,
2022-11-02 06:00:00,66.51042983744316,
2022-11-02 08:00:00,56.956992676586964,
2022-11-02 10:30:00,66.27606588635368,
2022-11-02 11:00:00,60.35597201582115,
2022-11-02 23:59:59,56.80501421574206,c
2022-11-03 00:00:00,60.71595892335341,
2022-11-03 03:30:00,60.71595892335341,
2022-11-03 04:00:00,60.71089568873995,
2022-11-03 06:00:00,61.16766191657149,
2022-11-03 08:00:00,61.912778877065676,
2022-11-03 10:30:00,63.2355368879511,
2022-11-03 11:00:00,59.30996037760113,
2022-11-03 23:59:59,67.02678968488556,c
2022-11-04 00:00:00,63.25928430473087,
2022-11-04 03:30:00,63.25928430473087,
2022-11-04 04:00:00,63.25928430473087,
2022-11-04 06:00:00,43.55509715101752,
2022-11-04 08:00:00,34.62364643893824,
2022-11-04 10:30:00,35.04849436093025,
2022-11-04 11:00:00,32.10666821897712,
2022-11-04 23:59:59,31.042073802975523,w
2022-11-07 00:00:00,40.53640512159038,
2022-11-07 03:30:00,38.82102346206938,
2022-11-07 04:00:00,32.04831089835588,
2022-11-07 06:00:00,37.230770989725926,
2022-11-07 08:00:00,27.506344671747968,
2022-11-07 10:30:00,26.10254319154896,
2022-11-07 11:00:00,22.913392451889422,
2022-11-07 23:59:59,23.122180204533635,c
2022-11-08 00:00:00,15.800560708591206,
2022-11-08 03:30:00,20.07177471017647,
2022-11-08 04:00:00,19.036806923534158,
2022-11-08 06:00:00,14.512573881417296,
2022-11-08 08:00:00,11.847532284477097,
2022-11-08 10:30:00,14.47148455056842,
2022-11-08 11:00:00,11.210874877039146,
2022-11-08 23:59:59,16.417623041451208,c
2022-11-09 00:00:00,6.455596380156749,
2022-11-09 03:30:00,8.142227709432717,
2022-11-09 04:00:00,4.6636307425942505,
2022-11-09 06:00:00,6.516952540832563,
2022-11-09 08:00:00,3.0159169985250287,
2022-11-09 10:30:00,-4.059132384657602,
2022-11-09 11:00:00,-3.5092301068592064,
2022-11-09 23:59:59,2.0654018608465208,c
2022-11-10 00:00:00,9.706332594545586,
2022-11-10 03:30:00,0.6259497454819041,
2022-11-10 04:00:00,1.2507998904049202,
2022-11-10 06:00:00,10.40235300708386,
