date,KBE_2021_Q1,meta
2021-03-12 10:00:00,-5.146217552006306,
2021-03-12 10:30:00,-26.334944032173098,
2021-03-12 12:00:00,3.614908827549243,
2021-03-12 13:30:00,3.3773980232193708,
2021-03-12 15:00:00,3.759085187629239,
2021-03-12 15:30:30,3.759085187629239,
2021-03-12 23:59:59,0.0,a
2021-03-15 00:00:00,14.27450310501672,
2021-03-15 10:00:00,89.39217151628998,
2021-03-15 10:30:00,89.74022514809201,
2021-03-15 12:00:00,131.3146184172042,
2021-03-15 13:30:00,141.9606258745714,
2021-03-15 15:00:00,159.70820011062608,
2021-03-15 15:30:30,159.70820011062608,
2021-03-15 23:59:59,125.67518130426402,c
2021-03-16 00:00:00,126.03326407037287,
2021-03-16 10:00:00,146.58679991282258,
2021-03-16 10:30:00,186.30716396408695,
2021-03-16 12:00:00,181.57890912397272,
2021-03-16 13:30:00,163.03723680297105,
2021-03-16 15:00:00,127.26510873706684,
2021-03-16 15:30:30,127.26510873706684,
2021-03-16 23:59:59,135.05953787660417,c
2021-03-17 00:00:00,72.15870481877937,
2021-03-17 10:00:00,122.00641382554613,
2021-03-17 10:30:00,134.11097434257374,
2021-03-17 12:00:00,117.60365420132439,
2021-03-17 13:30:00,140.74158408832432,
2021-03-17 15:00:00,191.03376485054787,
2021-03-17 15:30:30,191.03376485054787,
2021-03-17 23:59:59,177.99707756381588,c
2021-03-18 00:00:00,142.6129391035098,
2021-03-18 10:00:00,148.45842224011915,
2021-03-18 10:30:00,108.16227513569493,
2021-03-18 12:00:00,101.0413012587893,
2021-03-18 13:30:00,100.82312912063458,
2021-03-18 15:00:00,53.04165350185042,
2021-03-18 15:30:30,53.04165350185042,
2021-03-18 23:59:59,24.745475024004918,c
2021-03-19 00:00:00,78.27748082012442,
2021-03-19 10:00:00,74.94606141888448,
2021-03-19 10:30:00,88.3199908550182,
2021-03-19 12:00:00,100.51879605210422,
2021-03-19 13:30:00,127.57016937181322,
2021-03-19 15:00:00,98.08492059842126,
2021-03-19 15:30:30,98.08492059842126,
2021-03-19 23:59:59,144.54443369139267,e
2021-03-22 00:00:00,137.340316191513,
2021-03-22 10:00:00,126.72669642705603,
2021-03-22 10:30:00,143.7433109662942,
2021-03-22 12:00:00,132.05683725752965,
2021-03-22 13:30:00,118.01369275890215,
2021-03-22 15:00:00,137.67228815380417,
2021-03-22 15:30:30,137.67228815380417,
2021-03-22 23:59:59,117.32957634237596,c
2021-03-23 00:00:00,137.7285505295847,
2021-03-23 10:00:00,141.0600123980396,
2021-03-23 10:30:00,157.84392318075572,
2021-03-23 12:00:00,147.214704847711,
2021-03-23 13:30:00,130.7138221256049,
2021-03-23 15:00:00,114.75377986896638,
2021-03-23 15:30:30,114.75377986896638,
2021-03-23 23:59:59,103.71010409767632,c
2021-03-24 00:00:00,106.45162605713347,
2021-03-24 10:00:00,94.95794199660315,
2021-03-24 10:30:00,97.99281515462633,
2021-03-24 12:00:00,99.96627639888914,
2021-03-24 13:30:00,73.45041344064191,
2021-03-24 15:00:00,44.6448354313502,
2021-03-24 15:30:30,44.6448354313502,
2021-03-24 23:59:59,35.67096474493303,c
2021-03-25 00:00:00,-28.361335217647934,
2021-03-25 10:00:00,-1.5117796250053743,
2021-03-25 10:30:00,-3.4360908480953185,
2021-03-25 12:00:00,-45.70665862094063,
2021-03-25 13:30:00,-33.57560258360138,
2021-03-25 15:00:00,-32.9205166165998,
2021-03-25 15:30:30,-32.9205166165998,
2021-03-25 23:59:59,-24.157768731704664,c
2021-03-26 00:00:00,-11.353694559380187,
2021-03-26 10:00:00,-26.348346257863227,
2021-03-26 10:30:00,-41.58353205767514,
2021-03-26 12:00:00,-36.961827846880055,
2021-03-26 13:30:00,-26.21234754286263,
2021-03-26 15:00:00,-56.97847359909258,
2021-03-26 15:30:30,-56.97847359909258,
2021-03-26 23:59:59,-59.34397468073587,w
2021-03-29 00:00:00,6.9671607379516445,
2021-03-29 10:00:00,-22.327229423835433,
2021-03-29 10:30:00,-20.147202563001656,
2021-03-29 12:00:00,-29.251399236871634,
2021-03-29 13:30:00,-29.28255049310758,
2021-03-29 15:00:00,-31.493685705436178,
2021-03-29 15:30:30,-31.493685705436178,
2021-03-29 23:59:59,-18.513814720544815,c
2021-03-30 00:00:00,-13.48972403125174,
2021-03-30 10:00:00,-51.48061629949973,
2021-03-30 10:30:00,-41.095196200216265,
2021-03-30 12:00:00,-37.811666100286516,
2021-03-30 13:30:00,-21.34842463161715,
2021-03-30 15:00:00,-18.95165799789504,
2021-03-30 15:30:30,-18.95165799789504,
2021-03-30 23:59:59,-6.121006775398882,c
2021-03-31 00:00:00,-0.6879070461703805,
2021-03-31 10:00:00,-3.0139303120399745,
2021-03-31 10:30:00,-8.100497415846917,
2021-03-31 12:00:00,-3.163853293054899,
2021-03-31 13:30:00,9.373230103043511,
2021-03-31 15:00:00,12.651437220137495,
2021-03-31 15:30:30,12.651437220137495,
2021-03-31 23:59:59,18.87587145938744,c
2021-04-01 00:00:00,51.59406297076259,
2021-04-01 10:00:00,54.8966029109456,
2021-04-01 10:30:00,40.59885334225294,
2021-04-01 12:00:00,4.183909863790859,
2021-04-01 13:30:00,0.08948746622934323,
2021-04-01 15:00:00,12.180456491552263,
2021-04-01 15:30:30,12.180456491552263,
2021-04-01 23:59:59,8.613326548860186,c
2021-04-02 00:00:00,8.613326548860186,
2021-04-02 10:00:00,8.613326548860186,
2021-04-02 10:30:00,8.613326548860186,
2021-04-02 12:00:00,8.613326548860186,
2021-04-02 13:30:00,8.613326548860186,
2021-04-02 15:00:00,8.613326548860186,
2021-04-02 15:30:30,8.613326548860186,
2021-04-02 23:59:59,8.613326548860186,w
