date,EU_FTSE_DM_SC_2023_Q1,meta
2023-01-06 00:00:00,-599.6190320503943,
2023-01-06 03:30:00,-594.636032588771,
2023-01-06 04:00:00,-588.5832382613028,
2023-01-06 06:00:00,-582.6122873288596,
2023-01-06 08:00:00,-556.423428211934,
2023-01-06 10:30:00,-562.6401966518719,
2023-01-06 11:00:00,-572.7187808719461,
2023-01-06 23:59:59,-554.6378906316303,w
2023-01-09 00:00:00,-454.4617291390704,
2023-01-09 03:30:00,-475.671647583274,
2023-01-09 04:00:00,-482.96725679075996,
2023-01-09 06:00:00,-484.43540152546876,
2023-01-09 08:00:00,-473.87459161791764,
2023-01-09 10:30:00,-477.7513845781233,
2023-01-09 11:00:00,-479.21838095023213,
2023-01-09 23:59:59,-485.55255060945024,c
2023-01-10 00:00:00,-483.7186637166701,
2023-01-10 03:30:00,-505.5056864344379,
2023-01-10 04:00:00,-512.5874171041442,
2023-01-10 06:00:00,-488.09765160411007,
2023-01-10 08:00:00,-487.1429797510958,
2023-01-10 10:30:00,-511.1365873304075,
2023-01-10 11:00:00,-509.78597647251615,
2023-01-10 23:59:59,-520.3784016331754,c
2023-01-11 00:00:00,-496.1394625065063,
2023-01-11 03:30:00,-541.3561382736189,
2023-01-11 04:00:00,-522.4167207217067,
2023-01-11 06:00:00,-536.0112673979374,
2023-01-11 08:00:00,-537.596794983788,
2023-01-11 10:30:00,-547.2591491061385,
2023-01-11 11:00:00,-544.0927492609311,
2023-01-11 23:59:59,-527.0584735276921,c
2023-01-12 00:00:00,-536.4186284431587,
2023-01-12 03:30:00,-587.5394524407184,
2023-01-12 04:00:00,-573.3995564125116,
2023-01-12 06:00:00,-561.2538200782672,
2023-01-12 08:00:00,-527.071357501906,
2023-01-12 10:30:00,-515.9294404756976,
2023-01-12 11:00:00,-515.8018625876385,
2023-01-12 23:59:59,-509.9174634624175,c
2023-01-13 00:00:00,-514.057462483408,
2023-01-13 03:30:00,-461.80159729123676,
2023-01-13 04:00:00,-467.543867015743,
2023-01-13 06:00:00,-474.7298372024339,
2023-01-13 08:00:00,-490.554982636128,
2023-01-13 10:30:00,-492.5055784394686,
2023-01-13 11:00:00,-501.63633600648285,
2023-01-13 23:59:59,-491.0326289817727,w
2023-01-16 00:00:00,-477.69661641414507,
2023-01-16 03:30:00,-457.77899073366774,
2023-01-16 04:00:00,-448.67069008154687,
2023-01-16 06:00:00,-446.5047287578887,
2023-01-16 08:00:00,-434.8224583781596,
2023-01-16 10:30:00,-456.1275154673543,
2023-01-16 11:00:00,-461.1839945024286,
2023-01-16 23:59:59,-458.92925443703,c
2023-01-17 00:00:00,-464.3054824241778,
2023-01-17 03:30:00,-465.1998025918167,
2023-01-17 04:00:00,-482.42929780815524,
2023-01-17 06:00:00,-478.0305327828908,
2023-01-17 08:00:00,-488.2287871189061,
2023-01-17 10:30:00,-463.7143245816737,
2023-01-17 11:00:00,-456.555805036701,
2023-01-17 23:59:59,-445.0188920698217,c
2023-01-18 00:00:00,-458.7117412284801,
2023-01-18 03:30:00,-458.40224390703,
2023-01-18 04:00:00,-420.6738395843438,
2023-01-18 06:00:00,-438.1566355823619,
2023-01-18 08:00:00,-432.4258483535409,
2023-01-18 10:30:00,-409.39517717003673,
2023-01-18 11:00:00,-411.6666954199703,
2023-01-18 23:59:59,-395.1993334565416,c
2023-01-19 00:00:00,-416.99389355329004,
2023-01-19 03:30:00,-409.3847602173082,
2023-01-19 04:00:00,-406.2071093242546,
2023-01-19 06:00:00,-374.8324531066845,
2023-01-19 08:00:00,-410.60479776878435,
2023-01-19 10:30:00,-416.09998831558516,
2023-01-19 11:00:00,-411.9603018252502,
2023-01-19 23:59:59,-415.59716771560625,c
2023-01-20 00:00:00,-396.5082432087551,
2023-01-20 03:30:00,-378.8058178583603,
2023-01-20 04:00:00,-374.91508380083155,
2023-01-20 06:00:00,-368.44086356563105,
2023-01-20 08:00:00,-380.45797696728124,
2023-01-20 10:30:00,-355.83693129130836,
2023-01-20 11:00:00,-356.02479363999834,
2023-01-20 23:59:59,-355.64596231716337,w
2023-01-23 00:00:00,-360.8132324000363,
2023-01-23 03:30:00,-382.1066891104324,
2023-01-23 04:00:00,-371.878082125265,
2023-01-23 06:00:00,-400.6347750454479,
2023-01-23 08:00:00,-391.77385878865243,
2023-01-23 10:30:00,-412.3473678942207,
2023-01-23 11:00:00,-406.69436213340015,
2023-01-23 23:59:59,-404.7336678813389,c
2023-01-24 00:00:00,-405.9029420310112,
2023-01-24 03:30:00,-448.14513792794503,
2023-01-24 04:00:00,-461.728965006196,
2023-01-24 06:00:00,-456.18996600487543,
2023-01-24 08:00:00,-454.03681346694697,
2023-01-24 10:30:00,-445.2020301747862,
2023-01-24 11:00:00,-433.79281169071805,
2023-01-24 23:59:59,-416.7331644985371,c
2023-01-25 00:00:00,-407.2786881737237,
2023-01-25 03:30:00,-443.95614383958684,
2023-01-25 04:00:00,-455.58248577781427,
2023-01-25 06:00:00,-470.8882724526157,
2023-01-25 08:00:00,-474.77555574092617,
2023-01-25 10:30:00,-480.8747263732498,
2023-01-25 11:00:00,-477.9911417435952,
2023-01-25 23:59:59,-476.5745044200104,c
2023-01-26 00:00:00,-479.63902155508384,
2023-01-26 03:30:00,-487.74395442308827,
2023-01-26 04:00:00,-490.14722225585564,
2023-01-26 06:00:00,-459.9122980054314,
2023-01-26 08:00:00,-456.4206030177026,
2023-01-26 10:30:00,-430.9370183307576,
2023-01-26 11:00:00,-437.61353018107445,
2023-01-26 23:59:59,-437.4975613869261,c
2023-01-27 00:00:00,-409.2180804574058,
2023-01-27 03:30:00,-423.10687354918434,
2023-01-27 04:00:00,-417.2503287424805,
