date,XOP_WW_2021_Q4,meta
2021-12-03 12:00:00,532.6833510089073,
2021-12-03 13:30:00,519.9705679580284,
2021-12-03 15:00:00,521.8209550580432,
2021-12-03 15:30:30,521.8209550580432,
2021-12-03 23:59:59,511.5801419055115,w
2021-12-06 00:00:00,487.54069797633565,
2021-12-06 10:00:00,567.6997909092324,
2021-12-06 10:30:00,486.07091880283224,
2021-12-06 12:00:00,388.1030409039431,
2021-12-06 13:30:00,322.9442810522569,
2021-12-06 15:00:00,294.59984982313836,
2021-12-06 15:30:30,294.59984982313836,
2021-12-06 23:59:59,304.2959377517136,c
2021-12-07 00:00:00,95.68574638618702,
2021-12-07 10:00:00,162.23937562880656,
2021-12-07 10:30:00,195.68643113873168,
2021-12-07 12:00:00,228.19764176561148,
2021-12-07 13:30:00,142.92755686050077,
2021-12-07 15:00:00,134.8956606139227,
2021-12-07 15:30:30,134.8956606139227,
2021-12-07 23:59:59,180.52366753203296,c
2021-12-08 00:00:00,163.60223936997318,
2021-12-08 10:00:00,150.91457870359045,
2021-12-08 10:30:00,128.83800202863404,
2021-12-08 12:00:00,83.0180110634683,
2021-12-08 13:30:00,82.92456620152643,
2021-12-08 15:00:00,44.22261924317718,
2021-12-08 15:30:30,44.22261924317718,
2021-12-08 23:59:59,35.54293180674904,c
2021-12-09 00:00:00,61.23096817286296,
2021-12-09 10:00:00,87.4680268147822,
2021-12-09 10:30:00,94.63487944825556,
2021-12-09 12:00:00,31.22819125299884,
2021-12-09 13:30:00,27.701900900819965,
2021-12-09 15:00:00,58.37809677257246,
2021-12-09 15:30:30,58.37809677257246,
2021-12-09 23:59:59,54.43923181219088,c
2021-12-10 00:00:00,18.951956332002737,
2021-12-10 10:00:00,121.19970978184301,
2021-12-10 10:30:00,35.98178792590352,
2021-12-10 12:00:00,18.297708129526654,
2021-12-10 13:30:00,-9.040638125034093,
2021-12-10 15:00:00,-10.081982497363242,
2021-12-10 15:30:30,-10.081982497363242,
2021-12-10 23:59:59,0.0,a
2021-12-13 00:00:00,28.069344511128293,
2021-12-13 10:00:00,91.04526812204404,
2021-12-13 10:30:00,125.4800120283744,
2021-12-13 12:00:00,166.5317127972321,
2021-12-13 13:30:00,215.97859321055057,
2021-12-13 15:00:00,199.28281984857404,
2021-12-13 15:30:30,199.28281984857404,
2021-12-13 23:59:59,250.25525994909094,c
2021-12-14 00:00:00,270.72284209564805,
2021-12-14 10:00:00,204.77290374866607,
2021-12-14 10:30:00,126.49908248820884,
2021-12-14 12:00:00,218.05664991695903,
2021-12-14 13:30:00,219.25022135745803,
2021-12-14 15:00:00,197.9365968076745,
2021-12-14 15:30:30,197.9365968076745,
2021-12-14 23:59:59,236.1595054309355,c
2021-12-15 00:00:00,249.5483052704858,
2021-12-15 10:00:00,252.6630853459783,
2021-12-15 10:30:00,307.0702359737552,
2021-12-15 12:00:00,287.059880572001,
2021-12-15 13:30:00,258.97528990144656,
2021-12-15 15:00:00,182.13567150480958,
2021-12-15 15:30:30,182.13567150480958,
2021-12-15 23:59:59,143.26286600062667,c
2021-12-16 00:00:00,87.2052392554433,
2021-12-16 10:00:00,44.02932431236604,
2021-12-16 10:30:00,28.206172160312235,
2021-12-16 12:00:00,103.73683351895215,
2021-12-16 13:30:00,176.61734122312464,
2021-12-16 15:00:00,221.19089764285673,
2021-12-16 15:30:30,221.19089764285673,
2021-12-16 23:59:59,254.2975544600913,c
2021-12-17 00:00:00,263.6258614312792,
2021-12-17 10:00:00,340.9323841432997,
2021-12-17 10:30:00,314.8932561935944,
2021-12-17 12:00:00,226.1143980591405,
2021-12-17 13:30:00,266.56785739583484,
2021-12-17 15:00:00,183.4236626190941,
2021-12-17 15:30:30,183.4236626190941,
2021-12-17 23:59:59,78.11483356658482,e
2021-12-20 00:00:00,196.02705905091716,
2021-12-20 10:00:00,504.2486510546332,
2021-12-20 10:30:00,480.9926258954865,
2021-12-20 12:00:00,505.62146939196646,
2021-12-20 13:30:00,440.7662886354374,
2021-12-20 15:00:00,408.7078055428892,
2021-12-20 15:30:30,408.7078055428892,
2021-12-20 23:59:59,437.82450181847435,c
2021-12-21 00:00:00,355.37308908771047,
2021-12-21 10:00:00,350.7753064804174,
2021-12-21 10:30:00,281.2633756050591,
2021-12-21 12:00:00,287.11056490581814,
2021-12-21 13:30:00,271.02374662289094,
2021-12-21 15:00:00,279.11048861922427,
2021-12-21 15:30:30,279.11048861922427,
2021-12-21 23:59:59,251.56727603700438,c
2021-12-22 00:00:00,257.6596664852732,
2021-12-22 10:00:00,380.58287466786624,
2021-12-22 10:30:00,356.24580948011044,
2021-12-22 12:00:00,232.21678284658265,
2021-12-22 13:30:00,255.69442464202075,
2021-12-22 15:00:00,297.91920167492754,
2021-12-22 15:30:30,297.91920167492754,
2021-12-22 23:59:59,303.35041809201175,c
2021-12-23 00:00:00,283.3354073399587,
2021-12-23 10:00:00,327.64967210951,
2021-12-23 10:30:00,347.797035961471,
2021-12-23 12:00:00,344.34455918543154,
2021-12-23 13:30:00,331.65663434053295,
2021-12-23 15:00:00,349.8483060406188,
2021-12-23 15:30:30,349.8483060406188,
2021-12-23 23:59:59,367.20989629559244,c
2021-12-24 00:00:00,367.20989629559244,
2021-12-24 10:00:00,367.20989629559244,
2021-12-24 10:30:00,367.20989629559244,
2021-12-24 12:00:00,367.20989629559244,
2021-12-24 13:30:00,367.20989629559244,
2021-12-24 15:00:00,367.20989629559244,
2021-12-24 15:30:30,367.20989629559244,
2021-12-24 23:59:59,367.20989629559244,w
2021-12-27 00:00:00,315.6150505828091,
2021-12-27 10:00:00,378.6050116628812,
2021-12-27 10:30:00,340.1858909865068,
2021-12-27 12:00:00,274.7614121111219,
2021-12-27 13:30:00,285.6248825819803,
2021-12-27 15:00:00,252.68832737608864,
2021-12-27 15:30:30,252.68832737608864,
2021-12-27 23:59:59,237.13291835275322,c
2021-12-28 00:00:00,239.2623054587475,
2021-12-28 10:00:00,223.94118140421415,
2021-12-28 10:30:00,265.1342534913492,
2021-12-28 12:00:00,328.99367897598404,
2021-12-28 13:30:00,327.82677993792186,
2021-12-28 15:00:00,312.95715937492514,
2021-12-28 15:30:30,312.95715937492514,
2021-12-28 23:59:59,330.76007512139404,c
2021-12-29 00:00:00,307.8103911804483,
2021-12-29 10:00:00,354.2764280676374,
2021-12-29 10:30:00,326.64937763568287,
2021-12-29 12:00:00,339.4213022300173,
2021-12-29 13:30:00,322.69083036240863,
2021-12-29 15:00:00,329.1195020139621,
2021-12-29 15:30:30,329.1195020139621,
2021-12-29 23:59:59,319.9980514022245,c
2021-12-30 00:00:00,325.5937305350453,
2021-12-30 10:00:00,269.5454638894762,
2021-12-30 10:30:00,289.2647314990363,
2021-12-30 12:00:00,316.6037310489319,
2021-12-30 13:30:00,287.68299857136117,
2021-12-30 15:00:00,323.7475419166158,
2021-12-30 15:30:30,323.7475419166158,
2021-12-30 23:59:59,393.2083704091301,c
2021-12-31 00:00:00,416.0322314172954,
2021-12-31 10:00:00,371.6283567622813,
2021-12-31 10:30:00,381.74613264576146,
2021-12-31 12:00:00,364.1369028198933,
2021-12-31 13:30:00,386.1468326252807,
2021-12-31 15:00:00,411.0253627256716,
2021-12-31 15:30:30,411.0253627256716,
2021-12-31 23:59:59,426.33620634132967,w
