date,XIND_2022_Q2,meta
2022-05-20 00:00:00,268.9903012146073,
2022-05-20 10:00:00,257.72363919948356,
2022-05-20 10:30:00,248.89088788030784,
2022-05-20 12:00:00,197.02395888558306,
2022-05-20 13:30:00,157.97512101928322,
2022-05-20 15:00:00,189.0677741931733,
2022-05-20 15:30:30,189.0677741931733,
2022-05-20 23:59:59,214.8043158389998,w
2022-05-23 00:00:00,219.44645384365725,
2022-05-23 10:00:00,204.4432488764756,
2022-05-23 10:30:00,208.2190222441797,
2022-05-23 12:00:00,213.1336276525539,
2022-05-23 13:30:00,191.53050352168725,
2022-05-23 15:00:00,202.8215559369848,
2022-05-23 15:30:30,202.8215559369848,
2022-05-23 23:59:59,205.2733606044315,c
2022-05-24 00:00:00,153.97048852749253,
2022-05-24 10:00:00,131.47257784137418,
2022-05-24 10:30:00,146.19643305074106,
2022-05-24 12:00:00,156.1788488800878,
2022-05-24 13:30:00,119.00514004297452,
2022-05-24 15:00:00,107.44242706135725,
2022-05-24 15:30:30,107.44242706135725,
2022-05-24 23:59:59,94.74775885182578,c
2022-05-25 00:00:00,74.99180410698608,
2022-05-25 10:00:00,86.76874232881988,
2022-05-25 10:30:00,81.34324803770897,
2022-05-25 12:00:00,83.31263755628044,
2022-05-25 13:30:00,86.7680489972102,
2022-05-25 15:00:00,84.0538268045674,
2022-05-25 15:30:30,84.0538268045674,
2022-05-25 23:59:59,81.52683583491938,c
2022-05-26 00:00:00,85.17956813423132,
2022-05-26 10:00:00,65.66252745384065,
2022-05-26 10:30:00,90.61118631852878,
2022-05-26 12:00:00,92.46026588926418,
2022-05-26 13:30:00,83.1924563366075,
2022-05-26 15:00:00,103.32035828296341,
2022-05-26 15:30:30,103.32035828296341,
2022-05-26 23:59:59,91.00323900812941,c
2022-05-27 00:00:00,121.50568008134718,
2022-05-27 10:00:00,165.81484300512267,
2022-05-27 10:30:00,182.0738982921677,
2022-05-27 12:00:00,184.62937651108564,
2022-05-27 13:30:00,205.37298228276285,
2022-05-27 15:00:00,210.18999598356044,
2022-05-27 15:30:30,210.18999598356044,
2022-05-27 23:59:59,213.58210689276376,w
2022-05-30 00:00:00,213.58210689276376,
2022-05-30 10:00:00,213.58210689276376,
2022-05-30 10:30:00,213.58210689276376,
2022-05-30 12:00:00,213.58210689276376,
2022-05-30 13:30:00,213.58210689276376,
2022-05-30 15:00:00,213.58210689276376,
2022-05-30 15:30:30,213.58210689276376,
2022-05-30 23:59:59,213.58210689276376,c
2022-05-31 00:00:00,259.1189541579308,
2022-05-31 10:00:00,202.82013943303815,
2022-05-31 10:30:00,188.64591725792974,
2022-05-31 12:00:00,191.02127938223657,
2022-05-31 13:30:00,190.7923689433897,
2022-05-31 15:00:00,148.28464691365656,
2022-05-31 15:30:30,148.28464691365656,s
2022-05-31 23:59:59,163.5746624335212,c
2022-06-01 00:00:00,163.88908344879047,
2022-06-01 10:00:00,168.79494539919824,
2022-06-01 10:30:00,163.78320759991686,
2022-06-01 12:00:00,117.72819354894574,
2022-06-01 13:30:00,110.21445227206283,
2022-06-01 15:00:00,133.00131005499014,
2022-06-01 15:30:30,133.00131005499014,
2022-06-01 23:59:59,124.00055703977495,c
2022-06-02 00:00:00,131.43802637253765,
2022-06-02 10:00:00,165.6689709483063,
2022-06-02 10:30:00,180.06776570998483,
2022-06-02 12:00:00,256.72061519273217,
2022-06-02 13:30:00,269.6252511885477,
2022-06-02 15:00:00,256.147755682095,
2022-06-02 15:30:30,256.147755682095,
2022-06-02 23:59:59,264.3667128174348,c
2022-06-03 00:00:00,246.73986594104935,
2022-06-03 10:00:00,255.4578071129426,
2022-06-03 10:30:00,223.9656062358162,
2022-06-03 12:00:00,221.6210369659886,
2022-06-03 13:30:00,207.54593880030478,
2022-06-03 15:00:00,209.45380734847885,
2022-06-03 15:30:30,209.45380734847885,
2022-06-03 23:59:59,212.61027276567341,w
2022-06-06 00:00:00,265.42823896443036,
2022-06-06 10:00:00,165.5934447963794,
2022-06-06 10:30:00,191.66477978786088,
2022-06-06 12:00:00,190.91140249168524,
2022-06-06 13:30:00,167.5687347802579,
2022-06-06 15:00:00,165.42791430680398,
2022-06-06 15:30:30,165.42791430680398,
2022-06-06 23:59:59,170.3672237603447,c
2022-06-07 00:00:00,100.19114029549678,
2022-06-07 10:00:00,125.69089932078117,
2022-06-07 10:30:00,117.20347713053775,
2022-06-07 12:00:00,84.20761537162429,
2022-06-07 13:30:00,70.55472568885978,
2022-06-07 15:00:00,125.53796827061257,
2022-06-07 15:30:30,125.53796827061257,u
2022-06-07 23:59:59,139.14169120725364,c
2022-06-08 00:00:00,138.0503070286391,
2022-06-08 10:00:00,156.71290324263435,
2022-06-08 10:30:00,139.35656621933833,
2022-06-08 12:00:00,180.24514773547116,
2022-06-08 13:30:00,159.35463904727953,
2022-06-08 15:00:00,145.05876194131537,
2022-06-08 15:30:30,145.05876194131537,
2022-06-08 23:59:59,144.19723568659185,c
2022-06-09 00:00:00,129.53847725518267,
2022-06-09 10:00:00,70.32463062187668,
2022-06-09 10:30:00,68.79982870133773,
2022-06-09 12:00:00,35.88010729292313,
2022-06-09 13:30:00,49.606356442425806,
2022-06-09 15:00:00,26.242832139858365,
2022-06-09 15:30:30,26.242832139858365,
2022-06-09 23:59:59,13.476399549139217,c
2022-06-10 00:00:00,-0.07651837622751145,
2022-06-10 10:00:00,-9.729956534999587,
2022-06-10 10:30:00,-20.738677086858956,
2022-06-10 12:00:00,-15.629697301753424,
2022-06-10 13:30:00,-22.02328455322572,
