date,QCLN_2021_Q2,meta
2021-05-21 00:00:00,-1545.6974068607608,
2021-05-21 10:00:00,-1626.0134660344695,
2021-05-21 10:30:00,-1636.1724560739758,
2021-05-21 12:00:00,-1641.8127837216723,
2021-05-21 13:30:00,-1591.6580117359294,
2021-05-21 15:00:00,-1617.387432927642,
2021-05-21 15:30:30,-1617.387432927642,
2021-05-21 23:59:59,-1629.872870309205,w
2021-05-24 00:00:00,-1658.0222081256268,
2021-05-24 10:00:00,-1651.3128975128673,
2021-05-24 10:30:00,-1632.7607498033199,
2021-05-24 12:00:00,-1596.2643762169193,
2021-05-24 13:30:00,-1549.8856336394701,
2021-05-24 15:00:00,-1565.380667437143,
2021-05-24 15:30:30,-1565.380667437143,
2021-05-24 23:59:59,-1596.3798512063045,c
2021-05-25 00:00:00,-1548.6618136332745,
2021-05-25 10:00:00,-1523.270568670404,
2021-05-25 10:30:00,-1536.716015651531,
2021-05-25 12:00:00,-1647.3550264785326,
2021-05-25 13:30:00,-1583.9897800835245,
2021-05-25 15:00:00,-1578.9100170695892,
2021-05-25 15:30:30,-1578.9100170695892,
2021-05-25 23:59:59,-1559.2790760889575,c
2021-05-26 00:00:00,-1504.1108246487731,
2021-05-26 10:00:00,-1456.4698324032383,
2021-05-26 10:30:00,-1335.3727752371533,
2021-05-26 12:00:00,-1229.8177651399642,
2021-05-26 13:30:00,-1274.589535390905,
2021-05-26 15:00:00,-1220.5720020774572,
2021-05-26 15:30:30,-1220.5720020774572,
2021-05-26 23:59:59,-1279.8341539739567,c
2021-05-27 00:00:00,-1261.1207005067022,
2021-05-27 10:00:00,-1266.4828737004468,
2021-05-27 10:30:00,-1248.7229758390831,
2021-05-27 12:00:00,-1278.356902193012,
2021-05-27 13:30:00,-1236.2818690844758,
2021-05-27 15:00:00,-1204.1590946092147,
2021-05-27 15:30:30,-1204.1590946092147,m
2021-05-27 23:59:59,-1168.5776557707795,c
2021-05-28 00:00:00,-1212.6449641780403,
2021-05-28 10:00:00,-1165.0886067495953,
2021-05-28 10:30:00,-1188.2534580238034,
2021-05-28 12:00:00,-1219.2650648543765,
2021-05-28 13:30:00,-1227.1526432844566,
2021-05-28 15:00:00,-1201.404349510305,
2021-05-28 15:30:30,-1201.404349510305,
2021-05-28 23:59:59,-1211.7692859609892,w
2021-05-31 00:00:00,-1211.7692859609892,
2021-05-31 10:00:00,-1211.7692859609892,
2021-05-31 10:30:00,-1211.7692859609892,
2021-05-31 12:00:00,-1211.7692859609892,
2021-05-31 13:30:00,-1211.7692859609892,
2021-05-31 15:00:00,-1211.7692859609892,
2021-05-31 15:30:30,-1211.7692859609892,s
2021-05-31 23:59:59,-1211.7692859609892,c
2021-06-01 00:00:00,-1006.1543044361722,
2021-06-01 10:00:00,-1010.7496577859654,
2021-06-01 10:30:00,-931.363975669318,
2021-06-01 12:00:00,-963.6207376831017,
2021-06-01 13:30:00,-882.1837267205879,
2021-06-01 15:00:00,-864.8091287068432,
2021-06-01 15:30:30,-864.8091287068432,
2021-06-01 23:59:59,-853.7416213663728,c
2021-06-02 00:00:00,-876.9323128936971,
2021-06-02 10:00:00,-807.8964751712615,
2021-06-02 10:30:00,-696.7489812599479,
2021-06-02 12:00:00,-837.4037137192802,
2021-06-02 13:30:00,-872.9898656987018,
2021-06-02 15:00:00,-836.3700014523265,
2021-06-02 15:30:30,-836.3700014523265,
2021-06-02 23:59:59,-806.398131100513,c
2021-06-03 00:00:00,-801.382680919319,
2021-06-03 10:00:00,-718.5235827030403,
