date,QDF_2022_Q2,meta
2022-05-30 13:30:00,79.07668800014409,
2022-05-30 15:00:00,79.07668800014409,
2022-05-30 15:30:30,79.07668800014409,
2022-05-30 23:59:59,79.07668800014409,c
2022-05-31 00:00:00,75.63661763779399,
2022-05-31 10:00:00,98.95391803364353,
2022-05-31 10:30:00,103.77430731323182,
2022-05-31 12:00:00,108.11346461928215,
2022-05-31 13:30:00,109.45426154583174,
2022-05-31 15:00:00,103.72451801709391,
2022-05-31 15:30:30,103.72451801709391,
2022-05-31 23:59:59,103.22056744366486,e
2022-06-01 00:00:00,97.9135494691578,
2022-06-01 10:00:00,91.13623105906996,
2022-06-01 10:30:00,63.755807567517074,
2022-06-01 12:00:00,68.29141724060932,
2022-06-01 13:30:00,73.11808643775592,
2022-06-01 15:00:00,70.63977980759228,
2022-06-01 15:30:30,70.63977980759228,
2022-06-01 23:59:59,70.90994840773743,c
2022-06-02 00:00:00,48.90206638102135,
2022-06-02 10:00:00,35.53001136784773,
2022-06-02 10:30:00,29.332879312034528,
2022-06-02 12:00:00,28.853246297761736,
2022-06-02 13:30:00,29.92356730848362,
2022-06-02 15:00:00,23.19684700628087,
2022-06-02 15:30:30,23.19684700628087,
2022-06-02 23:59:59,25.398512810176037,c
2022-06-03 00:00:00,35.52411495459824,
2022-06-03 10:00:00,44.73953371710686,
2022-06-03 10:30:00,52.434755768774814,
2022-06-03 12:00:00,51.85252728335707,
2022-06-03 13:30:00,47.059269446320606,
2022-06-03 15:00:00,44.172591610930816,
2022-06-03 15:30:30,44.172591610930816,
2022-06-03 23:59:59,45.29749115126338,w
2022-06-06 00:00:00,36.766047977339205,
2022-06-06 10:00:00,23.7642808065115,
2022-06-06 10:30:00,18.447050014607917,
2022-06-06 12:00:00,17.089051258791677,
2022-06-06 13:30:00,14.074024892045003,
2022-06-06 15:00:00,18.137516814327263,
2022-06-06 15:30:30,18.137516814327263,
2022-06-06 23:59:59,18.767660849399185,c
2022-06-07 00:00:00,6.54654878733357,
2022-06-07 10:00:00,12.179139268141114,
2022-06-07 10:30:00,18.41088836936064,
2022-06-07 12:00:00,20.46591257981583,
2022-06-07 13:30:00,30.515500281141406,
2022-06-07 15:00:00,17.09003299492249,
2022-06-07 15:30:30,17.09003299492249,u
2022-06-07 23:59:59,15.498627069919145,c
2022-06-08 00:00:00,7.80626053244881,
2022-06-08 10:00:00,8.340812837104608,
2022-06-08 10:30:00,-1.504605248483685,
2022-06-08 12:00:00,7.358002726035657,
2022-06-08 13:30:00,9.714168196566284,
2022-06-08 15:00:00,8.442725247670218,
