date,MSCI_FACT_QUAL_HEDGED_2022_Q2,meta
2022-04-14 00:00:00,-40.921216407945806,
2022-04-14 10:00:00,-47.989840494106446,
2022-04-14 10:30:00,-46.67967660525656,
2022-04-14 12:00:00,-42.05503605488833,
2022-04-14 13:30:00,-44.935562316043274,
2022-04-14 15:00:00,-46.028638065129286,
2022-04-14 15:30:30,-46.028638065129286,
2022-04-14 23:59:59,-44.752624537149714,c
2022-04-15 00:00:00,-44.752624537149714,
2022-04-15 10:00:00,-44.752624537149714,
2022-04-15 10:30:00,-44.752624537149714,
2022-04-15 12:00:00,-44.752624537149714,
2022-04-15 13:30:00,-44.752624537149714,
2022-04-15 15:00:00,-44.752624537149714,
2022-04-15 15:30:30,-44.752624537149714,
2022-04-15 23:59:59,-44.752624537149714,w
2022-04-18 00:00:00,-40.78724779719616,
2022-04-18 10:00:00,-36.778780989065254,
2022-04-18 10:30:00,-26.882434847070996,
2022-04-18 12:00:00,-33.232916167289574,
2022-04-18 13:30:00,-28.463323577821086,
2022-04-18 15:00:00,-21.635872099190124,
2022-04-18 15:30:30,-21.635872099190124,
2022-04-18 23:59:59,-16.313752803591058,c
2022-04-19 00:00:00,-8.669400808793299,
2022-04-19 10:00:00,-47.91078506751519,
2022-04-19 10:30:00,-40.59073222648789,
2022-04-19 12:00:00,-37.903174892097184,
2022-04-19 13:30:00,-45.21527870089486,
2022-04-19 15:00:00,-46.796433695645035,
2022-04-19 15:30:30,-46.796433695645035,
2022-04-19 23:59:59,-46.34559678019927,c
2022-04-20 00:00:00,-101.75247170652776,
2022-04-20 10:00:00,-101.5769305080359,
2022-04-20 10:30:00,-101.66030508511568,
2022-04-20 12:00:00,-107.97824033346006,
2022-04-20 13:30:00,-103.15875477445712,
2022-04-20 15:00:00,-111.21418773811524,
2022-04-20 15:30:30,-111.21418773811524,
2022-04-20 23:59:59,-102.46967012367278,c
2022-04-21 00:00:00,-106.0649035651916,
2022-04-21 10:00:00,-98.50700718110247,
2022-04-21 10:30:00,-105.51551345267956,
2022-04-21 12:00:00,-112.29762656342672,
2022-04-21 13:30:00,-96.75632423138637,
2022-04-21 15:00:00,-100.79884130306982,
2022-04-21 15:30:30,-100.79884130306982,
2022-04-21 23:59:59,-100.61329182866908,c
2022-04-22 00:00:00,-118.27557310144869,
2022-04-22 10:00:00,-104.81197389251585,
2022-04-22 10:30:00,-110.39171394710834,
2022-04-22 12:00:00,-116.58162255807184,
2022-04-22 13:30:00,-116.88580931632148,
2022-04-22 15:00:00,-112.96694869250183,
2022-04-22 15:30:30,-112.96694869250183,
2022-04-22 23:59:59,-106.7514564775289,w
2022-04-25 00:00:00,-100.74314139115523,
2022-04-25 10:00:00,-97.7414789996576,
2022-04-25 10:30:00,-104.81070913842376,
2022-04-25 12:00:00,-110.6849772254414,
2022-04-25 13:30:00,-118.88705869959952,
2022-04-25 15:00:00,-109.89754726344103,
2022-04-25 15:30:30,-109.89754726344103,
2022-04-25 23:59:59,-107.6252946255189,c
2022-04-26 00:00:00,-135.72767572098033,
2022-04-26 10:00:00,-131.20531101337676,
2022-04-26 10:30:00,-135.94949030723004,
2022-04-26 12:00:00,-144.60799888692824,
2022-04-26 13:30:00,-141.96046730446378,
2022-04-26 15:00:00,-138.2746704481851,
2022-04-26 15:30:30,-138.2746704481851,
2022-04-26 23:59:59,-133.0387591034308,c
2022-04-27 00:00:00,-135.7012967935986,
2022-04-27 10:00:00,-124.41154146941872,
2022-04-27 10:30:00,-119.394333002607,
2022-04-27 12:00:00,-112.88720816891555,
2022-04-27 13:30:00,-107.38794426463824,
2022-04-27 15:00:00,-105.81528920793613,
2022-04-27 15:30:30,-105.81528920793613,
2022-04-27 23:59:59,-101.42417495240079,c
2022-04-28 00:00:00,-63.21833940253765,
2022-04-28 10:00:00,-43.427445861477324,
2022-04-28 10:30:00,-54.53126578678001,
2022-04-28 12:00:00,-58.22831631363877,
2022-04-28 13:30:00,-50.424221930361895,
2022-04-28 15:00:00,-39.36931321242568,
2022-04-28 15:30:30,-39.36931321242568,
2022-04-28 23:59:59,-44.135979049589906,c
2022-04-29 00:00:00,-64.78865648828378,
2022-04-29 10:00:00,-19.10408380101363,
2022-04-29 10:30:00,-34.18606431832718,
2022-04-29 12:00:00,-32.63771737081025,
2022-04-29 13:30:00,-19.689466107501076,
2022-04-29 15:00:00,-21.38727657475043,
2022-04-29 15:30:30,-21.38727657475043,s
2022-04-29 23:59:59,-13.9985412630203,w
2022-05-02 00:00:00,-65.13100740347673,
2022-05-02 10:00:00,-71.76692484880664,
2022-05-02 10:30:00,-68.34201535270276,
2022-05-02 12:00:00,-52.064033525049624,
2022-05-02 13:30:00,-57.3734501322501,
2022-05-02 15:00:00,-49.905368920913034,
2022-05-02 15:30:30,-49.905368920913034,
2022-05-02 23:59:59,-46.52692349993913,c
2022-05-03 00:00:00,-38.98488166014518,
2022-05-03 10:00:00,-38.45434987017751,
2022-05-03 10:30:00,-42.580878608356784,
2022-05-03 12:00:00,-56.32684872335042,
2022-05-03 13:30:00,-44.33600714056121,
2022-05-03 15:00:00,-46.184866746964786,
2022-05-03 15:30:30,-46.184866746964786,
2022-05-03 23:59:59,-37.17752743273847,c
2022-05-04 00:00:00,-48.10742657880897,
2022-05-04 10:00:00,-74.7080388431803,
2022-05-04 10:30:00,-82.12290665551984,
2022-05-04 12:00:00,-65.18624591074416,
2022-05-04 13:30:00,-62.489139659427565,
2022-05-04 15:00:00,-71.24750996152824,
2022-05-04 15:30:30,-71.24750996152824,
2022-05-04 23:59:59,-66.10742989694742,c
2022-05-05 00:00:00,-61.623347219219795,
2022-05-05 10:00:00,-71.31794957229238,
2022-05-05 10:30:00,-76.4770672358452,
2022-05-05 12:00:00,-73.85647777649683,
2022-05-05 13:30:00,-73.80734937949242,
2022-05-05 15:00:00,-76.00666564297813,
2022-05-05 15:30:30,-76.00666564297813,
2022-05-05 23:59:59,-71.781333933356,c
2022-05-06 00:00:00,-69.21146475779523,
2022-05-06 10:00:00,-58.18187600263548,
2022-05-06 10:30:00,-51.89323032126933,
2022-05-06 12:00:00,-43.68034584940422,
2022-05-06 13:30:00,-45.61039165243815,
2022-05-06 15:00:00,-35.424369190389356,
2022-05-06 15:30:30,-35.424369190389356,
2022-05-06 23:59:59,-36.77683867165487,w
2022-05-09 00:00:00,-60.395549615350575,
2022-05-09 10:00:00,-54.952552154403634,
2022-05-09 10:30:00,-59.16193318479364,
2022-05-09 12:00:00,-83.17111112802255,
2022-05-09 13:30:00,-74.09891771109375,
2022-05-09 15:00:00,-87.4602990907932,
2022-05-09 15:30:30,-87.4602990907932,
2022-05-09 23:59:59,-82.89099359422897,c
2022-05-10 00:00:00,-97.26024015929877,
2022-05-10 10:00:00,-79.08350064507232,
2022-05-10 10:30:00,-75.33589145601837,
2022-05-10 12:00:00,-82.36957679313585,
2022-05-10 13:30:00,-88.53875712108055,
2022-05-10 15:00:00,-80.18366015626327,
2022-05-10 15:30:30,-80.18366015626327,u
2022-05-10 23:59:59,-65.47781208970466,c
2022-05-11 00:00:00,-76.33599808698887,
2022-05-11 10:00:00,-83.06094039148138,
2022-05-11 10:30:00,-76.8298813035893,
2022-05-11 12:00:00,-75.64872704790693,
2022-05-11 13:30:00,-74.30421539861891,
2022-05-11 15:00:00,-69.26788959522628,
2022-05-11 15:30:30,-69.26788959522628,
2022-05-11 23:59:59,-69.65004892120251,c
2022-05-12 00:00:00,-60.594375527161134,
2022-05-12 10:00:00,-81.1193124834574,
2022-05-12 10:30:00,-80.43208223328205,
2022-05-12 12:00:00,-63.25215832582421,
2022-05-12 13:30:00,-59.982906988085944,
2022-05-12 15:00:00,-68.62259467841582,
