date,MSCI_US_SC_AD_HEDGED_2022_Q2,meta
2022-04-28 00:00:00,-284.6478451353728,
2022-04-28 10:00:00,-267.12777812185277,
2022-04-28 10:30:00,-245.53501931858727,
2022-04-28 12:00:00,-239.60453289898032,
2022-04-28 13:30:00,-345.87413338844544,
2022-04-28 15:00:00,-389.3369748976238,
2022-04-28 15:30:30,-389.3369748976238,
2022-04-28 23:59:59,-356.7635382125145,c
2022-04-29 00:00:00,-347.2334928548544,
2022-04-29 10:00:00,-433.588226963293,
2022-04-29 10:30:00,-359.7309723501303,
2022-04-29 12:00:00,-361.0847000506774,
2022-04-29 13:30:00,-332.1025995518539,
2022-04-29 15:00:00,-280.5203507405463,
2022-04-29 15:30:30,-280.5203507405463,
2022-04-29 23:59:59,-247.6238289688822,w
2022-05-02 00:00:00,-258.17329715421556,
2022-05-02 10:00:00,-278.851097428158,
2022-05-02 10:30:00,-315.67619279927385,
2022-05-02 12:00:00,-295.1671032937852,
2022-05-02 13:30:00,-235.67863486108718,
2022-05-02 15:00:00,-247.80428938829982,
2022-05-02 15:30:30,-247.80428938829982,
2022-05-02 23:59:59,-353.6412546709216,c
2022-05-03 00:00:00,-345.3370719861323,
2022-05-03 10:00:00,-379.0141725001222,
2022-05-03 10:30:00,-387.19010653980513,
2022-05-03 12:00:00,-389.0505929009132,
2022-05-03 13:30:00,-402.72539694041734,
2022-05-03 15:00:00,-410.45694459768856,
2022-05-03 15:30:30,-410.45694459768856,
2022-05-03 23:59:59,-400.087624421546,c
2022-05-04 00:00:00,-411.1171482360396,
2022-05-04 10:00:00,-341.766002036592,
2022-05-04 10:30:00,-336.67769346724253,
2022-05-04 12:00:00,-356.3213656591015,
2022-05-04 13:30:00,-397.8756245783379,
2022-05-04 15:00:00,-486.41299320143935,
2022-05-04 15:30:30,-486.41299320143935,
2022-05-04 23:59:59,-544.8400240132087,c
2022-05-05 00:00:00,-509.9195776622337,
2022-05-05 10:00:00,-451.52466636228564,
2022-05-05 10:30:00,-389.19612687298377,
2022-05-05 12:00:00,-321.1198734163281,
2022-05-05 13:30:00,-324.7189584082871,
2022-05-05 15:00:00,-291.49086494066705,
2022-05-05 15:30:30,-291.49086494066705,
2022-05-05 23:59:59,-317.1533352929637,c
2022-05-06 00:00:00,-299.7114863748666,
2022-05-06 10:00:00,-198.30743464317447,
2022-05-06 10:30:00,-255.51516512515218,
2022-05-06 12:00:00,-209.79503238044072,
2022-05-06 13:30:00,-240.00072312628436,
2022-05-06 15:00:00,-196.95487207540145,
2022-05-06 15:30:30,-196.95487207540145,
2022-05-06 23:59:59,-222.50074218572763,w
2022-05-09 00:00:00,-156.11755121546503,
2022-05-09 10:00:00,-137.3187879495249,
2022-05-09 10:30:00,-100.62606900784795,
2022-05-09 12:00:00,-104.27569721499276,
2022-05-09 13:30:00,-45.408630054838795,
2022-05-09 15:00:00,-55.63808216677671,
2022-05-09 15:30:30,-55.63808216677671,
2022-05-09 23:59:59,-19.29365770622144,c
2022-05-10 00:00:00,-87.97627507973903,
2022-05-10 10:00:00,-165.6877486692215,
2022-05-10 10:30:00,-179.617314659341,
2022-05-10 12:00:00,-90.0297205049028,
2022-05-10 13:30:00,-148.91975858797832,
2022-05-10 15:00:00,-191.36941217810727,
2022-05-10 15:30:30,-191.36941217810727,u
2022-05-10 23:59:59,-165.6737564716418,c
2022-05-11 00:00:00,-138.78553474736646,
2022-05-11 10:00:00,-163.44131760485698,
2022-05-11 10:30:00,-154.46721242764306,
2022-05-11 12:00:00,-129.95235275077493,
2022-05-11 13:30:00,-23.138290714362938,
2022-05-11 15:00:00,-13.560078465618517,
2022-05-11 15:30:30,-13.560078465618517,
2022-05-11 23:59:59,18.47429773341355,c
2022-05-12 00:00:00,46.94103898345293,
2022-05-12 10:00:00,30.034856996195685,
2022-05-12 10:30:00,-21.090799870000865,
2022-05-12 12:00:00,41.63036828855684,
2022-05-12 13:30:00,34.365080673912416,
2022-05-12 15:00:00,84.8435444671486,
2022-05-12 15:30:30,84.8435444671486,
2022-05-12 23:59:59,0.0,a
2022-05-13 00:00:00,-61.36067847734557,
2022-05-13 10:00:00,-45.7622270652796,
2022-05-13 10:30:00,-83.51801285367219,
2022-05-13 12:00:00,-100.12484414247547,
2022-05-13 13:30:00,-87.87152093525629,
2022-05-13 15:00:00,-84.39987916162045,
2022-05-13 15:30:30,-84.39987916162045,
2022-05-13 23:59:59,-81.9992424242464,w
2022-05-16 00:00:00,-56.52737327801424,
2022-05-16 10:00:00,-36.42341939133985,
2022-05-16 10:30:00,-99.69611502334055,
2022-05-16 12:00:00,-72.13169212758385,
2022-05-16 13:30:00,-61.16471420502194,
2022-05-16 15:00:00,-54.92452361816913,
2022-05-16 15:30:30,-54.92452361816913,
2022-05-16 23:59:59,-24.34952865993091,c
2022-05-17 00:00:00,-106.76852186711267,
2022-05-17 10:00:00,-97.11751844118817,
2022-05-17 10:30:00,-62.89706053468899,
2022-05-17 12:00:00,-97.09029036537095,
2022-05-17 13:30:00,-113.56553939806645,
2022-05-17 15:00:00,-117.6903415646866,
2022-05-17 15:30:30,-117.6903415646866,
2022-05-17 23:59:59,-134.1414831801776,c
0,-134.1414831801776,
0,-134.1414831801776,
0,-134.1414831801776,
0,-134.1414831801776,
0,-134.1414831801776,
0,-134.1414831801776,
0,-134.1414831801776,
0,-134.1414831801776,
0,-134.1414831801776,
0,-134.1414831801776,
0,-134.1414831801776,
0,-134.1414831801776,
0,-134.1414831801776,
0,-134.1414831801776,
0,-134.1414831801776,
0,-134.1414831801776,
0,-134.1414831801776,
0,-134.1414831801776,
0,-134.1414831801776,
0,-134.1414831801776,
0,-134.1414831801776,
0,-134.1414831801776,
0,-134.1414831801776,
0,-134.1414831801776,
2022-05-18 00:00:00,-94.9339998584619,
2022-05-18 10:00:00,-52.138017850018514,
2022-05-18 10:30:00,-63.96200897046219,
2022-05-18 12:00:00,-22.25787036814245,
2022-05-18 13:30:00,-9.806076898466472,
2022-05-18 15:00:00,14.486538721067518,
2022-05-18 15:30:30,14.486538721067518,
2022-05-18 23:59:59,-3.3041184251069353,c
2022-05-19 00:00:00,20.993244863974724,
2022-05-19 10:00:00,24.11578173720045,
2022-05-19 10:30:00,13.1610271077584,
2022-05-19 12:00:00,-68.57486136971283,
