date,XLKCAP_2022_Q3,meta
2022-10-06 12:00:00,216.59813702208044,
2022-10-06 13:30:00,218.55425969635894,
2022-10-06 15:00:00,202.1419561804271,
2022-10-06 15:30:30,202.1419561804271,
2022-10-06 23:59:59,199.41083960101605,c
2022-10-07 00:00:00,164.33373061569796,
2022-10-07 10:00:00,140.12547225142453,
2022-10-07 10:30:00,155.9257373473306,
2022-10-07 12:00:00,130.87353114234224,
2022-10-07 13:30:00,131.91201625159488,
2022-10-07 15:00:00,121.98435061033774,
2022-10-07 15:30:30,121.98435061033774,
2022-10-07 23:59:59,127.79794418995061,w
2022-10-10 00:00:00,118.81879043138952,
2022-10-10 10:00:00,92.91458490778427,
2022-10-10 10:30:00,59.62631068801602,
2022-10-10 12:00:00,23.200440741711873,
2022-10-10 13:30:00,2.8875703130659076,
2022-10-10 15:00:00,17.438091352577885,
2022-10-10 15:30:30,17.438091352577885,
2022-10-10 23:59:59,17.76227542212314,c
2022-10-11 00:00:00,-2.1626111881969337,
2022-10-11 10:00:00,-33.349424617914565,
2022-10-11 10:30:00,-34.59198753907981,
2022-10-11 12:00:00,-6.761943295332912,
2022-10-11 13:30:00,-7.558997204265779,
2022-10-11 15:00:00,-28.572692558508834,
2022-10-11 15:30:30,-28.572692558508834,
2022-10-11 23:59:59,-20.238225362630146,c
2022-10-12 00:00:00,-21.645774560913424,
2022-10-12 10:00:00,-37.282135200546236,
2022-10-12 10:30:00,-49.98409400952755,
2022-10-12 12:00:00,-26.355622612589286,
2022-10-12 13:30:00,-8.433738983802868,
2022-10-12 15:00:00,-11.491841096092685,
2022-10-12 15:30:30,-11.491841096092685,
2022-10-12 23:59:59,-18.656835282420616,c
2022-10-13 00:00:00,-59.340564003725376,
2022-10-13 10:00:00,-33.03410129112467,
2022-10-13 10:30:00,-12.826990683976646,
2022-10-13 12:00:00,38.77804964713596,
2022-10-13 13:30:00,46.25467990859602,
2022-10-13 15:00:00,34.544526511712775,
2022-10-13 15:30:30,34.544526511712775,
2022-10-13 23:59:59,17.638288092893617,c
2022-10-14 00:00:00,17.43465681294606,
2022-10-14 10:00:00,28.774089408537748,
2022-10-14 10:30:00,11.685799741852406,
2022-10-14 12:00:00,5.090973557690404,
2022-10-14 13:30:00,13.902273212018372,
2022-10-14 15:00:00,16.82403289711283,
2022-10-14 15:30:30,16.82403289711283,
2022-10-14 23:59:59,1.5216072980333593,w
