date,XLKCAP_2022_Q2,meta
2022-06-15 00:00:00,171.61148118774827,
2022-06-15 10:00:00,183.44882043474365,
2022-06-15 10:30:00,189.4329551740252,
2022-06-15 12:00:00,180.4223331231567,
2022-06-15 13:30:00,191.55236385558226,
2022-06-15 15:00:00,198.1055715689331,
2022-06-15 15:30:30,198.1055715689331,
2022-06-15 23:59:59,192.9438182225108,c
2022-06-16 00:00:00,149.69616976909367,
2022-06-16 10:00:00,139.35606388387737,
2022-06-16 10:30:00,129.7308879051618,
2022-06-16 12:00:00,113.10036648124606,
2022-06-16 13:30:00,106.73779611939085,
2022-06-16 15:00:00,109.46008457696428,
2022-06-16 15:30:30,109.46008457696428,
2022-06-16 23:59:59,124.11322083524578,c
2022-06-17 00:00:00,125.10943116417468,
2022-06-17 10:00:00,121.4905489162345,
2022-06-17 10:30:00,85.0427935679611,
2022-06-17 12:00:00,99.93365318988765,
2022-06-17 13:30:00,126.59056820614285,
2022-06-17 15:00:00,133.58338093676048,
2022-06-17 15:30:30,133.58338093676048,q
2022-06-17 23:59:59,126.29051151613658,w
2022-06-20 00:00:00,126.29051151613658,
2022-06-20 10:00:00,126.29051151613658,
2022-06-20 10:30:00,126.29051151613658,
2022-06-20 12:00:00,126.29051151613658,
2022-06-20 13:30:00,126.29051151613658,
2022-06-20 15:00:00,126.29051151613658,
2022-06-20 15:30:30,126.29051151613658,
2022-06-20 23:59:59,126.29051151613658,c
2022-06-21 00:00:00,169.16163486519724,
2022-06-21 10:00:00,155.24225564534004,
2022-06-21 10:30:00,149.28292030185276,
2022-06-21 12:00:00,145.91560693344093,
2022-06-21 13:30:00,160.13652458719014,
2022-06-21 15:00:00,147.19790307145126,
2022-06-21 15:30:30,147.19790307145126,
2022-06-21 23:59:59,135.75406872196254,c
2022-06-22 00:00:00,102.8623103044315,
2022-06-22 10:00:00,116.75267692821217,
2022-06-22 10:30:00,114.97192794001808,
2022-06-22 12:00:00,113.57595202613197,
2022-06-22 13:30:00,118.52028027763652,
2022-06-22 15:00:00,122.77030364146412,
2022-06-22 15:30:30,122.77030364146412,
2022-06-22 23:59:59,112.51565498591629,c
2022-06-23 00:00:00,104.39265012422288,
2022-06-23 10:00:00,94.251217198919,
2022-06-23 10:30:00,91.73939119102135,
2022-06-23 12:00:00,72.97417458956193,
2022-06-23 13:30:00,56.52532371670554,
2022-06-23 15:00:00,55.72999168519016,
2022-06-23 15:30:30,55.72999168519016,
2022-06-23 23:59:59,66.31742536722027,c
