date,IBB_TRANS_2021_Q2,meta
2021-06-11 00:00:00,-6.528050040098204,
2021-06-11 10:00:00,2.202471417291246,
2021-06-11 10:30:00,3.5604808290390313,
2021-06-11 12:00:00,18.33129299198597,
2021-06-11 13:30:00,27.09444768342587,
2021-06-11 15:00:00,34.35232194917828,
2021-06-11 15:30:30,34.35232194917828,
2021-06-11 23:59:59,31.16652761410941,w
2021-06-14 00:00:00,25.750399059672215,
2021-06-14 10:00:00,36.571649590927954,
2021-06-14 10:30:00,25.303704217115836,
2021-06-14 12:00:00,30.725111120676843,
2021-06-14 13:30:00,39.73610233300323,
2021-06-14 15:00:00,27.219934286881426,
2021-06-14 15:30:30,27.219934286881426,
2021-06-14 23:59:59,28.703099050215926,c
2021-06-15 00:00:00,47.90913241014039,
2021-06-15 10:00:00,40.22457693011718,
2021-06-15 10:30:00,57.432348503333955,
2021-06-15 12:00:00,70.22622319668113,
2021-06-15 13:30:00,57.26592371073201,
2021-06-15 15:00:00,67.33537528401322,
2021-06-15 15:30:30,67.33537528401322,
2021-06-15 23:59:59,70.2155329533559,c
2021-06-16 00:00:00,69.82551758328603,
2021-06-16 10:00:00,51.51122453717116,
2021-06-16 10:30:00,47.21574709698643,
2021-06-16 12:00:00,49.68073055865163,
2021-06-16 13:30:00,96.80048816027265,
2021-06-16 15:00:00,87.30929880934896,
2021-06-16 15:30:30,87.30929880934896,
2021-06-16 23:59:59,82.12002515480103,c
2021-06-17 00:00:00,83.28681870716015,
2021-06-17 10:00:00,142.3651159462417,
2021-06-17 10:30:00,135.9374213186825,
2021-06-17 12:00:00,151.65308511591797,
2021-06-17 13:30:00,172.96304313646883,
2021-06-17 15:00:00,152.85502122497257,
2021-06-17 15:30:30,152.85502122497257,
2021-06-17 23:59:59,134.7532400024506,c
2021-06-18 00:00:00,145.58823908946417,
2021-06-18 10:00:00,199.30832560859602,
2021-06-18 10:30:00,219.60213098164976,
2021-06-18 12:00:00,198.56199407761406,
2021-06-18 13:30:00,206.60824253224328,
2021-06-18 15:00:00,198.3871273299762,
2021-06-18 15:30:30,198.3871273299762,
2021-06-18 23:59:59,54.67071261669004,e
2021-06-21 00:00:00,76.90483606799809,
2021-06-21 10:00:00,79.96838656858966,
2021-06-21 10:30:00,84.82642589119756,
2021-06-21 12:00:00,120.90717316575838,
2021-06-21 13:30:00,107.80740693938093,
2021-06-21 15:00:00,115.95235321656347,
2021-06-21 15:30:30,115.95235321656347,
2021-06-21 23:59:59,112.82459320256615,c
2021-06-22 00:00:00,102.75677218286283,
2021-06-22 10:00:00,129.52241731671484,
2021-06-22 10:30:00,166.6114558199923,
2021-06-22 12:00:00,162.44662168743727,
2021-06-22 13:30:00,167.24056008065858,
2021-06-22 15:00:00,173.07372707792527,
2021-06-22 15:30:30,173.07372707792527,
2021-06-22 23:59:59,166.92329399598896,c
2021-06-23 00:00:00,146.162597921247,
2021-06-23 10:00:00,152.35484191918073,
2021-06-23 10:30:00,183.15889023633682,
2021-06-23 12:00:00,189.481858940684,
2021-06-23 13:30:00,194.81321757775723,
2021-06-23 15:00:00,191.86707103311002,
2021-06-23 15:30:30,191.86707103311002,
2021-06-23 23:59:59,178.0782506257923,c
2021-06-24 00:00:00,170.94846434291128,
2021-06-24 10:00:00,136.74893033294933,
2021-06-24 10:30:00,128.79916380812733,
2021-06-24 12:00:00,115.03386512371324,
2021-06-24 13:30:00,118.55011326154094,
2021-06-24 15:00:00,99.00914788016503,
2021-06-24 15:30:30,99.00914788016503,
2021-06-24 23:59:59,91.60968325280956,c
2021-06-25 00:00:00,85.18814322667389,
2021-06-25 10:00:00,90.54347459252826,
2021-06-25 10:30:00,87.12437702161795,
2021-06-25 12:00:00,79.44460386058772,
2021-06-25 13:30:00,69.64384685922104,
2021-06-25 15:00:00,61.755235951084344,
2021-06-25 15:30:30,61.755235951084344,
2021-06-25 23:59:59,50.29473000698157,w
2021-06-28 00:00:00,9.508577377912392,
2021-06-28 10:00:00,53.453900989428774,
2021-06-28 10:30:00,47.19515976440186,
2021-06-28 12:00:00,78.22815909674196,
2021-06-28 13:30:00,71.7623841980705,
2021-06-28 15:00:00,80.21173168720969,
2021-06-28 15:30:30,80.21173168720969,
2021-06-28 23:59:59,84.01787391262079,c
2021-06-29 00:00:00,72.99865387386102,
2021-06-29 10:00:00,88.91925133899085,
2021-06-29 10:30:00,91.58758642054552,
2021-06-29 12:00:00,103.54807283936097,
2021-06-29 13:30:00,109.44494268534469,
2021-06-29 15:00:00,108.49153769851297,
2021-06-29 15:30:30,108.49153769851297,
2021-06-29 23:59:59,114.92700963250243,c
2021-06-30 00:00:00,94.23387632480855,
2021-06-30 10:00:00,69.65844031451535,
2021-06-30 10:30:00,42.82763218492438,
2021-06-30 12:00:00,21.56603474481585,
2021-06-30 13:30:00,14.982333846946492,
2021-06-30 15:00:00,13.290323541126032,
2021-06-30 15:30:30,13.290323541126032,
2021-06-30 23:59:59,40.66608544509939,c
2021-07-01 00:00:00,4.960215675468911,
2021-07-01 10:00:00,11.71680803934819,
2021-07-01 10:30:00,-2.102760436325248,
2021-07-01 12:00:00,-10.00149355236142,
2021-07-01 13:30:00,-38.69596042233462,
2021-07-01 15:00:00,-39.720722631354676,
2021-07-01 15:30:30,-39.720722631354676,
2021-07-01 23:59:59,-44.02868849874602,c
2021-07-02 00:00:00,-39.66750588270001,
2021-07-02 10:00:00,-36.19758398509546,
2021-07-02 10:30:00,-32.32721126026226,
2021-07-02 12:00:00,-33.74892306695408,
2021-07-02 13:30:00,-35.72635792604524,
2021-07-02 15:00:00,-33.99709880368718,
2021-07-02 15:30:30,-33.99709880368718,
2021-07-02 23:59:59,-15.585958969582247,w
