date,EU_IUKD_2022_Q1,meta
2022-03-11 08:00:00,89.6375786987536,
2022-03-11 10:30:00,64.21273835292186,
2022-03-11 11:00:00,67.19577861680716,
2022-03-11 23:59:59,76.71896633812742,w
2022-03-14 00:00:00,104.75690218759689,
2022-03-14 03:30:00,104.75690218759689,
2022-03-14 04:00:00,104.75690218759689,
2022-03-14 06:00:00,199.52410242311998,
2022-03-14 08:00:00,208.27439523182568,
2022-03-14 10:30:00,231.85306286297862,
2022-03-14 11:00:00,239.32321785741715,
2022-03-14 23:59:59,242.94160013287296,c
2022-03-15 00:00:00,278.08365462490383,
2022-03-15 03:30:00,278.08365462490383,
2022-03-15 04:00:00,278.08365462490383,
2022-03-15 06:00:00,216.0239001604707,
2022-03-15 08:00:00,194.45929075420815,
2022-03-15 10:30:00,182.21211127758352,
2022-03-15 11:00:00,174.4915005753686,
2022-03-15 23:59:59,118.82205896344635,c
2022-03-16 00:00:00,122.31496023574005,
2022-03-16 03:30:00,122.31496023574005,
2022-03-16 04:00:00,122.31496023574005,
2022-03-16 06:00:00,159.0088331556958,
2022-03-16 08:00:00,204.4855596077391,
2022-03-16 10:30:00,256.18075161523484,
2022-03-16 11:00:00,230.56759083731117,
2022-03-16 23:59:59,253.44793387791435,c
2022-03-17 00:00:00,279.95903437193056,
2022-03-17 03:30:00,279.95903437193056,
2022-03-17 04:00:00,279.95903437193056,
2022-03-17 06:00:00,256.37333618353114,
2022-03-17 08:00:00,224.39807904999418,
2022-03-17 10:30:00,183.86419727407122,
2022-03-17 11:00:00,185.56939320450908,
2022-03-17 23:59:59,182.18387535082525,c
2022-03-18 00:00:00,152.29243312742824,
2022-03-18 03:30:00,152.29243312742824,
2022-03-18 04:00:00,152.29243312742824,
2022-03-18 06:00:00,135.01177132467262,
2022-03-18 08:00:00,144.50599529074452,
2022-03-18 10:30:00,176.79794614517562,
2022-03-18 11:00:00,190.5828135858468,
2022-03-18 23:59:59,185.16854369029545,e
2022-03-21 00:00:00,180.42315515657856,
2022-03-21 03:30:00,180.42315515657856,
2022-03-21 04:00:00,180.42315515657856,
2022-03-21 06:00:00,118.95377109067135,
2022-03-21 08:00:00,96.06313528544035,
2022-03-21 10:30:00,59.17445578653644,
2022-03-21 11:00:00,66.57201698541598,
2022-03-21 23:59:59,62.755347748482336,c
2022-03-22 00:00:00,35.322651284664516,
2022-03-22 03:30:00,35.322651284664516,
2022-03-22 04:00:00,35.322651284664516,
2022-03-22 06:00:00,41.09554811973362,
2022-03-22 08:00:00,21.523019263545848,
2022-03-22 10:30:00,58.64951615256996,
2022-03-22 11:00:00,56.555878926719515,
2022-03-22 23:59:59,82.52940767972109,c
2022-03-23 00:00:00,65.88984089111341,
2022-03-23 03:30:00,65.88984089111341,
2022-03-23 04:00:00,65.88984089111341,
2022-03-23 06:00:00,43.34935428913684,
2022-03-23 08:00:00,13.775633895421265,
2022-03-23 10:30:00,26.472382172686594,
2022-03-23 11:00:00,22.72770633862126,
2022-03-23 23:59:59,22.66143835267144,c
2022-03-24 00:00:00,5.201305043187858,
2022-03-24 03:30:00,5.201305043187858,
2022-03-24 04:00:00,5.201305043187858,
2022-03-24 06:00:00,-5.0587292576335585,
2022-03-24 08:00:00,-17.739571707432333,
2022-03-24 10:30:00,-36.64791759379466,
2022-03-24 11:00:00,-40.601663408150216,
2022-03-24 23:59:59,-29.70056122156643,c
2022-03-25 00:00:00,-38.302742353395274,
2022-03-25 03:30:00,-38.302742353395274,
2022-03-25 04:00:00,-38.302742353395274,
2022-03-25 06:00:00,-89.82207149675799,
2022-03-25 08:00:00,-133.99279121990537,
2022-03-25 10:30:00,-156.50473235702236,
2022-03-25 11:00:00,-145.72927108948977,
2022-03-25 23:59:59,-161.82996348813901,w
2022-03-28 00:00:00,-142.690002737864,
2022-03-28 03:30:00,-135.8858541252098,
2022-03-28 04:00:00,-124.52902486893981,
2022-03-28 06:00:00,-150.26034136580654,
2022-03-28 08:00:00,-127.85719662652866,
2022-03-28 10:30:00,-125.741527018444,
2022-03-28 11:00:00,-106.48883704664058,
2022-03-28 23:59:59,-105.87033321027286,c
2022-03-29 00:00:00,-110.52481650183995,
2022-03-29 03:30:00,-89.42321635692963,
2022-03-29 04:00:00,-102.87256214853414,
2022-03-29 06:00:00,-78.12145869049436,
2022-03-29 08:00:00,-48.0704796892951,
2022-03-29 10:30:00,-8.139215572235116,
2022-03-29 11:00:00,20.961439632893757,
2022-03-29 23:59:59,28.728714318956122,c
2022-03-30 00:00:00,4.7148263927848575,
2022-03-30 03:30:00,-28.27036152999358,
2022-03-30 04:00:00,-44.82942577244842,
2022-03-30 06:00:00,-62.062223189067595,
2022-03-30 08:00:00,-66.9700610507914,
2022-03-30 10:30:00,-48.39328337123084,
2022-03-30 11:00:00,-74.3573264109508,
2022-03-30 23:59:59,-90.28823435414915,c
2022-03-31 00:00:00,-56.778467351338804,
2022-03-31 03:30:00,-52.41471722695451,
2022-03-31 04:00:00,-62.45638867877835,
2022-03-31 06:00:00,-79.92275796125568,
2022-03-31 08:00:00,-50.507493448451214,
2022-03-31 10:30:00,-63.04626224433696,
2022-03-31 11:00:00,-62.275514311336906,
2022-03-31 23:59:59,-50.54677258189395,c
2022-04-01 00:00:00,-23.558208642460272,
2022-04-01 03:30:00,16.86275849010906,
2022-04-01 04:00:00,-13.462816974628822,
2022-04-01 06:00:00,9.976025380150077,
2022-04-01 08:00:00,-24.09363685355106,
2022-04-01 10:30:00,-52.38590136872233,
2022-04-01 11:00:00,-46.034474313898954,
2022-04-01 23:59:59,-66.01677392912745,w
