date,AS_PT731943_2022_Q2,meta
2022-05-05 00:00:00,-189.41716190361208,
2022-05-05 01:00:00,-200.37054832453765,
2022-05-05 02:30:00,-200.37054832453765,
2022-05-05 03:00:00,-200.37054832453765,
2022-05-05 18:30:00,-200.37054832453765,
2022-05-05 20:00:00,-200.37054832453765,
2022-05-05 23:00:00,-202.81397155995631,
2022-05-05 23:59:59,-210.94776917784162,c
2022-05-06 00:00:00,-204.81937947912206,
2022-05-06 01:00:00,-208.3125140588103,
2022-05-06 02:30:00,-208.3125140588103,
2022-05-06 03:00:00,-208.3125140588103,
2022-05-06 18:30:00,-208.3125140588103,
2022-05-06 20:00:00,-208.3125140588103,
2022-05-06 23:00:00,-208.3125140588103,
2022-05-06 23:59:59,-192.22118964864885,w
2022-05-09 00:00:00,-193.31997878360937,
2022-05-09 01:00:00,-205.76494979233547,
2022-05-09 02:30:00,-205.76494979233547,
2022-05-09 03:00:00,-205.76494979233547,
2022-05-09 18:30:00,-205.76494979233547,
2022-05-09 20:00:00,-205.76494979233547,
2022-05-09 23:00:00,-195.49672659446708,
2022-05-09 23:59:59,-205.36488443770523,c
2022-05-10 00:00:00,-209.12712604753708,
2022-05-10 01:00:00,-216.72077745729663,
2022-05-10 02:30:00,-216.72077745729663,
2022-05-10 03:00:00,-216.72077745729663,
2022-05-10 18:30:00,-216.72077745729663,
2022-05-10 20:00:00,-216.72077745729663,
2022-05-10 23:00:00,-202.8299210877841,
2022-05-10 23:59:59,-201.88522200404287,c
2022-05-11 00:00:00,-241.19307835953668,
2022-05-11 01:00:00,-247.66543581043038,
2022-05-11 02:30:00,-247.66543581043038,
2022-05-11 03:00:00,-247.66543581043038,
2022-05-11 18:30:00,-247.66543581043038,
2022-05-11 20:00:00,-247.66543581043038,
2022-05-11 23:00:00,-218.73450172377994,
2022-05-11 23:59:59,-205.15858839617863,c
2022-05-12 00:00:00,-198.33503549999904,
2022-05-12 01:00:00,-178.319545224788,
2022-05-12 02:30:00,-178.319545224788,
2022-05-12 03:00:00,-178.319545224788,
2022-05-12 18:30:00,-178.319545224788,
2022-05-12 20:00:00,-178.319545224788,
2022-05-12 23:00:00,-174.65421026258193,
2022-05-12 23:59:59,-187.53347549539973,c
2022-05-13 00:00:00,-170.26014983217482,
2022-05-13 01:00:00,-164.6493187460584,
2022-05-13 02:30:00,-164.6493187460584,
2022-05-13 03:00:00,-164.6493187460584,
2022-05-13 18:30:00,-164.6493187460584,
2022-05-13 20:00:00,-164.6493187460584,
2022-05-13 23:00:00,-164.6493187460584,
2022-05-13 23:59:59,-164.65931264178332,w
2022-05-16 00:00:00,-120.38208485301303,
2022-05-16 01:00:00,-115.63380944866213,
2022-05-16 02:30:00,-115.63380944866213,
2022-05-16 03:00:00,-115.63380944866213,
2022-05-16 18:30:00,-115.63380944866213,
2022-05-16 20:00:00,-115.63380944866213,
2022-05-16 23:00:00,-78.62169980895483,
2022-05-16 23:59:59,-77.4604356365756,c
2022-05-17 00:00:00,-77.93879755249888,
2022-05-17 01:00:00,-72.47066100738044,
2022-05-17 02:30:00,-72.47066100738044,
2022-05-17 03:00:00,-72.47066100738044,
2022-05-17 18:30:00,-72.47066100738044,
2022-05-17 20:00:00,-72.47066100738044,
2022-05-17 23:00:00,-105.92046219130381,
2022-05-17 23:59:59,-104.33398661790602,c
