date,FTSE_EM_ADR_HEDGED_2020_Q4,meta
2020-10-09 00:00:00,-1361.4181823907497,
2020-10-09 10:00:00,-1351.774965998255,
2020-10-09 10:30:00,-1360.848666938476,
2020-10-09 12:00:00,-1346.200480495135,
2020-10-09 13:30:00,-1338.761114532297,
2020-10-09 15:00:00,-1339.7693677908976,
2020-10-09 15:30:30,-1339.7693677908976,
2020-10-09 23:59:59,-1335.6658960906286,w
2020-10-12 00:00:00,-1335.4040444783782,
2020-10-12 10:00:00,-1337.7730965412388,
2020-10-12 10:30:00,-1325.520873930888,
2020-10-12 12:00:00,-1316.5926541794508,
2020-10-12 13:30:00,-1300.7444738021836,
2020-10-12 15:00:00,-1297.4952725224884,
2020-10-12 15:30:30,-1297.4952725224884,
2020-10-12 23:59:59,-1286.213022771285,c
2020-10-13 00:00:00,-1290.2778682971098,
2020-10-13 10:00:00,-1313.5209863850635,
2020-10-13 10:30:00,-1302.919591260848,
2020-10-13 12:00:00,-1319.115882439701,
2020-10-13 13:30:00,-1320.0265387488732,
2020-10-13 15:00:00,-1301.692950554193,
2020-10-13 15:30:30,-1301.692950554193,
2020-10-13 23:59:59,-1304.1180208281824,c
2020-10-14 00:00:00,-1251.723230870717,
2020-10-14 10:00:00,-1176.8917708265492,
2020-10-14 10:30:00,-1208.6221206138384,
2020-10-14 12:00:00,-1180.9070913809992,
2020-10-14 13:30:00,-1216.1913081629164,
2020-10-14 15:00:00,-1198.5814729672165,
2020-10-14 15:30:30,-1198.5814729672165,
2020-10-14 23:59:59,-1195.9905127347654,c
2020-10-15 00:00:00,-1149.2023773578742,
2020-10-15 10:00:00,-1192.6333557653575,
2020-10-15 10:30:00,-1124.0228259342416,
2020-10-15 12:00:00,-1152.8930939319841,
2020-10-15 13:30:00,-1196.2406040976052,
2020-10-15 15:00:00,-1196.1589950528144,
2020-10-15 15:30:30,-1196.1589950528144,
2020-10-15 23:59:59,-1194.3905427016332,c
2020-10-16 00:00:00,-1191.7916159564095,
2020-10-16 10:00:00,-1176.400044917064,
2020-10-16 10:30:00,-1192.794785586234,
2020-10-16 12:00:00,-1194.9985357874266,
2020-10-16 13:30:00,-1189.5889970168037,
2020-10-16 15:00:00,-1182.5214043918804,
2020-10-16 15:30:30,-1182.5214043918804,
2020-10-16 23:59:59,-1166.6535450849979,w
