date,EU_FTSE_DM_SC_ALL_2021_Q4,meta
2021-10-29 08:00:00,28.735131136656307,
2021-10-29 10:30:00,-0.572703643258464,
2021-10-29 11:00:00,1.6034040991419403,
2021-10-29 23:59:59,-14.336724626685083,w
2021-11-01 00:00:00,-14.205596724187018,
2021-11-01 03:30:00,-14.205596724187018,
2021-11-01 04:00:00,-14.205596724187018,
2021-11-01 06:00:00,-32.595052299140306,
2021-11-01 08:00:00,-23.07788098230212,
2021-11-01 10:30:00,3.2106135101923314,
2021-11-01 11:00:00,-6.168672798570327,
2021-11-01 23:59:59,-7.287186728133207,c
2021-11-02 00:00:00,-7.969374342732422,
2021-11-02 03:30:00,-7.969374342732422,
2021-11-02 04:00:00,-7.969374342732422,
2021-11-02 06:00:00,-33.65015288234939,
2021-11-02 08:00:00,-17.840374730430085,
2021-11-02 10:30:00,-24.518065550351892,
2021-11-02 11:00:00,-33.93991497073368,
2021-11-02 23:59:59,-36.17067684749563,c
2021-11-03 00:00:00,-49.53072881136666,
2021-11-03 03:30:00,-49.53072881136666,
2021-11-03 04:00:00,-49.53072881136666,
2021-11-03 06:00:00,-44.32657155868007,
2021-11-03 08:00:00,-61.02347829154135,
2021-11-03 10:30:00,-74.43527394401119,
2021-11-03 11:00:00,-77.1079603938245,
2021-11-03 23:59:59,-75.64015873152607,c
2021-11-04 00:00:00,-68.32246476746704,
2021-11-04 03:30:00,-68.32246476746704,
2021-11-04 04:00:00,-68.32246476746704,
2021-11-04 06:00:00,-57.89835964470649,
2021-11-04 08:00:00,-58.4042503235944,
2021-11-04 10:30:00,-58.78892967376686,
2021-11-04 11:00:00,-61.8459236683147,
2021-11-04 23:59:59,-57.13767917529415,c
2021-11-05 00:00:00,-71.7707286407711,
2021-11-05 03:30:00,-71.7707286407711,
2021-11-05 04:00:00,-71.7707286407711,
2021-11-05 06:00:00,-79.24304627058223,
2021-11-05 08:00:00,-101.31696198540956,
2021-11-05 10:30:00,-99.48212409708799,
2021-11-05 11:00:00,-107.4222527934484,
2021-11-05 23:59:59,-96.1735349367251,w
2021-11-08 00:00:00,-99.56624051985494,
2021-11-08 03:30:00,-126.8309217244788,
2021-11-08 04:00:00,-128.1058257405963,
2021-11-08 06:00:00,-154.30489612618578,
2021-11-08 08:00:00,-165.19359050670593,
2021-11-08 10:30:00,-144.82122006955643,
2021-11-08 11:00:00,-138.05356354279513,
2021-11-08 23:59:59,-135.66516584184998,c
2021-11-09 00:00:00,-147.6353435220596,
2021-11-09 03:30:00,-133.2810841038451,
2021-11-09 04:00:00,-130.50870245231312,
2021-11-09 06:00:00,-128.2233270582932,
2021-11-09 08:00:00,-142.7059517020704,
2021-11-09 10:30:00,-168.4453780084054,
2021-11-09 11:00:00,-170.8692242702687,
2021-11-09 23:59:59,-164.69695222085403,c
2021-11-10 00:00:00,-181.1014311815021,
2021-11-10 03:30:00,-182.75610177687838,
2021-11-10 04:00:00,-191.0955346762471,
2021-11-10 06:00:00,-212.40611070148026,
2021-11-10 08:00:00,-197.52251164421062,
2021-11-10 10:30:00,-175.6040234100143,
2021-11-10 11:00:00,-185.67184241670486,
2021-11-10 23:59:59,-172.35335805462825,c
2021-11-11 00:00:00,-189.23364748624016,
2021-11-11 03:30:00,-192.97020511621446,
2021-11-11 04:00:00,-175.39082276060827,
2021-11-11 06:00:00,-161.1075123595173,
2021-11-11 08:00:00,-161.12188343577716,
2021-11-11 10:30:00,-146.8394282360819,
2021-11-11 11:00:00,-147.66842947812188,
2021-11-11 23:59:59,-144.7433069756522,c
2021-11-12 00:00:00,-160.79800804746003,
2021-11-12 03:30:00,-158.96498913415286,
2021-11-12 04:00:00,-152.64826770730596,
2021-11-12 06:00:00,-165.0620099879035,
2021-11-12 08:00:00,-146.7511602766708,
2021-11-12 10:30:00,-150.1668792208019,
2021-11-12 11:00:00,-147.32955895793327,
2021-11-12 23:59:59,-146.70729464826974,w
2021-11-15 00:00:00,-160.83509281245588,
2021-11-15 03:30:00,-128.89001996527003,
2021-11-15 04:00:00,-119.2595487227546,
2021-11-15 06:00:00,-118.48890282320787,
2021-11-15 08:00:00,-120.39903055705079,
2021-11-15 10:30:00,-116.85393337724165,
2021-11-15 11:00:00,-106.20324400363575,
2021-11-15 23:59:59,-100.14271390761877,c
2021-11-16 00:00:00,-95.05395701694974,
2021-11-16 03:30:00,-94.45813686551145,
2021-11-16 04:00:00,-90.95945577952597,
2021-11-16 06:00:00,-85.17824597746338,
2021-11-16 08:00:00,-79.07267085546002,
2021-11-16 10:30:00,-79.32308979630355,
2021-11-16 11:00:00,-77.6324232791541,
2021-11-16 23:59:59,-70.63096023356962,c
2021-11-17 00:00:00,-92.12625863382365,
2021-11-17 03:30:00,-65.13847764365522,
2021-11-17 04:00:00,-68.02523223220973,
2021-11-17 06:00:00,-79.21560414202523,
