date,EU_MSCI_DM_AD_2022_Q4,meta
2022-09-29 00:00:00,-150.03799764564428,
2022-09-29 03:30:00,-195.9077585331945,
2022-09-29 04:00:00,-206.3890077557495,
2022-09-29 06:00:00,-139.26511796758007,
2022-09-29 08:00:00,-141.5741488447776,
2022-09-29 10:30:00,-160.64908308232782,
2022-09-29 11:00:00,-147.30335398179142,
2022-09-29 23:59:59,-199.80552966114521,c
2022-09-30 00:00:00,-192.03841423070708,
2022-09-30 03:30:00,-152.62366494591515,
2022-09-30 04:00:00,-168.54467881404753,
2022-09-30 06:00:00,-170.33738323107877,
2022-09-30 08:00:00,-231.12109346499767,
2022-09-30 10:30:00,-213.15682633308256,
2022-09-30 11:00:00,-197.1062066773187,
2022-09-30 23:59:59,-198.72630023115994,w
2022-10-03 00:00:00,-242.430206559843,
2022-10-03 03:30:00,-212.4586106203309,
2022-10-03 04:00:00,-216.97840512953496,
2022-10-03 06:00:00,-228.42031673347083,
2022-10-03 08:00:00,-203.27790923662803,
2022-10-03 10:30:00,-151.15291897296947,
2022-10-03 11:00:00,-145.86791117201466,
2022-10-03 23:59:59,-187.70534917846442,c
2022-10-04 00:00:00,-156.54594224320704,
2022-10-04 03:30:00,-137.3676152533423,
2022-10-04 04:00:00,-135.41742718601182,
2022-10-04 06:00:00,-128.26647207380535,
2022-10-04 08:00:00,-125.02892536962082,
2022-10-04 10:30:00,-89.10277766795406,
2022-10-04 11:00:00,-88.78803182078042,
2022-10-04 23:59:59,-100.92323174229017,c
2022-10-05 00:00:00,-121.88896889908654,
2022-10-05 03:30:00,-121.84245641024273,
2022-10-05 04:00:00,-139.9744779429904,
2022-10-05 06:00:00,-183.05443124241935,
2022-10-05 08:00:00,-185.6159240297667,
2022-10-05 10:30:00,-198.64230046303294,
2022-10-05 11:00:00,-198.66729042318207,
2022-10-05 23:59:59,-115.84617853895969,c
2022-10-06 00:00:00,-106.65937920657916,
2022-10-06 03:30:00,-106.168952296746,
2022-10-06 04:00:00,-103.20116328361138,
2022-10-06 06:00:00,-137.09963288638266,
2022-10-06 08:00:00,-164.0774609044479,
2022-10-06 10:30:00,-182.42497739435817,
2022-10-06 11:00:00,-180.56684334865895,
2022-10-06 23:59:59,-134.25244421309748,c
2022-10-07 00:00:00,-128.95616723387815,
2022-10-07 03:30:00,-135.17059150114062,
2022-10-07 04:00:00,-135.1460472834952,
2022-10-07 06:00:00,-101.1905521443772,
2022-10-07 08:00:00,-101.68315322306546,
2022-10-07 10:30:00,-137.31075607638314,
2022-10-07 11:00:00,-131.38591032478286,
2022-10-07 23:59:59,-130.4308332818951,w
2022-10-10 00:00:00,-181.544221332353,
2022-10-10 03:30:00,-150.2052606186066,
2022-10-10 04:00:00,-162.20257111378385,
2022-10-10 06:00:00,-150.11307161488213,
2022-10-10 08:00:00,-162.61670108148428,
2022-10-10 10:30:00,-149.5491880284036,
2022-10-10 11:00:00,-155.67064763108306,
2022-10-10 23:59:59,-149.24380043685227,c
2022-10-11 00:00:00,-171.90524401195228,
2022-10-11 03:30:00,-159.6153137885857,
2022-10-11 04:00:00,-183.29068702957034,
2022-10-11 06:00:00,-201.3369641485773,
2022-10-11 08:00:00,-171.92864414179405,
2022-10-11 10:30:00,-187.3119527156789,
2022-10-11 11:00:00,-171.38052322520173,
2022-10-11 23:59:59,-202.39449394430142,c
2022-10-12 00:00:00,-199.71186733119555,
2022-10-12 03:30:00,-237.11803519327816,
2022-10-12 04:00:00,-245.11306816524427,
2022-10-12 06:00:00,-210.65386935589947,
2022-10-12 08:00:00,-234.59709085965824,
2022-10-12 10:30:00,-254.63218829923812,
2022-10-12 11:00:00,-245.9273084591174,
2022-10-12 23:59:59,-272.5801774364761,c
2022-10-13 00:00:00,-282.5997862104616,
2022-10-13 03:30:00,-301.89267477195017,
2022-10-13 04:00:00,-298.6513656468277,
2022-10-13 06:00:00,-245.9219978373992,
2022-10-13 08:00:00,-194.52712914670997,
2022-10-13 10:30:00,-252.18571764188255,
2022-10-13 11:00:00,-235.69642088819444,
2022-10-13 23:59:59,-265.4700820687741,c
2022-10-14 00:00:00,-216.75976561430844,
2022-10-14 03:30:00,-251.28981742441636,
2022-10-14 04:00:00,-236.21184099620416,
2022-10-14 06:00:00,-255.8052331254661,
2022-10-14 08:00:00,-288.21694942530144,
2022-10-14 10:30:00,-310.75720819882633,
2022-10-14 11:00:00,-296.47052324025367,
2022-10-14 23:59:59,-271.8768854048359,w
2022-10-17 00:00:00,-269.22760234849545,
2022-10-17 03:30:00,-265.08273038625066,
2022-10-17 04:00:00,-249.95710615830285,
2022-10-17 06:00:00,-253.61597677684756,
2022-10-17 08:00:00,-237.5268347973257,
2022-10-17 10:30:00,-201.54898793302357,
2022-10-17 11:00:00,-185.45346451171304,
2022-10-17 23:59:59,-240.28843880346733,c
2022-10-18 00:00:00,-214.33710985982225,
2022-10-18 03:30:00,-244.743162610696,
2022-10-18 04:00:00,-220.34072068466128,
2022-10-18 06:00:00,-252.53585839616642,
2022-10-18 08:00:00,-242.32162964930387,
2022-10-18 10:30:00,-247.32836748390775,
2022-10-18 11:00:00,-238.38087593771422,
