date,SP1500_GV_2022_Q4,meta
2022-10-28 00:00:00,159.7567677022323,
2022-10-28 10:00:00,143.0257810283099,
2022-10-28 10:30:00,136.21267495233667,
2022-10-28 12:00:00,131.3956708049866,
2022-10-28 13:30:00,118.77494163311383,
2022-10-28 15:00:00,121.74054119528034,
2022-10-28 15:30:30,121.74054119528034,
2022-10-28 23:59:59,125.66103073032866,w
2022-10-31 00:00:00,138.261129536657,
2022-10-31 10:00:00,128.41539289870684,
2022-10-31 10:30:00,141.21053826441732,
2022-10-31 12:00:00,138.5901572265193,
2022-10-31 13:30:00,130.92087783505087,
2022-10-31 15:00:00,134.15363321165387,
2022-10-31 15:30:30,134.15363321165387,
2022-10-31 23:59:59,138.27326959537402,c
2022-11-01 00:00:00,117.49255333034944,
2022-11-01 10:00:00,129.2683210853845,
2022-11-01 10:30:00,134.70484547987803,
2022-11-01 12:00:00,136.59010781121538,
2022-11-01 13:30:00,132.25105820806345,
2022-11-01 15:00:00,127.55377972033045,
2022-11-01 15:30:30,127.55377972033045,
2022-11-01 23:59:59,133.8906751782157,c
2022-11-02 00:00:00,103.18050720511508,
2022-11-02 10:00:00,111.62940458788057,
2022-11-02 10:30:00,106.94673769629401,
2022-11-02 12:00:00,114.29539335319578,
2022-11-02 13:30:00,120.01518638047685,
2022-11-02 15:00:00,124.21324809210614,
2022-11-02 15:30:30,124.21324809210614,
2022-11-02 23:59:59,144.54170212180634,c
2022-11-03 00:00:00,162.25547371174218,
2022-11-03 10:00:00,158.9850627755245,
2022-11-03 10:30:00,140.77845588494847,
2022-11-03 12:00:00,154.31289874685126,
2022-11-03 13:30:00,149.00219719915822,
2022-11-03 15:00:00,152.94614027098203,
2022-11-03 15:30:30,152.94614027098203,
2022-11-03 23:59:59,161.30895803093551,c
2022-11-04 00:00:00,135.99666316546575,
2022-11-04 10:00:00,151.8145521333313,
2022-11-04 10:30:00,146.08138381985987,
2022-11-04 12:00:00,167.17489738847974,
2022-11-04 13:30:00,163.42747351334435,
2022-11-04 15:00:00,151.15598777077878,
2022-11-04 15:30:30,151.15598777077878,
2022-11-04 23:59:59,138.8128529142806,w
2022-11-07 00:00:00,141.56615654831216,
2022-11-07 10:00:00,140.98836828459787,
2022-11-07 10:30:00,130.537213841297,
2022-11-07 12:00:00,117.4523576406159,
2022-11-07 13:30:00,112.08047742772885,
2022-11-07 15:00:00,104.57007832372926,
2022-11-07 15:30:30,104.57007832372926,
2022-11-07 23:59:59,102.77890939265876,c
2022-11-08 00:00:00,87.23041939897416,
2022-11-08 10:00:00,75.95610951914568,
2022-11-08 10:30:00,88.41028289914811,
2022-11-08 12:00:00,79.78761944708037,
2022-11-08 13:30:00,87.51291214385276,
2022-11-08 15:00:00,96.2414547810697,
2022-11-08 15:30:30,96.2414547810697,
2022-11-08 23:59:59,88.00825129437601,c
2022-11-09 00:00:00,81.24804584133722,
2022-11-09 10:00:00,73.9349060365073,
2022-11-09 10:30:00,72.2588958225914,
2022-11-09 12:00:00,66.47814193353906,
2022-11-09 13:30:00,76.86505190742741,
2022-11-09 15:00:00,90.05275069802804,
2022-11-09 15:30:30,90.05275069802804,
2022-11-09 23:59:59,85.72951651961716,c
2022-11-10 00:00:00,35.94043242126918,
2022-11-10 10:00:00,19.487591924048388,
2022-11-10 10:30:00,24.110426322694593,
2022-11-10 12:00:00,25.62174708392979,
2022-11-10 13:30:00,19.632884711681072,
2022-11-10 15:00:00,7.703894112688317,
2022-11-10 15:30:30,7.703894112688317,
2022-11-10 23:59:59,-0.77918563227297,c
2022-11-11 00:00:00,7.56740186117122,
2022-11-11 10:00:00,-10.10153747116965,
