date,ISPY_2022_Q4,meta
2022-10-21 10:30:00,137.57185049833788,
2022-10-21 12:00:00,116.07569647497212,
2022-10-21 13:30:00,67.16493013270156,
2022-10-21 15:00:00,45.141953905081664,
2022-10-21 15:30:30,45.141953905081664,
2022-10-21 23:59:59,50.014014550019965,e
2022-10-24 00:00:00,42.869941836585895,
2022-10-24 10:00:00,75.2479341859414,
2022-10-24 10:30:00,71.89165167280976,
2022-10-24 12:00:00,96.55378748533371,
2022-10-24 13:30:00,118.23396476172252,
2022-10-24 15:00:00,138.82122485565515,
2022-10-24 15:30:30,138.82122485565515,
2022-10-24 23:59:59,120.69059844695653,c
2022-10-25 00:00:00,88.40295556416163,
2022-10-25 10:00:00,122.19344204248887,
2022-10-25 10:30:00,110.23817369968606,
2022-10-25 12:00:00,111.29626034520697,
2022-10-25 13:30:00,98.21667067823546,
2022-10-25 15:00:00,79.99534521150485,
2022-10-25 15:30:30,79.99534521150485,
2022-10-25 23:59:59,97.75768858894253,c
2022-10-26 00:00:00,170.38459299836313,
2022-10-26 10:00:00,125.06455675651091,
2022-10-26 10:30:00,123.12781621017393,
2022-10-26 12:00:00,181.61193347769427,
2022-10-26 13:30:00,212.6325766319078,
2022-10-26 15:00:00,193.58825899439103,
2022-10-26 15:30:30,193.58825899439103,
2022-10-26 23:59:59,172.053394783047,c
2022-10-27 00:00:00,123.96416010001712,
2022-10-27 10:00:00,186.93407509975123,
2022-10-27 10:30:00,216.23047846622467,
2022-10-27 12:00:00,226.57658329762899,
2022-10-27 13:30:00,227.8671135998061,
2022-10-27 15:00:00,211.66589959629846,
2022-10-27 15:30:30,211.66589959629846,
2022-10-27 23:59:59,198.8048011662131,c
2022-10-28 00:00:00,248.91907432595826,
2022-10-28 10:00:00,281.69211158544886,
2022-10-28 10:30:00,321.11964876906586,
2022-10-28 12:00:00,335.50391353614805,
2022-10-28 13:30:00,313.57448610461324,
2022-10-28 15:00:00,303.01042983836305,
2022-10-28 15:30:30,303.01042983836305,
2022-10-28 23:59:59,288.3563955158552,w
2022-10-31 00:00:00,278.2323243329747,
2022-10-31 10:00:00,242.9763113106701,
2022-10-31 10:30:00,279.14581166088556,
2022-10-31 12:00:00,257.21638579512774,
2022-10-31 13:30:00,256.9101234159348,
2022-10-31 15:00:00,259.50131700437623,
2022-10-31 15:30:30,259.50131700437623,
2022-10-31 23:59:59,258.0247049429845,c
2022-11-01 00:00:00,237.93121819808403,
2022-11-01 10:00:00,267.72718023805055,
2022-11-01 10:30:00,291.1341790334586,
2022-11-01 12:00:00,312.169807412115,
2022-11-01 13:30:00,317.9431120973136,
2022-11-01 15:00:00,325.5003205068638,
2022-11-01 15:30:30,325.5003205068638,
2022-11-01 23:59:59,338.4960325297943,c
2022-11-02 00:00:00,347.1646988505968,
2022-11-02 10:00:00,356.06737583937,
2022-11-02 10:30:00,366.5240737177146,
2022-11-02 12:00:00,374.31086932324206,
2022-11-02 13:30:00,365.70084144870907,
2022-11-02 15:00:00,334.93659663624385,
2022-11-02 15:30:30,334.93659663624385,
2022-11-02 23:59:59,289.42733325028894,c
2022-11-03 00:00:00,86.47692675775193,
2022-11-03 10:00:00,60.73907586483688,
2022-11-03 10:30:00,77.58398634173136,
2022-11-03 12:00:00,65.35897471672524,
2022-11-03 13:30:00,58.623045911353756,
2022-11-03 15:00:00,22.288404048732673,
2022-11-03 15:30:30,22.288404048732673,
2022-11-03 23:59:59,-0.30249901221964137,c
2022-11-04 00:00:00,93.92357229375284,
2022-11-04 10:00:00,178.67202220105742,
2022-11-04 10:30:00,236.11214091361762,
2022-11-04 12:00:00,208.8731607243003,
2022-11-04 13:30:00,252.76534129443235,
2022-11-04 15:00:00,273.0184173087232,
2022-11-04 15:30:30,273.0184173087232,
2022-11-04 23:59:59,296.1132006348457,w
