date,AS_MSCI_EM_ESG_2022_Q2,meta
2022-04-07 00:00:00,-298.02908638814324,
2022-04-07 01:00:00,-281.38835421621536,
2022-04-07 02:30:00,-294.791109510531,
2022-04-07 03:00:00,-302.3310529801433,
2022-04-07 18:30:00,-302.3310529801433,
2022-04-07 20:00:00,-302.3310529801433,
2022-04-07 23:00:00,-361.32895557734474,
2022-04-07 23:59:59,-345.64900597402067,c
2022-04-08 00:00:00,-360.61316380902525,
2022-04-08 01:00:00,-384.0985122855528,
2022-04-08 02:30:00,-421.6967334206948,
2022-04-08 03:00:00,-440.10537688213225,
2022-04-08 18:30:00,-440.10537688213225,
2022-04-08 20:00:00,-440.10537688213225,
2022-04-08 23:00:00,-440.10537688213225,
2022-04-08 23:59:59,-433.1312131782914,w
2022-04-11 00:00:00,-287.91893036628323,
2022-04-11 01:00:00,-286.6636169137054,
2022-04-11 02:30:00,-231.60151970572525,
2022-04-11 03:00:00,-222.9882067116842,
2022-04-11 18:30:00,-222.9882067116842,
2022-04-11 20:00:00,-222.9882067116842,
2022-04-11 23:00:00,-196.99928985776444,
2022-04-11 23:59:59,-193.68115482688262,c
2022-04-12 00:00:00,-186.2924477566351,
2022-04-12 01:00:00,-182.0008387037297,
2022-04-12 02:30:00,-236.60122162162776,
2022-04-12 03:00:00,-228.04159231047265,
2022-04-12 18:30:00,-228.04159231047265,
2022-04-12 20:00:00,-228.04159231047265,
2022-04-12 23:00:00,-228.4706871690745,
2022-04-12 23:59:59,-208.91961903159466,c
2022-04-13 00:00:00,-201.66677127489658,
2022-04-13 01:00:00,-195.42261797714207,
2022-04-13 02:30:00,-203.3190873297218,
2022-04-13 03:00:00,-188.43501566649962,
2022-04-13 18:30:00,-188.43501566649962,
2022-04-13 20:00:00,-188.43501566649962,
2022-04-13 23:00:00,-217.95297826493652,
2022-04-13 23:59:59,-237.4112949542557,c
2022-04-14 00:00:00,-267.8269855081095,
2022-04-14 01:00:00,-267.92137673106043,
2022-04-14 02:30:00,-301.0875245242732,
2022-04-14 03:00:00,-286.7351802109726,
2022-04-14 18:30:00,-286.7351802109726,
2022-04-14 20:00:00,-286.7351802109726,
2022-04-14 23:00:00,-304.7598826160286,
2022-04-14 23:59:59,-300.0354985693294,c
2022-04-15 00:00:00,-308.8146893076274,
2022-04-15 01:00:00,-322.84740161554583,
2022-04-15 02:30:00,-322.84740161554583,
2022-04-15 03:00:00,-322.84740161554583,
2022-04-15 18:30:00,-322.84740161554583,
2022-04-15 20:00:00,-322.84740161554583,
2022-04-15 23:00:00,-322.84740161554583,
2022-04-15 23:59:59,-328.0925496729861,w
2022-04-18 00:00:00,-317.57541598665637,
2022-04-18 01:00:00,-327.4862735864696,
2022-04-18 02:30:00,-327.4862735864696,
2022-04-18 03:00:00,-327.4862735864696,
2022-04-18 18:30:00,-327.4862735864696,
2022-04-18 20:00:00,-327.4862735864696,
2022-04-18 23:00:00,-250.88767373309776,
2022-04-18 23:59:59,-271.68244889650543,c
2022-04-19 00:00:00,-227.6760065614285,
2022-04-19 01:00:00,-221.77755934220795,
2022-04-19 02:30:00,-207.22212382598207,
2022-04-19 03:00:00,-224.8539039109777,
2022-04-19 18:30:00,-224.8539039109777,
2022-04-19 20:00:00,-224.8539039109777,
2022-04-19 23:00:00,-97.8328645965845,
2022-04-19 23:59:59,-112.51751572245331,c
2022-04-20 00:00:00,-123.8124884073975,
2022-04-20 01:00:00,-130.75263734888716,
2022-04-20 02:30:00,-106.44375400830705,
2022-04-20 03:00:00,-98.80011454196466,
2022-04-20 18:30:00,-98.80011454196466,
2022-04-20 20:00:00,-98.80011454196466,
2022-04-20 23:00:00,-153.34527211341367,
2022-04-20 23:59:59,-141.60993554850927,c
2022-04-21 00:00:00,-122.24535487834339,
2022-04-21 01:00:00,-123.33932104577696,
2022-04-21 02:30:00,-127.51384370882352,
2022-04-21 03:00:00,-134.96453611487817,
2022-04-21 18:30:00,-134.96453611487817,
2022-04-21 20:00:00,-134.96453611487817,
2022-04-21 23:00:00,-161.57029332780212,
2022-04-21 23:59:59,-167.3404393010851,c
2022-04-22 00:00:00,-143.49218386133776,
2022-04-22 01:00:00,-138.01742334858005,
2022-04-22 02:30:00,-106.4043145386334,
2022-04-22 03:00:00,-105.73475444611557,
2022-04-22 18:30:00,-105.73475444611557,
2022-04-22 20:00:00,-105.73475444611557,
2022-04-22 23:00:00,-105.73475444611557,
2022-04-22 23:59:59,-86.17348218244814,w
2022-04-25 00:00:00,-13.08038650212302,
2022-04-25 01:00:00,-20.56302999259671,
2022-04-25 02:30:00,-22.466937478618064,
2022-04-25 03:00:00,-4.97516010322056,
2022-04-25 18:30:00,-4.97516010322056,
2022-04-25 20:00:00,-4.97516010322056,
2022-04-25 23:00:00,-54.33409020646454,
2022-04-25 23:59:59,-35.40864607130092,c
2022-04-26 00:00:00,-27.438845920627074,
2022-04-26 01:00:00,-26.01259871334841,
2022-04-26 02:30:00,-4.329450984199923,
2022-04-26 03:00:00,-6.6998701264144245,
2022-04-26 18:30:00,-6.6998701264144245,
2022-04-26 20:00:00,-6.6998701264144245,
2022-04-26 23:00:00,-79.8022291108183,
2022-04-26 23:59:59,-60.64387983059146,c
2022-04-27 00:00:00,-46.92905314049159,
2022-04-27 01:00:00,-53.069626493027926,
2022-04-27 02:30:00,-68.319810345436,
2022-04-27 03:00:00,-78.30242047469648,
2022-04-27 18:30:00,-78.30242047469648,
2022-04-27 20:00:00,-78.30242047469648,
2022-04-27 23:00:00,-94.96445083156016,
2022-04-27 23:59:59,-91.78410033425922,c
