date,MSCI_US_AD_2022_Q1,meta
2022-01-05 00:00:00,458.15642125097554,
2022-01-05 10:00:00,413.36965097525433,
2022-01-05 10:30:00,406.59882955410797,
2022-01-05 12:00:00,302.7420331547348,
2022-01-05 13:30:00,355.87236218080204,
2022-01-05 15:00:00,277.04843218420854,
2022-01-05 15:30:30,277.04843218420854,
2022-01-05 23:59:59,289.2390304832378,c
2022-01-06 00:00:00,250.0245669602158,
2022-01-06 10:00:00,288.99978557986253,
2022-01-06 10:30:00,274.97767836420064,
2022-01-06 12:00:00,403.8042688444825,
2022-01-06 13:30:00,358.4321654198759,
2022-01-06 15:00:00,322.17335600112006,
2022-01-06 15:30:30,322.17335600112006,
2022-01-06 23:59:59,307.96257520075153,c
2022-01-07 00:00:00,248.06909985837103,
2022-01-07 10:00:00,379.3004093681002,
2022-01-07 10:30:00,352.7166695381445,
2022-01-07 12:00:00,346.39440787670105,
2022-01-07 13:30:00,308.07164952168887,
2022-01-07 15:00:00,288.35924207148605,
2022-01-07 15:30:30,288.35924207148605,
2022-01-07 23:59:59,238.9296091420997,w
2022-01-10 00:00:00,312.7414899912211,
2022-01-10 10:00:00,198.55883466062403,
2022-01-10 10:30:00,276.18989877838055,
2022-01-10 12:00:00,307.3027870310025,
2022-01-10 13:30:00,366.94208623446696,
2022-01-10 15:00:00,363.99809882982606,
2022-01-10 15:30:30,363.99809882982606,
2022-01-10 23:59:59,395.5054182673698,c
2022-01-11 00:00:00,370.16098956488895,
2022-01-11 10:00:00,441.3188121317402,
2022-01-11 10:30:00,475.3613561453765,
2022-01-11 12:00:00,515.5048441027235,
2022-01-11 13:30:00,437.80218906169057,
2022-01-11 15:00:00,394.01685027820076,
2022-01-11 15:30:30,394.01685027820076,
2022-01-11 23:59:59,393.672128676994,c
2022-01-12 00:00:00,454.4328206504182,
2022-01-12 10:00:00,390.6103354985652,
2022-01-12 10:30:00,354.04593331412923,
2022-01-12 12:00:00,407.1708562709391,
2022-01-12 13:30:00,433.12088954618093,
2022-01-12 15:00:00,429.01450259668866,
2022-01-12 15:30:30,429.01450259668866,
2022-01-12 23:59:59,404.82867175192814,c
2022-01-13 00:00:00,364.5363587411142,
2022-01-13 10:00:00,377.5882238060933,
2022-01-13 10:30:00,341.76433358100246,
2022-01-13 12:00:00,283.8578449016019,
2022-01-13 13:30:00,264.79217851024885,
2022-01-13 15:00:00,299.55719583344853,
2022-01-13 15:30:30,299.55719583344853,
2022-01-13 23:59:59,225.81094503921486,c
2022-01-14 00:00:00,151.9724059129764,
2022-01-14 10:00:00,98.33140756072669,
2022-01-14 10:30:00,71.28143913723028,
2022-01-14 12:00:00,65.74112698644126,
2022-01-14 13:30:00,49.49574235581605,
2022-01-14 15:00:00,130.68999275736928,
2022-01-14 15:30:30,130.68999275736928,
2022-01-14 23:59:59,162.85404943392086,w
2022-01-17 00:00:00,162.85404943392086,
2022-01-17 10:00:00,162.85404943392086,
2022-01-17 10:30:00,162.85404943392086,
2022-01-17 12:00:00,162.85404943392086,
2022-01-17 13:30:00,162.85404943392086,
2022-01-17 15:00:00,162.85404943392086,
2022-01-17 15:30:30,162.85404943392086,
2022-01-17 23:59:59,162.85404943392086,c
2022-01-18 00:00:00,121.35203915822945,
2022-01-18 10:00:00,-13.336882162179165,
2022-01-18 10:30:00,17.255055520792666,
2022-01-18 12:00:00,-63.32183158499561,
2022-01-18 13:30:00,-136.08847694479027,
2022-01-18 15:00:00,-118.80688222137027,
2022-01-18 15:30:30,-118.80688222137027,s
2022-01-18 23:59:59,-171.4734473519393,c
2022-01-19 00:00:00,-131.24216657167656,
2022-01-19 10:00:00,-281.18320530075107,
2022-01-19 10:30:00,-264.66284461788484,
2022-01-19 12:00:00,-273.99300061233305,
2022-01-19 13:30:00,-229.54133037294105,
2022-01-19 15:00:00,-270.07847102895767,
2022-01-19 15:30:30,-270.07847102895767,
2022-01-19 23:59:59,-273.5401437050444,c
2022-01-20 00:00:00,-249.19272675686148,
2022-01-20 10:00:00,-193.48626044195987,
2022-01-20 10:30:00,-90.87633084385385,
2022-01-20 12:00:00,-136.98344344990505,
2022-01-20 13:30:00,-137.9719083917663,
2022-01-20 15:00:00,-132.79620839125283,
2022-01-20 15:30:30,-132.79620839125283,
2022-01-20 23:59:59,-160.83543952606092,c
2022-01-21 00:00:00,-239.17577661967184,
2022-01-21 10:00:00,-219.99032786641246,
2022-01-21 10:30:00,-219.56666074305173,
2022-01-21 12:00:00,-186.0778509264497,
2022-01-21 13:30:00,-153.73293837561457,
2022-01-21 15:00:00,-189.99543899013008,
2022-01-21 15:30:30,-189.99543899013008,
2022-01-21 23:59:59,-198.00809563631725,w
2022-01-24 00:00:00,-218.04486787904435,
2022-01-24 10:00:00,-233.21971170402634,
2022-01-24 10:30:00,-350.7768738482929,
2022-01-24 12:00:00,-451.5278724140234,
2022-01-24 13:30:00,-272.5309278832111,
2022-01-24 15:00:00,-213.8428833102335,
2022-01-24 15:30:30,-213.8428833102335,
2022-01-24 23:59:59,-158.00370406850303,c
2022-01-25 00:00:00,-347.9786715654345,
2022-01-25 10:00:00,-136.54637471314527,
2022-01-25 10:30:00,-258.2031456676285,
2022-01-25 12:00:00,-329.45529612622795,
2022-01-25 13:30:00,-311.5332572760628,
2022-01-25 15:00:00,-330.6999039260901,
2022-01-25 15:30:30,-330.6999039260901,
2022-01-25 23:59:59,-383.12591516798534,c
2022-01-26 00:00:00,-297.902953509555,
2022-01-26 10:00:00,-262.492443156983,
2022-01-26 10:30:00,-328.67554142021726,
2022-01-26 12:00:00,-450.6260757769299,
2022-01-26 13:30:00,-448.59969980974677,
2022-01-26 15:00:00,-474.7289937067351,
2022-01-26 15:30:30,-474.7289937067351,
2022-01-26 23:59:59,-489.5680738531755,c
2022-01-27 00:00:00,-503.53800804400475,
2022-01-27 10:00:00,-567.8857964247507,
2022-01-27 10:30:00,-622.1421525391031,
2022-01-27 12:00:00,-645.4946590756915,
2022-01-27 13:30:00,-658.3620265980883,
2022-01-27 15:00:00,-634.7854602922539,
2022-01-27 15:30:30,-634.7854602922539,
2022-01-27 23:59:59,-672.3884635036075,c
2022-01-28 00:00:00,-755.8765079348777,
2022-01-28 10:00:00,-740.1851752330573,
2022-01-28 10:30:00,-836.3478249895418,
2022-01-28 12:00:00,-728.4624707273907,
2022-01-28 13:30:00,-775.8398466009689,
2022-01-28 15:00:00,-778.8244060314921,
2022-01-28 15:30:30,-778.8244060314921,
2022-01-28 23:59:59,-767.7909554204223,w
2022-01-31 00:00:00,-723.2746537609622,
2022-01-31 10:00:00,-684.8220622825424,
2022-01-31 10:30:00,-774.9191364352694,
2022-01-31 12:00:00,-667.1599207602317,
2022-01-31 13:30:00,-680.777595786748,
2022-01-31 15:00:00,-670.0049437130197,
2022-01-31 15:30:30,-670.0049437130197,
2022-01-31 23:59:59,-683.6863394825214,c
2022-02-01 00:00:00,-669.7059156035141,
2022-02-01 10:00:00,-625.0020303776057,
2022-02-01 10:30:00,-605.0247260559556,
2022-02-01 12:00:00,-552.3656963770014,
2022-02-01 13:30:00,-540.8905110627031,
2022-02-01 15:00:00,-551.2145631645942,
2022-02-01 15:30:30,-551.2145631645942,
2022-02-01 23:59:59,-494.08016914105406,c
2022-02-02 00:00:00,-461.3009517479988,
