date,AS_HSTECH_2021_Q4,meta
2021-10-29 00:00:00,239.76359500608905,
2021-10-29 01:00:00,239.76359500608905,
2021-10-29 02:30:00,230.75702320511155,
2021-10-29 03:00:00,225.9635892715386,
2021-10-29 18:30:00,225.9635892715386,
2021-10-29 20:00:00,225.9635892715386,
2021-10-29 23:00:00,225.9635892715386,
2021-10-29 23:59:59,222.16332750888293,w
2021-11-01 00:00:00,228.21859205990168,
2021-11-01 01:00:00,228.21859205990168,
2021-11-01 02:30:00,239.62846178666476,
2021-11-01 03:00:00,223.820145341217,
2021-11-01 18:30:00,223.820145341217,
2021-11-01 20:00:00,223.820145341217,
2021-11-01 23:00:00,168.14853921119942,
2021-11-01 23:59:59,158.51313678058168,c
2021-11-02 00:00:00,202.2103455087139,
2021-11-02 01:00:00,202.2103455087139,
2021-11-02 02:30:00,226.45279979835354,
2021-11-02 03:00:00,222.95509746321721,
2021-11-02 18:30:00,222.95509746321721,
2021-11-02 20:00:00,222.95509746321721,
2021-11-02 23:00:00,231.53465982193484,
2021-11-02 23:59:59,209.29967288333674,c
2021-11-03 00:00:00,188.01496037763408,
2021-11-03 01:00:00,188.01496037763408,
2021-11-03 02:30:00,202.23545737374124,
2021-11-03 03:00:00,201.0922939991576,
2021-11-03 18:30:00,201.0922939991576,
2021-11-03 20:00:00,201.0922939991576,
2021-11-03 23:00:00,209.60108499022044,
2021-11-03 23:59:59,202.32056601929136,c
2021-11-04 00:00:00,215.15475905053327,
2021-11-04 01:00:00,215.15475905053327,
2021-11-04 02:30:00,213.2465881674525,
2021-11-04 03:00:00,222.4797760341485,
2021-11-04 18:30:00,222.4797760341485,
2021-11-04 20:00:00,222.4797760341485,
2021-11-04 23:00:00,215.09566380196554,
2021-11-04 23:59:59,203.3166105856419,c
2021-11-05 00:00:00,183.0797777111902,
2021-11-05 01:00:00,183.0797777111902,
2021-11-05 02:30:00,181.75788613029118,
2021-11-05 03:00:00,182.14803486100058,
2021-11-05 18:30:00,182.14803486100058,
2021-11-05 20:00:00,182.14803486100058,
2021-11-05 23:00:00,182.14803486100058,
2021-11-05 23:59:59,190.55755304570704,w
2021-11-08 00:00:00,281.8811145592427,
2021-11-08 01:00:00,276.5128977438666,
2021-11-08 02:30:00,297.17406177567557,
2021-11-08 03:00:00,284.1337363926391,
2021-11-08 18:30:00,284.1337363926391,
2021-11-08 20:00:00,284.1337363926391,
2021-11-08 23:00:00,283.3827535030759,
2021-11-08 23:59:59,283.47127557328594,c
2021-11-09 00:00:00,320.97734824939727,
2021-11-09 01:00:00,295.63450500480207,
2021-11-09 02:30:00,282.96532135504003,
2021-11-09 03:00:00,280.762876074013,
2021-11-09 18:30:00,280.762876074013,
2021-11-09 20:00:00,280.762876074013,
2021-11-09 23:00:00,288.75811385090407,
2021-11-09 23:59:59,288.79166126003963,c
2021-11-10 00:00:00,283.98138364545525,
2021-11-10 01:00:00,296.91622012712907,
2021-11-10 02:30:00,301.8811247073077,
2021-11-10 03:00:00,325.77538765073797,
2021-11-10 18:30:00,325.77538765073797,
2021-11-10 20:00:00,325.77538765073797,
2021-11-10 23:00:00,286.93426366763134,
2021-11-10 23:59:59,286.8851645436429,c
2021-11-11 00:00:00,256.0694533041477,
2021-11-11 01:00:00,275.2003789488393,
2021-11-11 02:30:00,315.36421882283247,
2021-11-11 03:00:00,297.26595267086844,
2021-11-11 18:30:00,297.26595267086844,
2021-11-11 20:00:00,297.26595267086844,
2021-11-11 23:00:00,214.3344718189575,
2021-11-11 23:59:59,214.28300833868823,c
2021-11-12 00:00:00,232.31563660931482,
2021-11-12 01:00:00,238.5473586270253,
2021-11-12 02:30:00,254.1048066030482,
2021-11-12 03:00:00,255.79546147838752,
2021-11-12 18:30:00,255.79546147838752,
2021-11-12 20:00:00,255.79546147838752,
2021-11-12 23:00:00,255.79546147838752,
2021-11-12 23:59:59,255.8451768670372,w
2021-11-15 00:00:00,246.97258361547253,
2021-11-15 01:00:00,258.05686421890243,
2021-11-15 02:30:00,242.9735601028156,
2021-11-15 03:00:00,235.93881108577492,
2021-11-15 18:30:00,235.93881108577492,
2021-11-15 20:00:00,235.93881108577492,
2021-11-15 23:00:00,285.58716036544405,
2021-11-15 23:59:59,285.59413863015385,c
2021-11-16 00:00:00,292.40838621034925,
2021-11-16 01:00:00,345.0682659123543,
2021-11-16 02:30:00,332.8765613167542,
2021-11-16 03:00:00,329.51832356019236,
2021-11-16 18:30:00,329.51832356019236,
2021-11-16 20:00:00,329.51832356019236,
2021-11-16 23:00:00,369.03619104941146,
2021-11-16 23:59:59,368.9996941276236,c
2021-11-17 00:00:00,298.52112260399747,
2021-11-17 01:00:00,316.94562068564227,
2021-11-17 02:30:00,307.992382009392,
2021-11-17 03:00:00,313.83062389358184,
2021-11-17 18:30:00,313.83062389358184,
2021-11-17 20:00:00,313.83062389358184,
2021-11-17 23:00:00,339.6190421617665,
2021-11-17 23:59:59,339.6650786312347,c
2021-11-18 00:00:00,289.18581048265975,
2021-11-18 01:00:00,276.4145857741822,
2021-11-18 02:30:00,279.8957958110365,
2021-11-18 03:00:00,271.77029902997293,
2021-11-18 18:30:00,271.77029902997293,
2021-11-18 20:00:00,271.77029902997293,
2021-11-18 23:00:00,276.2154298188366,
2021-11-18 23:59:59,276.20700495720854,c
2021-11-19 00:00:00,60.41384252532471,
2021-11-19 01:00:00,36.97822780586519,
2021-11-19 02:30:00,25.047520611601552,
2021-11-19 03:00:00,0.006880377166924134,
2021-11-19 18:30:00,0.006880377166924134,
