date,IBB_2021_Q3,meta
2021-09-10 12:00:00,-96.42746910277492,
2021-09-10 13:30:00,-83.33957986697533,
2021-09-10 15:00:00,-66.39899174259426,
2021-09-10 15:30:30,-66.39899174259426,
2021-09-10 23:59:59,-77.37418367573582,w
2021-09-13 00:00:00,-62.48277429354448,
2021-09-13 10:00:00,-79.8662778501025,
2021-09-13 10:30:00,-100.67095585165907,
2021-09-13 12:00:00,-62.20961613641475,
2021-09-13 13:30:00,-33.09685394062217,
2021-09-13 15:00:00,-46.24695232586555,
2021-09-13 15:30:30,-46.24695232586555,
2021-09-13 23:59:59,-95.69872004814397,c
2021-09-14 00:00:00,-95.51637238527746,
2021-09-14 10:00:00,-99.02658515067742,
2021-09-14 10:30:00,-132.51936351638824,
2021-09-14 12:00:00,-126.22132919764908,
2021-09-14 13:30:00,-169.47625391170595,
2021-09-14 15:00:00,-169.3819609519228,
2021-09-14 15:30:30,-169.3819609519228,
2021-09-14 23:59:59,-172.668588295242,c
2021-09-15 00:00:00,-176.34871674439546,
2021-09-15 10:00:00,-202.22290908515106,
2021-09-15 10:30:00,-167.65355886631914,
2021-09-15 12:00:00,-146.57247370403684,
2021-09-15 13:30:00,-172.3901398207331,
2021-09-15 15:00:00,-198.57856633244455,
2021-09-15 15:30:30,-198.57856633244455,
2021-09-15 23:59:59,-203.6106518062602,c
2021-09-16 00:00:00,-171.44886408204502,
2021-09-16 10:00:00,-247.57062965120485,
2021-09-16 10:30:00,-270.5390365716762,
2021-09-16 12:00:00,-264.6439390695623,
2021-09-16 13:30:00,-269.39522628695613,
2021-09-16 15:00:00,-261.0997492202014,
2021-09-16 15:30:30,-261.0997492202014,
2021-09-16 23:59:59,-271.53865197013147,c
2021-09-17 00:00:00,-371.44125877492024,
2021-09-17 10:00:00,-328.92263285284025,
2021-09-17 10:30:00,-314.4668878270122,
2021-09-17 12:00:00,-320.12867948143,
2021-09-17 13:30:00,-262.68889664262633,
2021-09-17 15:00:00,-259.26845500269883,
2021-09-17 15:30:30,-259.26845500269883,
2021-09-17 23:59:59,-231.05449809887295,e
2021-09-20 00:00:00,-288.952340528936,
2021-09-20 10:00:00,-245.11168293512992,
2021-09-20 10:30:00,-281.05940052837605,
2021-09-20 12:00:00,-325.2369604806581,
2021-09-20 13:30:00,-282.49661030211837,
2021-09-20 15:00:00,-303.46896891184224,
2021-09-20 15:30:30,-303.46896891184224,
2021-09-20 23:59:59,-297.25838413594875,c
2021-09-21 00:00:00,-301.11478291477306,
2021-09-21 10:00:00,-291.8533311996662,
2021-09-21 10:30:00,-255.66260667226197,
2021-09-21 12:00:00,-196.34151039249173,
2021-09-21 13:30:00,-255.91740194097292,
2021-09-21 15:00:00,-268.25418856213855,
2021-09-21 15:30:30,-268.25418856213855,
2021-09-21 23:59:59,-263.42232890185187,c
2021-09-22 00:00:00,-259.10415879756874,
2021-09-22 10:00:00,-283.965554719015,
2021-09-22 10:30:00,-291.0122148568944,
2021-09-22 12:00:00,-284.6546754867104,
2021-09-22 13:30:00,-282.9734769716374,
2021-09-22 15:00:00,-297.9724808544038,
2021-09-22 15:30:30,-297.9724808544038,
2021-09-22 23:59:59,-288.189660071017,c
2021-09-23 00:00:00,-293.1520147910842,
2021-09-23 10:00:00,-337.2925603221015,
2021-09-23 10:30:00,-347.51001525481206,
2021-09-23 12:00:00,-391.2211859750978,
2021-09-23 13:30:00,-396.8490294619296,
2021-09-23 15:00:00,-375.61121777352037,
2021-09-23 15:30:30,-375.61121777352037,
2021-09-23 23:59:59,-362.80164885897557,c
2021-09-24 00:00:00,-355.33352479904306,
2021-09-24 10:00:00,-333.2625940378548,
2021-09-24 10:30:00,-354.0707341161842,
2021-09-24 12:00:00,-360.2449252181077,
2021-09-24 13:30:00,-363.6299314896255,
2021-09-24 15:00:00,-357.67738764771184,
2021-09-24 15:30:30,-357.67738764771184,
2021-09-24 23:59:59,-338.8724177097988,w
2021-09-27 00:00:00,-377.7837778263756,
2021-09-27 10:00:00,-388.69952096050747,
2021-09-27 10:30:00,-362.1444902369544,
2021-09-27 12:00:00,-319.5080655769716,
2021-09-27 13:30:00,-296.78437943811696,
2021-09-27 15:00:00,-282.8580334664475,
2021-09-27 15:30:30,-282.8580334664475,
2021-09-27 23:59:59,-259.1021710910313,c
2021-09-28 00:00:00,-250.21278132824,
