date,BATT_2022_Q4,meta
2022-11-17 13:30:00,-52.96266491890748,
2022-11-17 15:00:00,-59.66571485334072,
2022-11-17 15:30:30,-59.66571485334072,
2022-11-17 23:59:59,-40.17853018026443,c
2022-11-18 00:00:00,-23.478500996394388,
2022-11-18 10:00:00,10.791218162100819,
2022-11-18 10:30:00,-24.74092123184539,
2022-11-18 12:00:00,-21.877948156360617,
2022-11-18 13:30:00,-5.170164175138012,
2022-11-18 15:00:00,8.04908517591258,
2022-11-18 15:30:30,8.04908517591258,
2022-11-18 23:59:59,-20.070065539355966,e
2022-11-21 00:00:00,-58.023457349997216,
2022-11-21 10:00:00,-138.8624004503207,
2022-11-21 10:30:00,-175.9375192093832,
2022-11-21 12:00:00,-249.7890676445934,
2022-11-21 13:30:00,-282.45060932370836,
2022-11-21 15:00:00,-308.564794573683,
2022-11-21 15:30:30,-308.564794573683,
2022-11-21 23:59:59,-314.18293167589377,c
2022-11-22 00:00:00,-301.55717275827544,
2022-11-22 10:00:00,-368.6555166163739,
2022-11-22 10:30:00,-356.3023451962247,
2022-11-22 12:00:00,-378.1655343321463,
2022-11-22 13:30:00,-364.02435510604096,
2022-11-22 15:00:00,-344.1011058364089,
2022-11-22 15:30:30,-344.1011058364089,
2022-11-22 23:59:59,-337.18436142527617,c
2022-11-23 00:00:00,-299.55262198068226,
2022-11-23 10:00:00,-272.15763468807734,
2022-11-23 10:30:00,-307.89825123906735,
2022-11-23 12:00:00,-316.6193008547692,
2022-11-23 13:30:00,-315.034438290608,
2022-11-23 15:00:00,-266.40446501156754,
2022-11-23 15:30:30,-266.40446501156754,
2022-11-23 23:59:59,-271.7925689216156,c
2022-11-24 00:00:00,-272.18087378921854,
2022-11-24 10:00:00,-279.7463203579276,
2022-11-24 10:30:00,-284.32324563577754,
2022-11-24 12:00:00,-284.27435818404604,
2022-11-24 13:30:00,-285.0511134608074,
2022-11-24 15:00:00,-283.49760290728364,
2022-11-24 15:30:30,-283.49760290728364,
2022-11-24 23:59:59,-283.83001981730206,c
2022-11-25 00:00:00,-268.4067963626294,
2022-11-25 10:00:00,-315.0869454716109,
2022-11-25 10:30:00,-282.4697204569211,
2022-11-25 12:00:00,-304.39597979244945,
2022-11-25 13:30:00,-319.8445499544382,
2022-11-25 15:00:00,-322.3074771434028,
2022-11-25 15:30:30,-322.3074771434028,
