date,FPX_2021_Q4,meta
2021-12-01 00:00:00,-269.0444970067085,
2021-12-01 10:00:00,-248.3539773312344,
2021-12-01 10:30:00,-234.9429082762235,
2021-12-01 12:00:00,-213.5742545342647,
2021-12-01 13:30:00,-199.52150233654987,
2021-12-01 15:00:00,-201.11345029667822,
2021-12-01 15:30:30,-201.11345029667822,
2021-12-01 23:59:59,-192.61996008923944,c
2021-12-02 00:00:00,-184.2684885114441,
2021-12-02 10:00:00,-191.6855743057023,
2021-12-02 10:30:00,-156.6711907047042,
2021-12-02 12:00:00,-166.0121049856258,
2021-12-02 13:30:00,-154.10263986366976,
2021-12-02 15:00:00,-150.4755155606805,
2021-12-02 15:30:30,-150.4755155606805,
2021-12-02 23:59:59,-170.00413067927286,c
2021-12-03 00:00:00,-163.52920094342525,
2021-12-03 10:00:00,-118.57695269445392,
2021-12-03 10:30:00,-86.48255820431679,
2021-12-03 12:00:00,-87.61921752345452,
2021-12-03 13:30:00,-80.0666226093261,
2021-12-03 15:00:00,-94.95410099192326,
2021-12-03 15:30:30,-94.95410099192326,
2021-12-03 23:59:59,-88.81255420490889,w
2021-12-06 00:00:00,-44.007569133148955,
2021-12-06 10:00:00,-47.112267895188744,
2021-12-06 10:30:00,-50.231520163289495,
2021-12-06 12:00:00,-11.391200255201992,
2021-12-06 13:30:00,-22.85761084442764,
2021-12-06 15:00:00,-15.65141047548474,
2021-12-06 15:30:30,-15.65141047548474,
2021-12-06 23:59:59,-23.839908500999826,c
2021-12-07 00:00:00,-43.64844803780746,
2021-12-07 10:00:00,-93.10536243157397,
2021-12-07 10:30:00,-93.18773772271706,
2021-12-07 12:00:00,-92.93044022491941,
2021-12-07 13:30:00,-89.55044967151899,
2021-12-07 15:00:00,-87.6481078218222,
2021-12-07 15:30:30,-87.6481078218222,
2021-12-07 23:59:59,-87.79222983045341,c
2021-12-08 00:00:00,-75.77810079581248,
2021-12-08 10:00:00,-82.05595066872999,
2021-12-08 10:30:00,-131.70402455233705,
2021-12-08 12:00:00,-148.41157434601408,
2021-12-08 13:30:00,-138.78968583610816,
2021-12-08 15:00:00,-133.22553690317645,
2021-12-08 15:30:30,-133.22553690317645,
2021-12-08 23:59:59,-121.72358171515134,c
2021-12-09 00:00:00,-130.99616640219787,
2021-12-09 10:00:00,-131.91666564221504,
2021-12-09 10:30:00,-118.85651949480524,
2021-12-09 12:00:00,-107.88019140885756,
2021-12-09 13:30:00,-100.96355890436125,
2021-12-09 15:00:00,-88.67873893238021,
2021-12-09 15:30:30,-88.67873893238021,
2021-12-09 23:59:59,-83.1319630252267,c
