date,MID_HEDGED_2021_Q4,meta
2021-10-29 00:00:00,258.5578490049718,
2021-10-29 10:00:00,256.1673783198801,
2021-10-29 10:30:00,270.58519224452493,
2021-10-29 12:00:00,264.83551728496536,
2021-10-29 13:30:00,275.17716940324226,
2021-10-29 15:00:00,287.07594312934566,
2021-10-29 15:30:30,287.07594312934566,
2021-10-29 23:59:59,284.8902071663763,w
2021-11-01 00:00:00,263.7492003610121,
2021-11-01 10:00:00,239.95817940474922,
2021-11-01 10:30:00,220.2862573549014,
2021-11-01 12:00:00,224.3802583938159,
2021-11-01 13:30:00,222.40730233428712,
2021-11-01 15:00:00,236.5978930272022,
2021-11-01 15:30:30,236.5978930272022,
2021-11-01 23:59:59,237.05104369819924,c
2021-11-02 00:00:00,225.60704842809764,
2021-11-02 10:00:00,74.40759364284213,
2021-11-02 10:30:00,-253.55710571144527,
2021-11-02 12:00:00,-156.51495993958633,
2021-11-02 13:30:00,-218.96123949887306,
2021-11-02 15:00:00,-238.22211263535246,
2021-11-02 15:30:30,-238.22211263535246,
2021-11-02 23:59:59,-279.263198937203,c
2021-11-03 00:00:00,-123.31826677538538,
2021-11-03 10:00:00,-146.987834988312,
2021-11-03 10:30:00,-170.84370756072667,
2021-11-03 12:00:00,-161.5331408432935,
2021-11-03 13:30:00,-156.70289543688295,
2021-11-03 15:00:00,-193.33442630017362,
2021-11-03 15:30:30,-193.33442630017362,
2021-11-03 23:59:59,-180.24315329325464,c
2021-11-04 00:00:00,-207.1796217708079,
2021-11-04 10:00:00,-202.13540337372388,
2021-11-04 10:30:00,-230.19514904041853,
2021-11-04 12:00:00,-186.77447430333723,
2021-11-04 13:30:00,-181.65220362013815,
2021-11-04 15:00:00,-158.63829084739336,
2021-11-04 15:30:30,-158.63829084739336,
2021-11-04 23:59:59,-126.0329362155785,c
2021-11-05 00:00:00,-124.17209311848228,
2021-11-05 10:00:00,-119.9463090467575,
2021-11-05 10:30:00,-131.57832566760408,
2021-11-05 12:00:00,-161.39340096345813,
2021-11-05 13:30:00,-182.8424241780608,
2021-11-05 15:00:00,-203.94210245972863,
2021-11-05 15:30:30,-203.94210245972863,
2021-11-05 23:59:59,-209.49129513800108,w
2021-11-08 00:00:00,-247.23584741898776,
2021-11-08 10:00:00,-216.9380073548623,
2021-11-08 10:30:00,-205.45200052419068,
2021-11-08 12:00:00,-212.84475350293906,
2021-11-08 13:30:00,-189.28753365071316,
2021-11-08 15:00:00,-175.71181720771256,
2021-11-08 15:30:30,-175.71181720771256,
2021-11-08 23:59:59,-171.54286565419488,c
2021-11-09 00:00:00,-177.1616049410036,
2021-11-09 10:00:00,-162.01145334278863,
2021-11-09 10:30:00,-176.15661071472277,
2021-11-09 12:00:00,-129.87624293988483,
2021-11-09 13:30:00,-112.07001755750616,
2021-11-09 15:00:00,-69.60223975595545,
2021-11-09 15:30:30,-69.60223975595545,
2021-11-09 23:59:59,-61.104736973477884,c
2021-11-10 00:00:00,-39.20576095370052,
2021-11-10 10:00:00,-103.02709586955734,
2021-11-10 10:30:00,-95.03710025383725,
