date,AS_GDX_2022_Q2,meta
2022-05-20 00:00:00,-468.7710144187977,
2022-05-20 01:00:00,-483.5235039791778,
2022-05-20 02:30:00,-419.0387147580577,
2022-05-20 03:00:00,-430.8674410700205,
2022-05-20 18:30:00,-430.8674410700205,
2022-05-20 20:00:00,-430.8674410700205,
2022-05-20 23:00:00,-430.8674410700205,
2022-05-20 23:59:59,-441.6815469751118,w
2022-05-23 00:00:00,-449.32146291265326,
2022-05-23 01:00:00,-450.84274258905407,
2022-05-23 02:30:00,-442.18319765618344,
2022-05-23 03:00:00,-449.74433207219863,
2022-05-23 18:30:00,-449.74433207219863,
2022-05-23 20:00:00,-449.74433207219863,
2022-05-23 23:00:00,-484.51105591089436,
2022-05-23 23:59:59,-505.2631718647235,c
2022-05-24 00:00:00,-490.5922686267095,
2022-05-24 01:00:00,-497.13370747324734,
2022-05-24 02:30:00,-542.354855213106,
2022-05-24 03:00:00,-565.2072685568937,
2022-05-24 18:30:00,-565.2072685568937,
2022-05-24 20:00:00,-565.2072685568937,
2022-05-24 23:00:00,-374.07635053788545,
2022-05-24 23:59:59,-343.92005455329127,c
2022-05-25 00:00:00,-334.24265782329076,
2022-05-25 01:00:00,-322.48018772640626,
2022-05-25 02:30:00,-331.13155607325734,
2022-05-25 03:00:00,-326.7816970911372,
2022-05-25 18:30:00,-326.7816970911372,
2022-05-25 20:00:00,-326.7816970911372,
2022-05-25 23:00:00,-324.74750961727113,
2022-05-25 23:59:59,-296.9477986625043,c
2022-05-26 00:00:00,-368.5318529709248,
2022-05-26 01:00:00,-382.7549957980491,
2022-05-26 02:30:00,-403.2289306487146,
2022-05-26 03:00:00,-401.7639113072237,
2022-05-26 18:30:00,-401.7639113072237,
2022-05-26 20:00:00,-401.7639113072237,
2022-05-26 23:00:00,-382.2774815435996,
2022-05-26 23:59:59,-361.3099296964092,c
2022-05-27 00:00:00,-344.0768692009442,
2022-05-27 01:00:00,-348.08596002460126,
2022-05-27 02:30:00,-354.33898960427723,
2022-05-27 03:00:00,-351.1105211987351,
2022-05-27 18:30:00,-351.1105211987351,
2022-05-27 20:00:00,-351.1105211987351,
2022-05-27 23:00:00,-351.1105211987351,
2022-05-27 23:59:59,-339.7304537546279,w
2022-05-30 00:00:00,-272.28001192183547,
2022-05-30 01:00:00,-296.0166890953142,
2022-05-30 02:30:00,-248.07830312650185,
2022-05-30 03:00:00,-248.7607915582421,
2022-05-30 18:30:00,-248.7607915582421,
2022-05-30 20:00:00,-248.7607915582421,
2022-05-30 23:00:00,-174.48243529189858,
2022-05-30 23:59:59,-194.8555367687013,c
2022-05-31 00:00:00,-236.54092422378017,
2022-05-31 01:00:00,-231.72209406917682,
2022-05-31 02:30:00,-246.10782629419828,
2022-05-31 03:00:00,-236.22561963397493,
2022-05-31 18:30:00,-236.22561963397493,
2022-05-31 20:00:00,-236.22561963397493,
2022-05-31 23:00:00,-284.8805365697135,
2022-05-31 23:59:59,-309.14045683003496,c
2022-06-01 00:00:00,-341.1186899419081,
2022-06-01 01:00:00,-347.5085358907063,
2022-06-01 02:30:00,-377.74567217640833,
2022-06-01 03:00:00,-368.8997742213178,
2022-06-01 18:30:00,-368.8997742213178,
2022-06-01 20:00:00,-368.8997742213178,
2022-06-01 23:00:00,-338.9255506762247,
2022-06-01 23:59:59,-314.26339196561275,c
2022-06-02 00:00:00,-331.763604034144,
2022-06-02 01:00:00,-330.35446868969757,
2022-06-02 02:30:00,-316.8910173521281,
2022-06-02 03:00:00,-301.233738914264,
2022-06-02 18:30:00,-301.233738914264,
2022-06-02 20:00:00,-301.233738914264,
2022-06-02 23:00:00,-301.233738914264,
2022-06-02 23:59:59,-297.38412228636753,c
2022-06-03 00:00:00,-297.38412228636753,
2022-06-03 01:00:00,-297.38412228636753,
2022-06-03 02:30:00,-297.38412228636753,
2022-06-03 03:00:00,-297.38412228636753,
2022-06-03 18:30:00,-297.38412228636753,
2022-06-03 20:00:00,-297.38412228636753,
