date,SCHH_2021_Q1,meta
2021-02-19 00:00:00,289.3921717108151,
2021-02-19 10:00:00,299.7088548256104,
2021-02-19 10:30:00,319.4818285498127,
2021-02-19 12:00:00,296.4708302856161,
2021-02-19 13:30:00,282.93300435092283,
2021-02-19 15:00:00,254.04000754389085,
2021-02-19 15:30:30,254.04000754389085,
2021-02-19 23:59:59,261.7965627590215,w
2021-02-22 00:00:00,233.10855852940585,
2021-02-22 10:00:00,221.98249865340244,
2021-02-22 10:30:00,190.17125090862555,
2021-02-22 12:00:00,162.4760293170832,
2021-02-22 13:30:00,181.78906267217758,
2021-02-22 15:00:00,177.2534606132017,
2021-02-22 15:30:30,177.2534606132017,
2021-02-22 23:59:59,180.48001024456676,c
2021-02-23 00:00:00,172.06202977618545,
2021-02-23 10:00:00,156.32115227808026,
2021-02-23 10:30:00,172.97659391563684,
2021-02-23 12:00:00,188.4352598783778,
2021-02-23 13:30:00,174.23067125052398,
2021-02-23 15:00:00,165.9015036251751,
2021-02-23 15:30:30,165.9015036251751,
2021-02-23 23:59:59,180.1504569787901,c
2021-02-24 00:00:00,165.58844955879226,
2021-02-24 10:00:00,136.77461775584447,
2021-02-24 10:30:00,125.15352314158781,
2021-02-24 12:00:00,159.72635735388758,
2021-02-24 13:30:00,132.0037126516038,
2021-02-24 15:00:00,124.30304054597968,
2021-02-24 15:30:30,124.30304054597968,
2021-02-24 23:59:59,71.518535975968,c
2021-02-25 00:00:00,52.47737651694183,
2021-02-25 10:00:00,42.53989059615992,
2021-02-25 10:30:00,17.50453738891906,
2021-02-25 12:00:00,-40.36055253903737,
2021-02-25 13:30:00,-39.734621774139896,
2021-02-25 15:00:00,-38.48286565991907,
2021-02-25 15:30:30,-38.48286565991907,
2021-02-25 23:59:59,15.492335043361209,c
2021-02-26 00:00:00,52.21567012452124,
2021-02-26 10:00:00,121.30526269043958,
2021-02-26 10:30:00,154.17398573108062,
2021-02-26 12:00:00,124.08085515071207,
2021-02-26 13:30:00,128.60657998147326,
2021-02-26 15:00:00,153.57173636269658,
2021-02-26 15:30:30,153.57173636269658,s
2021-02-26 23:59:59,150.35141352643814,w
2021-03-01 00:00:00,151.5071075596054,
2021-03-01 10:00:00,131.89763627633397,
2021-03-01 10:30:00,114.41264827339387,
2021-03-01 12:00:00,126.8835520642433,
2021-03-01 13:30:00,132.28275343344762,
2021-03-01 15:00:00,133.89278155391594,
2021-03-01 15:30:30,133.89278155391594,
2021-03-01 23:59:59,123.1716643535035,c
2021-03-02 00:00:00,133.14603086182387,
2021-03-02 10:00:00,90.74302598850363,
2021-03-02 10:30:00,60.73963908357746,
2021-03-02 12:00:00,87.48880448477098,
2021-03-02 13:30:00,82.2654740654641,
2021-03-02 15:00:00,92.5235086028024,
2021-03-02 15:30:30,92.5235086028024,
2021-03-02 23:59:59,90.4153319030222,c
2021-03-03 00:00:00,42.797020840288724,
2021-03-03 10:00:00,38.97061141627614,
2021-03-03 10:30:00,27.266644009029505,
2021-03-03 12:00:00,20.23174777177087,
2021-03-03 13:30:00,1.03651724099268,
2021-03-03 15:00:00,1.1666199110554771,
2021-03-03 15:30:30,1.1666199110554771,
2021-03-03 23:59:59,-24.936907979760917,c
2021-03-04 00:00:00,-6.550686270633605,
2021-03-04 10:00:00,-63.53539932114222,
2021-03-04 10:30:00,-50.289903102767084,
2021-03-04 12:00:00,-39.564512210399016,
2021-03-04 13:30:00,-68.89599660165186,
2021-03-04 15:00:00,-87.49566925396198,
2021-03-04 15:30:30,-87.49566925396198,
2021-03-04 23:59:59,-89.60548337798059,c
2021-03-05 00:00:00,-76.90466814510205,
2021-03-05 10:00:00,-161.59836890358383,
2021-03-05 10:30:00,-183.89040791451293,
2021-03-05 12:00:00,-129.4783554278656,
2021-03-05 13:30:00,-98.34892449542735,
2021-03-05 15:00:00,-76.2783969753093,
2021-03-05 15:30:30,-76.2783969753093,
2021-03-05 23:59:59,-97.1777786271723,w
2021-03-08 00:00:00,-144.5869585475093,
2021-03-08 10:00:00,-108.05266359551024,
2021-03-08 10:30:00,-101.31015207135306,
2021-03-08 12:00:00,-167.8221591628826,
2021-03-08 13:30:00,-201.1288394599493,
2021-03-08 15:00:00,-222.96866846489672,
2021-03-08 15:30:30,-222.96866846489672,
2021-03-08 23:59:59,-227.1698314485609,c
2021-03-09 00:00:00,-170.90330991288647,
2021-03-09 10:00:00,-146.0410511896207,
2021-03-09 10:30:00,-130.75820521919354,
