date,MSCI_US_MIG_HEDGED_2022_Q2,meta
2022-04-07 00:00:00,4.171033323525897,
2022-04-07 10:00:00,-16.481772449844417,
2022-04-07 10:30:00,-10.716852939251641,
2022-04-07 12:00:00,-5.253317249287274,
2022-04-07 13:30:00,-12.093419156794145,
2022-04-07 15:00:00,4.221694679847417,
2022-04-07 15:30:30,4.221694679847417,
2022-04-07 23:59:59,-2.9311164297030246,c
2022-04-08 00:00:00,12.852132859553102,
2022-04-08 10:00:00,29.0369252892941,
2022-04-08 10:30:00,17.737480653414558,
2022-04-08 12:00:00,16.987000240590675,
2022-04-08 13:30:00,34.05391290605472,
2022-04-08 15:00:00,42.00609273761026,
2022-04-08 15:30:30,42.00609273761026,
2022-04-08 23:59:59,55.90931176877765,w
2022-04-11 00:00:00,83.57911035486919,
2022-04-11 10:00:00,66.44661993459391,
2022-04-11 10:30:00,65.98889754098363,
2022-04-11 12:00:00,66.035304196166,
2022-04-11 13:30:00,73.85494053447634,
2022-04-11 15:00:00,78.29335718813546,
2022-04-11 15:30:30,78.29335718813546,
2022-04-11 23:59:59,87.95810140742276,c
2022-04-12 00:00:00,76.70579779417777,
2022-04-12 10:00:00,43.82667074177647,
2022-04-12 10:30:00,63.165800039390234,
2022-04-12 12:00:00,108.52535613673975,
2022-04-12 13:30:00,124.64404392746567,
2022-04-12 15:00:00,145.1459593208873,
2022-04-12 15:30:30,145.1459593208873,
2022-04-12 23:59:59,142.2646690331759,c
2022-04-13 00:00:00,138.86903771432756,
2022-04-13 10:00:00,167.7529594244285,
2022-04-13 10:30:00,175.40614198858984,
2022-04-13 12:00:00,168.45123037316048,
2022-04-13 13:30:00,177.68121321984665,
2022-04-13 15:00:00,198.55997243016068,
2022-04-13 15:30:30,198.55997243016068,
2022-04-13 23:59:59,198.26196293802926,c
2022-04-14 00:00:00,193.1680731988147,
2022-04-14 10:00:00,242.93021319194943,
2022-04-14 10:30:00,234.75114588232708,
2022-04-14 12:00:00,245.3527769468212,
2022-04-14 13:30:00,230.0956569055692,
2022-04-14 15:00:00,235.12901375069288,
2022-04-14 15:30:30,235.12901375069288,
2022-04-14 23:59:59,234.944132190715,c
2022-04-15 00:00:00,234.944132190715,
2022-04-15 10:00:00,234.944132190715,
2022-04-15 10:30:00,234.944132190715,
