date,PPP_2022_Q3,meta
2022-08-05 00:00:00,313.24256028628724,
2022-08-05 10:00:00,320.1726097238969,
2022-08-05 10:30:00,317.3226076779322,
2022-08-05 12:00:00,323.84262562055744,
2022-08-05 13:30:00,323.6487289361784,
2022-08-05 15:00:00,311.4373536977748,
2022-08-05 15:30:30,311.4373536977748,
2022-08-05 23:59:59,321.7157338042359,w
2022-08-08 00:00:00,325.2874164009411,
2022-08-08 10:00:00,335.3601588806371,
2022-08-08 10:30:00,339.6315133945743,
2022-08-08 12:00:00,336.407535913237,
2022-08-08 13:30:00,317.2970581011915,
2022-08-08 15:00:00,317.327462715621,
2022-08-08 15:30:30,317.327462715621,
2022-08-08 23:59:59,322.3554696692678,c
2022-08-09 00:00:00,327.62216695156405,
2022-08-09 10:00:00,311.02409315081456,
2022-08-09 10:30:00,296.41591632392146,
2022-08-09 12:00:00,304.6737336145337,
2022-08-09 13:30:00,293.73083081845255,
2022-08-09 15:00:00,290.1658863837848,
2022-08-09 15:30:30,290.1658863837848,
2022-08-09 23:59:59,289.32032630477147,c
2022-08-10 00:00:00,300.8194945557045,
2022-08-10 10:00:00,297.36270272801164,
2022-08-10 10:30:00,298.26004750237416,
2022-08-10 12:00:00,300.89991358367934,
2022-08-10 13:30:00,278.87605362977536,
2022-08-10 15:00:00,269.55223656455314,
2022-08-10 15:30:30,269.55223656455314,
2022-08-10 23:59:59,265.7718307716706,c
2022-08-11 00:00:00,282.84228397383174,
2022-08-11 10:00:00,276.98256033717325,
2022-08-11 10:30:00,263.20643113939536,
2022-08-11 12:00:00,256.6426185437957,
2022-08-11 13:30:00,269.18287874825046,
2022-08-11 15:00:00,265.94176962445454,
2022-08-11 15:30:30,265.94176962445454,
2022-08-11 23:59:59,257.8550370135831,c
2022-08-12 00:00:00,265.56486767493277,
2022-08-12 10:00:00,245.6272727171871,
2022-08-12 10:30:00,239.9553393806924,
2022-08-12 12:00:00,240.59971190946965,
2022-08-12 13:30:00,240.02268819291112,
2022-08-12 15:00:00,236.28170845191892,
2022-08-12 15:30:30,236.28170845191892,
2022-08-12 23:59:59,241.16417534410118,w
2022-08-15 00:00:00,225.01442542137738,
2022-08-15 10:00:00,202.54160516748857,
2022-08-15 10:30:00,196.875764471009,
2022-08-15 12:00:00,196.57620494777507,
2022-08-15 13:30:00,192.19754208461177,
2022-08-15 15:00:00,198.69636487042328,
2022-08-15 15:30:30,198.69636487042328,
2022-08-15 23:59:59,206.8591587271245,c
2022-08-16 00:00:00,215.37244366123116,
2022-08-16 10:00:00,211.19328185044333,
2022-08-16 10:30:00,224.3290250937497,
2022-08-16 12:00:00,222.1157999412152,
2022-08-16 13:30:00,221.44425547967387,
2022-08-16 15:00:00,230.82182791173193,
2022-08-16 15:30:30,230.82182791173193,
2022-08-16 23:59:59,242.88979840213642,c
2022-08-17 00:00:00,219.7582843810194,
2022-08-17 10:00:00,189.06645817902654,
2022-08-17 10:30:00,187.6168082686156,
2022-08-17 12:00:00,180.6714996036569,
2022-08-17 13:30:00,180.7024152243455,
2022-08-17 15:00:00,180.24067851524512,
2022-08-17 15:30:30,180.24067851524512,
2022-08-17 23:59:59,175.75518867831136,c
2022-08-18 00:00:00,165.44233581298863,
2022-08-18 10:00:00,127.92047605202634,
2022-08-18 10:30:00,126.02121366403838,
2022-08-18 12:00:00,120.01639162531899,
2022-08-18 13:30:00,108.04706822098251,
2022-08-18 15:00:00,114.55123793728353,
2022-08-18 15:30:30,114.55123793728353,
2022-08-18 23:59:59,128.1557137612524,c
2022-08-19 00:00:00,122.64932082840306,
2022-08-19 10:00:00,120.47881327355606,
2022-08-19 10:30:00,123.62672764214079,
2022-08-19 12:00:00,119.87788132342695,
2022-08-19 13:30:00,123.89521919391649,
2022-08-19 15:00:00,116.90449932330404,
2022-08-19 15:30:30,116.90449932330404,
2022-08-19 23:59:59,129.8684235935001,w
2022-08-22 00:00:00,140.2611510093456,
2022-08-22 10:00:00,120.3407102627425,
2022-08-22 10:30:00,126.36973477145472,
2022-08-22 12:00:00,124.66129101304875,
2022-08-22 13:30:00,126.05495839323771,
2022-08-22 15:00:00,126.89905149237603,
2022-08-22 15:30:30,126.89905149237603,
2022-08-22 23:59:59,127.3322890759269,c
2022-08-23 00:00:00,134.52797435079486,
2022-08-23 10:00:00,133.61566596522124,
2022-08-23 10:30:00,134.71839613896805,
2022-08-23 12:00:00,141.66173095677584,
2022-08-23 13:30:00,142.52057029538622,
2022-08-23 15:00:00,134.04899085096383,
2022-08-23 15:30:30,134.04899085096383,
2022-08-23 23:59:59,140.37027654299465,c
2022-08-24 00:00:00,107.38467552173427,
2022-08-24 10:00:00,91.71970606996422,
2022-08-24 10:30:00,101.88885168605782,
2022-08-24 12:00:00,111.52488694442224,
2022-08-24 13:30:00,99.25653425978857,
2022-08-24 15:00:00,102.63536081903243,
2022-08-24 15:30:30,102.63536081903243,
2022-08-24 23:59:59,99.14812590359941,c
2022-08-25 00:00:00,103.51759691425997,
2022-08-25 10:00:00,93.3434434904936,
2022-08-25 10:30:00,94.02157909001318,
2022-08-25 12:00:00,93.21873645269409,
2022-08-25 13:30:00,95.8338355174493,
2022-08-25 15:00:00,87.94895560138389,
2022-08-25 15:30:30,87.94895560138389,
2022-08-25 23:59:59,99.04429073960847,c
2022-08-26 00:00:00,94.74823185429977,
2022-08-26 10:00:00,85.12347142547395,
2022-08-26 10:30:00,79.69572543405718,
2022-08-26 12:00:00,50.275882925386384,
2022-08-26 13:30:00,42.38347725464888,
2022-08-26 15:00:00,34.49689517386213,
