date,HUI_2021_Q2,meta
2021-05-21 00:00:00,-265.68458228997116,
2021-05-21 10:00:00,-245.09040201657677,
2021-05-21 10:30:00,-225.47186702057064,
2021-05-21 12:00:00,-227.92090348158916,
2021-05-21 13:30:00,-230.57137167330637,
2021-05-21 15:00:00,-229.17416177965953,
2021-05-21 15:30:30,-229.17416177965953,
2021-05-21 23:59:59,-214.502611237056,w
2021-05-24 00:00:00,-190.25520942328427,
2021-05-24 10:00:00,-196.40293406385183,
2021-05-24 10:30:00,-195.42691868939954,
2021-05-24 12:00:00,-220.59404450761036,
2021-05-24 13:30:00,-224.85885059242588,
2021-05-24 15:00:00,-205.5355103584514,
2021-05-24 15:30:30,-205.5355103584514,
2021-05-24 23:59:59,-193.6465999886022,c
2021-05-25 00:00:00,-205.61922181633918,
2021-05-25 10:00:00,-195.19602608492465,
2021-05-25 10:30:00,-184.48565148675027,
2021-05-25 12:00:00,-176.76984035510793,
2021-05-25 13:30:00,-190.40778137103683,
2021-05-25 15:00:00,-194.9086119657129,
2021-05-25 15:30:30,-194.9086119657129,
2021-05-25 23:59:59,-202.45367475747315,c
2021-05-26 00:00:00,-212.8972690172091,
2021-05-26 10:00:00,-225.5209036726638,
2021-05-26 10:30:00,-229.18235422932327,
2021-05-26 12:00:00,-232.5617243973674,
2021-05-26 13:30:00,-224.12547656121563,
2021-05-26 15:00:00,-228.22909392010212,
2021-05-26 15:30:30,-228.22909392010212,
2021-05-26 23:59:59,-226.974648794527,c
2021-05-27 00:00:00,-229.79500873429134,
2021-05-27 10:00:00,-223.5239103338402,
2021-05-27 10:30:00,-213.92731251953438,
2021-05-27 12:00:00,-217.79152663268331,
2021-05-27 13:30:00,-198.42903601352765,
2021-05-27 15:00:00,-174.8942777815211,
2021-05-27 15:30:30,-174.8942777815211,m
2021-05-27 23:59:59,-163.56986234746387,c
2021-05-28 00:00:00,-163.4444442219098,
2021-05-28 10:00:00,-143.30819077889385,
2021-05-28 10:30:00,-145.4471794276438,
2021-05-28 12:00:00,-148.82265055971635,
2021-05-28 13:30:00,-150.28863529050471,
2021-05-28 15:00:00,-139.0742234832341,
2021-05-28 15:30:30,-139.0742234832341,
2021-05-28 23:59:59,-137.6557999708927,w
2021-05-31 00:00:00,-137.6557999708927,
2021-05-31 10:00:00,-137.6557999708927,
2021-05-31 10:30:00,-137.6557999708927,
2021-05-31 12:00:00,-137.6557999708927,
2021-05-31 13:30:00,-137.6557999708927,
2021-05-31 15:00:00,-137.6557999708927,
2021-05-31 15:30:30,-137.6557999708927,
2021-05-31 23:59:59,-137.6557999708927,c
2021-06-01 00:00:00,-169.31742004302367,
2021-06-01 10:00:00,-175.26155202610545,
2021-06-01 10:30:00,-184.8199904223984,
2021-06-01 12:00:00,-178.9570020165237,
2021-06-01 13:30:00,-175.37308647007848,
2021-06-01 15:00:00,-155.8590295970203,
2021-06-01 15:30:30,-155.8590295970203,
2021-06-01 23:59:59,-156.9359037123623,c
2021-06-02 00:00:00,-162.90197457875115,
2021-06-02 10:00:00,-145.06565058617747,
2021-06-02 10:30:00,-147.5085069947374,
2021-06-02 12:00:00,-144.78425892074534,
2021-06-02 13:30:00,-155.2725078866559,
2021-06-02 15:00:00,-146.1844332366498,
2021-06-02 15:30:30,-146.1844332366498,
2021-06-02 23:59:59,-141.98996894185746,c
2021-06-03 00:00:00,-135.50513610560665,
2021-06-03 10:00:00,-119.76560397986549,
2021-06-03 10:30:00,-115.10772834305686,
2021-06-03 12:00:00,-119.02223407869707,
2021-06-03 13:30:00,-126.55478193620235,
2021-06-03 15:00:00,-109.5297427212218,
2021-06-03 15:30:30,-109.5297427212218,
2021-06-03 23:59:59,-135.28527634519276,c
2021-06-04 00:00:00,-132.7254748065808,
2021-06-04 10:00:00,-137.94203530403666,
2021-06-04 10:30:00,-135.98639074248905,
2021-06-04 12:00:00,-138.67574866071317,
2021-06-04 13:30:00,-119.5548188281154,
2021-06-04 15:00:00,-107.5457076005714,
2021-06-04 15:30:30,-107.5457076005714,
2021-06-04 23:59:59,-100.04193794316694,w
2021-06-07 00:00:00,-81.5639643335146,
2021-06-07 10:00:00,-81.26362704225147,
2021-06-07 10:30:00,-59.431444287167494,
2021-06-07 12:00:00,-67.62366286233657,
2021-06-07 13:30:00,-64.87312197514393,
2021-06-07 15:00:00,-80.12564907271445,
2021-06-07 15:30:30,-80.12564907271445,
2021-06-07 23:59:59,-77.86541235882572,c
2021-06-08 00:00:00,-79.98267028771875,
2021-06-08 10:00:00,-72.44945630567423,
2021-06-08 10:30:00,-57.72904104834561,
2021-06-08 12:00:00,-27.454902145069184,
2021-06-08 13:30:00,-20.222843747205957,
2021-06-08 15:00:00,-17.2517493301184,
2021-06-08 15:30:30,-17.2517493301184,
2021-06-08 23:59:59,-23.965391476561308,c
2021-06-09 00:00:00,-30.399559203607623,
2021-06-09 10:00:00,-10.181191910674158,
2021-06-09 10:30:00,-14.446616413336471,
2021-06-09 12:00:00,-24.556936337915886,
2021-06-09 13:30:00,-19.920645925000883,
2021-06-09 15:00:00,-16.793878202795952,
2021-06-09 15:30:30,-16.793878202795952,
2021-06-09 23:59:59,-7.307630451153841,c
2021-06-10 00:00:00,-23.6319088722193,
2021-06-10 10:00:00,-14.019532501242907,
2021-06-10 10:30:00,-18.11065086628497,
2021-06-10 12:00:00,-29.070534586363408,
2021-06-10 13:30:00,-15.952417509714337,
2021-06-10 15:00:00,-15.240990447593504,
2021-06-10 15:30:30,-15.240990447593504,s
2021-06-10 23:59:59,-23.71725848047572,c
2021-06-11 00:00:00,-17.37636405814868,
2021-06-11 10:00:00,-15.873155522460024,
2021-06-11 10:30:00,-8.886508364080896,
2021-06-11 12:00:00,-5.76648344262594,
2021-06-11 13:30:00,-2.206229378588489,
2021-06-11 15:00:00,1.2633832855498213,
2021-06-11 15:30:30,1.2633832855498213,
2021-06-11 23:59:59,0.0,a
2021-06-14 00:00:00,29.99314940194853,
2021-06-14 10:00:00,109.64328728747529,
2021-06-14 10:30:00,115.42750498730342,
2021-06-14 12:00:00,142.18039974649605,
2021-06-14 13:30:00,140.57079955729475,
2021-06-14 15:00:00,146.43707117261508,
2021-06-14 15:30:30,146.43707117261508,
2021-06-14 23:59:59,131.01897853551435,c
2021-06-15 00:00:00,125.42151295032264,
2021-06-15 10:00:00,165.16863494520555,
2021-06-15 10:30:00,159.6097177581774,
2021-06-15 12:00:00,180.160979681046,
2021-06-15 13:30:00,205.61205039107045,
2021-06-15 15:00:00,215.89312237063336,
2021-06-15 15:30:30,215.89312237063336,
2021-06-15 23:59:59,198.3808256748287,c
2021-06-16 00:00:00,210.69611649836168,
2021-06-16 10:00:00,213.78030653481395,
2021-06-16 10:30:00,232.01328997678954,
2021-06-16 12:00:00,252.82349795036416,
2021-06-16 13:30:00,254.4693949386574,
2021-06-16 15:00:00,254.53462790763135,
2021-06-16 15:30:30,254.53462790763135,
2021-06-16 23:59:59,240.29027032466382,c
2021-06-17 00:00:00,233.32456630984393,
