date,EU_FTSE_DM_MIG_2022_Q3,meta
2022-07-29 00:00:00,-351.34753768528435,
2022-07-29 03:30:00,-388.8931110832492,
2022-07-29 04:00:00,-402.8774138697372,
2022-07-29 06:00:00,-421.7134503931444,
2022-07-29 08:00:00,-443.4309481115371,
2022-07-29 10:30:00,-427.72511086837756,
2022-07-29 11:00:00,-439.45645216767616,
2022-07-29 23:59:59,-432.2851082517535,w
2022-08-01 00:00:00,-426.6211004497744,
2022-08-01 03:30:00,-351.7127499844024,
2022-08-01 04:00:00,-335.39012816315756,
2022-08-01 06:00:00,-312.9414383618828,
2022-08-01 08:00:00,-301.072176618855,
2022-08-01 10:30:00,-350.8686167764731,
2022-08-01 11:00:00,-371.71618508073345,
2022-08-01 23:59:59,-389.60787490285304,c
2022-08-02 00:00:00,-279.77950873859004,
2022-08-02 03:30:00,-217.71402746747958,
2022-08-02 04:00:00,-213.84467902408323,
2022-08-02 06:00:00,-200.67686941284637,
2022-08-02 08:00:00,-159.79707381638764,
2022-08-02 10:30:00,-153.38250326629168,
2022-08-02 11:00:00,-161.2936527818208,
2022-08-02 23:59:59,-141.69115012488373,c
2022-08-03 00:00:00,-171.54553766830804,
2022-08-03 03:30:00,-248.75138506971518,
2022-08-03 04:00:00,-253.30133629930947,
2022-08-03 06:00:00,-241.4991605536262,
2022-08-03 08:00:00,-218.32352864875884,
2022-08-03 10:30:00,-239.2487914332646,
2022-08-03 11:00:00,-246.88704634681824,
2022-08-03 23:59:59,-250.66494434131448,c
2022-08-04 00:00:00,-245.51283537100437,
2022-08-04 03:30:00,-207.14693255059706,
2022-08-04 04:00:00,-210.9303454260346,
2022-08-04 06:00:00,-235.04033977702454,
2022-08-04 08:00:00,-224.55729863648435,
2022-08-04 10:30:00,-222.3249703940536,
2022-08-04 11:00:00,-209.25941030755325,
2022-08-04 23:59:59,-221.24462167329352,c
2022-08-05 00:00:00,-239.16749096329147,
2022-08-05 03:30:00,-256.4984662747232,
2022-08-05 04:00:00,-275.96556756680104,
2022-08-05 06:00:00,-251.2259513138373,
2022-08-05 08:00:00,-264.9073195219087,
2022-08-05 10:30:00,-244.29002240292925,
2022-08-05 11:00:00,-229.20631731768935,
2022-08-05 23:59:59,-224.49742851179496,w
2022-08-08 00:00:00,-216.45698109453906,
2022-08-08 03:30:00,-230.61451047884452,
2022-08-08 04:00:00,-226.3886592734301,
2022-08-08 06:00:00,-222.3093627919401,
2022-08-08 08:00:00,-223.3269167744885,
2022-08-08 10:30:00,-234.5147529599169,
2022-08-08 11:00:00,-232.1664006792272,
2022-08-08 23:59:59,-246.7749127214015,c
2022-08-09 00:00:00,-236.44771910367422,
2022-08-09 03:30:00,-226.80400311833853,
2022-08-09 04:00:00,-238.9316778102941,
2022-08-09 06:00:00,-189.14476654639247,
2022-08-09 08:00:00,-135.49402079280685,
2022-08-09 10:30:00,-103.93790237147755,
2022-08-09 11:00:00,-104.16108865277602,
2022-08-09 23:59:59,-105.992771491736,c
2022-08-10 00:00:00,-94.16384603035999,
2022-08-10 03:30:00,-134.33916800171687,
2022-08-10 04:00:00,-147.71955183183377,
2022-08-10 06:00:00,-123.50163765836282,
2022-08-10 08:00:00,-122.19163019865914,
2022-08-10 10:30:00,-181.50752445966236,
2022-08-10 11:00:00,-213.52973206125353,
2022-08-10 23:59:59,-226.67303949846143,c
2022-08-11 00:00:00,-210.70959783731792,
2022-08-11 03:30:00,-187.7129690886395,
2022-08-11 04:00:00,-181.28359666392066,
2022-08-11 06:00:00,-242.289148115044,
2022-08-11 08:00:00,-230.85896304401854,
2022-08-11 10:30:00,-314.3080793902193,
2022-08-11 11:00:00,-295.41548682489486,
2022-08-11 23:59:59,-288.3736695392304,c
2022-08-12 00:00:00,-279.4856431064435,
2022-08-12 03:30:00,-315.7436245189989,
2022-08-12 04:00:00,-304.18022423542516,
2022-08-12 06:00:00,-273.22265587242543,
2022-08-12 08:00:00,-254.38478487140787,
2022-08-12 10:30:00,-322.26900594202914,
2022-08-12 11:00:00,-301.11691897756054,
2022-08-12 23:59:59,-291.0979965266773,w
2022-08-15 00:00:00,-317.1697087958653,
2022-08-15 03:30:00,-255.00720998787244,
2022-08-15 04:00:00,-249.43767587970262,
2022-08-15 06:00:00,-273.35660680492015,
2022-08-15 08:00:00,-274.62140885017925,
2022-08-15 10:30:00,-253.09321226039208,
2022-08-15 11:00:00,-240.4891337354128,
2022-08-15 23:59:59,-239.54919837063403,c
2022-08-16 00:00:00,-240.42681695849967,
2022-08-16 03:30:00,-206.88086238490655,
2022-08-16 04:00:00,-203.42117997031028,
2022-08-16 06:00:00,-187.66839293218504,
2022-08-16 08:00:00,-208.4572606400825,
2022-08-16 10:30:00,-186.920134703872,
2022-08-16 11:00:00,-188.27275883025345,
2022-08-16 23:59:59,-207.15756833561682,c
2022-08-17 00:00:00,-219.20607573551456,
2022-08-17 03:30:00,-188.49991096894928,
2022-08-17 04:00:00,-145.95196465581853,
2022-08-17 06:00:00,-112.23819557574166,
2022-08-17 08:00:00,-102.27991002317071,
2022-08-17 10:30:00,-53.08915465572545,
2022-08-17 11:00:00,-27.936786823049033,
2022-08-17 23:59:59,-21.84639321745135,c
2022-08-18 00:00:00,-23.016916534920938,
2022-08-18 03:30:00,-19.013629260631433,
2022-08-18 04:00:00,-30.796004976269842,
2022-08-18 06:00:00,-11.025756227443708,
2022-08-18 08:00:00,36.32563782655666,
2022-08-18 10:30:00,34.59611024947776,
2022-08-18 11:00:00,13.52953052780913,
2022-08-18 23:59:59,16.48568218736864,c
2022-08-19 00:00:00,39.96496607868016,
2022-08-19 03:30:00,16.595302772706418,
2022-08-19 04:00:00,22.736905807768608,
2022-08-19 06:00:00,-40.406296694115554,
2022-08-19 08:00:00,-59.96488693002311,
2022-08-19 10:30:00,-20.32096481724284,
2022-08-19 11:00:00,-4.348527994157621,
2022-08-19 23:59:59,0.0,a
2022-08-22 00:00:00,10.602082421827618,
2022-08-22 03:30:00,72.24594943846114,
2022-08-22 04:00:00,91.45181842402644,
2022-08-22 06:00:00,82.602890412134,
2022-08-22 08:00:00,96.38140057144165,
2022-08-22 10:30:00,99.83630921000872,
2022-08-22 11:00:00,114.60190119116396,
2022-08-22 23:59:59,143.0118579419409,c
2022-08-23 00:00:00,145.91934272131357,
2022-08-23 03:30:00,102.28662162522664,
2022-08-23 04:00:00,143.81742627930362,
2022-08-23 06:00:00,118.22663853196696,
2022-08-23 08:00:00,117.45365846409914,
2022-08-23 10:30:00,152.9914414716202,
2022-08-23 11:00:00,159.76903628978903,
2022-08-23 23:59:59,146.49920473037014,c
2022-08-24 00:00:00,180.8099592662934,
2022-08-24 03:30:00,238.57669209577261,
2022-08-24 04:00:00,232.0132323653454,
2022-08-24 06:00:00,218.46725396924649,
2022-08-24 08:00:00,183.44469018042855,
2022-08-24 10:30:00,179.24535599204728,
2022-08-24 11:00:00,174.67819284649272,
2022-08-24 23:59:59,170.80024783691943,c
2022-08-25 00:00:00,186.81751694476839,
2022-08-25 03:30:00,236.61283043352,
2022-08-25 04:00:00,236.54573471407957,
2022-08-25 06:00:00,254.69094027290112,
2022-08-25 08:00:00,256.57181618652385,
2022-08-25 10:30:00,236.7947994187698,
2022-08-25 11:00:00,249.93056008502094,
2022-08-25 23:59:59,257.92112041489145,c
2022-08-26 00:00:00,235.3579515130391,
2022-08-26 03:30:00,204.32567734386544,
2022-08-26 04:00:00,233.0220465645766,
2022-08-26 06:00:00,265.1351351408787,
2022-08-26 08:00:00,244.34764321903913,
2022-08-26 10:30:00,275.5618552527003,
2022-08-26 11:00:00,296.2856062518297,
2022-08-26 23:59:59,299.78456619518033,w
2022-08-29 00:00:00,315.3272826312784,
2022-08-29 03:30:00,274.29339121811927,
2022-08-29 04:00:00,276.44426462573824,
2022-08-29 06:00:00,326.8550464985103,
2022-08-29 08:00:00,285.8765507798696,
2022-08-29 10:30:00,281.0748098258464,
