date,AR2_AD_2019_Q2_ENERGY_BANKRUPCY,meta
2019-04-26 00:00:00,77.51632694185946,
2019-04-26 10:00:00,64.6490920426445,
2019-04-26 10:30:00,114.85503523302589,
2019-04-26 12:00:00,144.17880725837347,
2019-04-26 13:30:00,137.4286355759607,
2019-04-26 15:00:00,152.69100813030536,
2019-04-26 15:30:30,152.69100813030536,
2019-04-26 23:59:59,134.23430525058689,w
2019-04-29 00:00:00,167.00766763751506,
2019-04-29 10:00:00,199.874862182946,
2019-04-29 10:30:00,217.56549355704487,
2019-04-29 12:00:00,212.7466038288428,
2019-04-29 13:30:00,200.4999200723595,
2019-04-29 15:00:00,224.55034232336618,
2019-04-29 15:30:30,224.55034232336618,
2019-04-29 23:59:59,201.81216401361178,c
2019-04-30 00:00:00,159.69668426824364,
2019-04-30 10:00:00,179.42170615671319,
2019-04-30 10:30:00,167.3571908056989,
2019-04-30 12:00:00,114.22759118523584,
2019-04-30 13:30:00,131.77078789877658,
2019-04-30 15:00:00,95.07849842802818,
2019-04-30 15:30:30,95.07849842802818,
2019-04-30 23:59:59,86.5261107539643,c
2019-05-01 00:00:00,108.38891355220153,
2019-05-01 10:00:00,129.61350932333767,
2019-05-01 10:30:00,175.6242138739641,
2019-05-01 12:00:00,163.74157212183263,
2019-05-01 13:30:00,187.61036046461857,
2019-05-01 15:00:00,174.37955523984328,
2019-05-01 15:30:30,174.37955523984328,
2019-05-01 23:59:59,214.06668639433315,c
2019-05-02 00:00:00,278.79632866681266,
2019-05-02 10:00:00,243.84312765597917,
2019-05-02 10:30:00,251.67502305193022,
2019-05-02 12:00:00,320.7572109289565,
2019-05-02 13:30:00,290.18724683788514,
2019-05-02 15:00:00,294.1962858649655,
2019-05-02 15:30:30,294.1962858649655,
2019-05-02 23:59:59,300.6364485547009,c
2019-05-03 00:00:00,298.39107471615455,
2019-05-03 10:00:00,250.17400228200813,
2019-05-03 10:30:00,258.3427168134026,
2019-05-03 12:00:00,291.60720957898525,
2019-05-03 13:30:00,306.8934615379219,
2019-05-03 15:00:00,315.17040129904444,
2019-05-03 15:30:30,315.17040129904444,
2019-05-03 23:59:59,351.2692236821533,w
2019-05-06 00:00:00,351.30234624247794,
2019-05-06 10:00:00,312.25924181486755,
2019-05-06 10:30:00,336.1450775677496,
2019-05-06 12:00:00,367.80923860781354,
2019-05-06 13:30:00,312.5659553145223,
2019-05-06 15:00:00,314.5779041719279,
2019-05-06 15:30:30,314.5779041719279,
2019-05-06 23:59:59,332.0092920726903,c
2019-05-07 00:00:00,303.45230830209823,
2019-05-07 10:00:00,306.9059083014737,
2019-05-07 10:30:00,250.44043697911252,
2019-05-07 12:00:00,278.493319872818,
2019-05-07 13:30:00,275.2452187963304,
2019-05-07 15:00:00,265.9499151401103,
2019-05-07 15:30:30,265.9499151401103,
2019-05-07 23:59:59,229.45096179571806,c
2019-05-08 00:00:00,227.48965602756562,
2019-05-08 10:00:00,180.477333749526,
2019-05-08 10:30:00,190.18774716021812,
2019-05-08 12:00:00,197.39024077971885,
2019-05-08 13:30:00,219.56740296258613,
2019-05-08 15:00:00,237.60430266253616,
2019-05-08 15:30:30,237.60430266253616,
2019-05-08 23:59:59,224.12401058996977,c
2019-05-09 00:00:00,250.40438109021795,
2019-05-09 10:00:00,235.94077398433046,
2019-05-09 10:30:00,242.17758125028286,
2019-05-09 12:00:00,221.99324150275845,
2019-05-09 13:30:00,205.86944521933515,
2019-05-09 15:00:00,219.74016301321672,
2019-05-09 15:30:30,219.74016301321672,
2019-05-09 23:59:59,199.48338953367386,c
2019-05-10 00:00:00,207.6514336741741,
2019-05-10 10:00:00,197.3789273163303,
2019-05-10 10:30:00,211.18492069942442,
2019-05-10 12:00:00,206.28915100880715,
2019-05-10 13:30:00,175.06141359682147,
2019-05-10 15:00:00,173.0667311493528,
2019-05-10 15:30:30,173.0667311493528,s
2019-05-10 23:59:59,158.40083223116983,w
2019-05-13 00:00:00,160.44694349651422,
2019-05-13 10:00:00,150.2208899237146,
2019-05-13 10:30:00,130.16933608832846,
2019-05-13 12:00:00,159.35926344046925,
2019-05-13 13:30:00,131.95367630261308,
2019-05-13 15:00:00,107.98493085009045,
2019-05-13 15:30:30,107.98493085009045,
2019-05-13 23:59:59,161.4481749071682,c
2019-05-14 00:00:00,143.51261211623307,
2019-05-14 10:00:00,136.27500587432291,
2019-05-14 10:30:00,141.91559861931523,
2019-05-14 12:00:00,114.69128859246382,
2019-05-14 13:30:00,123.29831475067954,
2019-05-14 15:00:00,98.2203422385569,
2019-05-14 15:30:30,98.2203422385569,
2019-05-14 23:59:59,88.03574283469004,c
2019-05-15 00:00:00,88.17203770746471,
2019-05-15 10:00:00,57.83604846894502,
2019-05-15 10:30:00,56.3634331922475,
2019-05-15 12:00:00,17.83704675276249,
2019-05-15 13:30:00,-2.791480038956365,
2019-05-15 15:00:00,32.15567536934532,
2019-05-15 15:30:30,32.15567536934532,
2019-05-15 23:59:59,35.66482798476511,c
2019-05-16 00:00:00,26.128826444335118,
2019-05-16 10:00:00,-0.31768989620309185,
2019-05-16 10:30:00,1.859270492427413,
2019-05-16 12:00:00,1.8851328294898622,
2019-05-16 13:30:00,21.480479419904555,
2019-05-16 15:00:00,2.168583584961084,
2019-05-16 15:30:30,2.168583584961084,
2019-05-16 23:59:59,-13.867429032511154,c
2019-05-17 00:00:00,-4.888567713027896,
2019-05-17 10:00:00,-11.191495507984769,
2019-05-17 10:30:00,-28.194400659905114,
2019-05-17 12:00:00,-27.58587085234649,
