date,AS_MSCI_DM_STAY_2021_Q4,meta
2021-09-30 00:00:00,-53.655876095067676,
2021-09-30 01:00:00,-52.82847330827756,
2021-09-30 02:30:00,-58.19997345540471,
2021-09-30 03:00:00,-58.44416099175597,
2021-09-30 18:30:00,-58.44416099175597,
2021-09-30 20:00:00,-58.44416099175597,
2021-09-30 23:00:00,-37.41739991675193,
2021-09-30 23:59:59,-33.975653324177074,c
2021-10-01 00:00:00,-44.4719602373621,
2021-10-01 01:00:00,-42.159084542173005,
2021-10-01 02:30:00,-46.62077171017761,
2021-10-01 03:00:00,-46.629700099184646,
2021-10-01 18:30:00,-46.629700099184646,
2021-10-01 20:00:00,-46.629700099184646,
2021-10-01 23:00:00,-46.629700099184646,
2021-10-01 23:59:59,-46.79469934055753,w
2021-10-04 00:00:00,-55.7928050403094,
2021-10-04 01:00:00,-52.58076124698943,
2021-10-04 02:30:00,-50.12089381020987,
2021-10-04 03:00:00,-49.951237171100566,
2021-10-04 18:30:00,-49.951237171100566,
2021-10-04 20:00:00,-48.721607866697894,
2021-10-04 23:00:00,-44.64465036390698,
2021-10-04 23:59:59,-41.05674751670128,c
2021-10-05 00:00:00,-47.70405018619998,
2021-10-05 01:00:00,-48.05268419185642,
2021-10-05 02:30:00,-51.23425010319969,
2021-10-05 03:00:00,-51.25963014732291,
2021-10-05 18:30:00,-51.25963014732291,
2021-10-05 20:00:00,-48.07875540408827,
2021-10-05 23:00:00,-46.816220187611755,
2021-10-05 23:59:59,-43.6061352062461,c
2021-10-06 00:00:00,-43.17930295281917,
2021-10-06 01:00:00,-45.019979717014195,
2021-10-06 02:30:00,-50.32595379432059,
2021-10-06 03:00:00,-50.36985681903394,
2021-10-06 18:30:00,-50.36985681903394,
2021-10-06 20:00:00,-48.94781887407799,
2021-10-06 23:00:00,-50.602222214881635,
2021-10-06 23:59:59,-47.42523255223879,c
2021-10-07 00:00:00,-47.61037758852927,
2021-10-07 01:00:00,-53.21070678646399,
2021-10-07 02:30:00,-55.52935585876735,
2021-10-07 03:00:00,-55.50201473344149,
2021-10-07 18:30:00,-55.50201473344149,
2021-10-07 20:00:00,-50.08447772164963,
2021-10-07 23:00:00,-46.569424440407865,
2021-10-07 23:59:59,-50.913881872237624,c
2021-10-08 00:00:00,-51.091793503955785,
2021-10-08 01:00:00,-52.96471011357365,
2021-10-08 02:30:00,-43.899699622831655,
2021-10-08 03:00:00,-44.02120892193612,
2021-10-08 18:30:00,-44.02120892193612,
2021-10-08 20:00:00,-44.02120892193612,
2021-10-08 23:00:00,-44.02120892193612,
2021-10-08 23:59:59,-43.990152292931924,w
2021-10-11 00:00:00,-48.247832042548616,
2021-10-11 01:00:00,-47.965970418258614,
2021-10-11 02:30:00,-42.57796170774028,
2021-10-11 03:00:00,-42.59591907434796,
2021-10-11 18:30:00,-42.59591907434796,
2021-10-11 20:00:00,-40.97459674637447,
2021-10-11 23:00:00,-36.849393543289835,
2021-10-11 23:59:59,-37.20969936405356,c
2021-10-12 00:00:00,-40.135280408497636,
2021-10-12 01:00:00,-40.54756884710099,
2021-10-12 02:30:00,-41.638897743615885,
2021-10-12 03:00:00,-41.68726982807799,
2021-10-12 18:30:00,-41.68726982807799,
2021-10-12 20:00:00,-38.2404760663641,
2021-10-12 23:00:00,-34.84102623172826,
2021-10-12 23:59:59,-40.33374096248092,c
2021-10-13 00:00:00,-41.99461475654718,
2021-10-13 01:00:00,-40.511352664719496,
2021-10-13 02:30:00,-41.62811420783557,
2021-10-13 03:00:00,-41.64204924664304,
2021-10-13 18:30:00,-41.64204924664304,
2021-10-13 20:00:00,-40.15236145947483,
2021-10-13 23:00:00,-35.15886325467228,
2021-10-13 23:59:59,-36.249150289652924,c
2021-10-14 00:00:00,-39.73197353136537,
2021-10-14 01:00:00,-39.8072965349524,
2021-10-14 02:30:00,-40.82653244478661,
2021-10-14 03:00:00,-40.651545236678984,
2021-10-14 18:30:00,-40.651545236678984,
2021-10-14 20:00:00,-33.308225284176885,
2021-10-14 23:00:00,-34.87703870546318,
2021-10-14 23:59:59,-32.27765909081933,c
2021-10-15 00:00:00,-31.59493130388089,
2021-10-15 01:00:00,-32.955840679886975,
2021-10-15 02:30:00,-35.309213315927046,
2021-10-15 03:00:00,-35.27433371044309,
2021-10-15 18:30:00,-35.27433371044309,
2021-10-15 20:00:00,-35.27433371044309,
2021-10-15 23:00:00,-35.27433371044309,
2021-10-15 23:59:59,-35.4816403004948,w
2021-10-18 00:00:00,-31.931913253969185,
2021-10-18 01:00:00,-33.7762697250189,
2021-10-18 02:30:00,-28.452047717030556,
2021-10-18 03:00:00,-28.558563393656357,
2021-10-18 18:30:00,-28.558563393656357,
2021-10-18 20:00:00,-27.07007199135031,
2021-10-18 23:00:00,-16.030058295243734,
2021-10-18 23:59:59,-17.549618469270612,c
2021-10-19 00:00:00,-18.627378782474057,
2021-10-19 01:00:00,-19.454317359406822,
2021-10-19 02:30:00,-23.933863090464886,
2021-10-19 03:00:00,-23.934892163345218,
2021-10-19 18:30:00,-23.934892163345218,
2021-10-19 20:00:00,-23.64980341992811,
2021-10-19 23:00:00,-21.262482718331817,
2021-10-19 23:59:59,-18.40916783292062,c
2021-10-20 00:00:00,-16.12739576276455,
2021-10-20 01:00:00,-15.240068872298783,
2021-10-20 02:30:00,-16.567687638653403,
2021-10-20 03:00:00,-16.619480053618602,
2021-10-20 18:30:00,-16.619480053618602,
2021-10-20 20:00:00,-11.109286642181385,
2021-10-20 23:00:00,1.5144882567048672,
2021-10-20 23:59:59,1.1880312262990849,c
2021-10-21 00:00:00,-3.0958325971370417,
2021-10-21 01:00:00,-0.5308508486009895,
2021-10-21 02:30:00,-5.307784764892392,
2021-10-21 03:00:00,-5.490812703423749,
2021-10-21 18:30:00,-5.490812703423749,
2021-10-21 20:00:00,-7.561788044016547,
2021-10-21 23:00:00,-9.516681003447808,
2021-10-21 23:59:59,-6.668609593611485,c
2021-10-22 00:00:00,-6.053986742707704,
2021-10-22 01:00:00,-7.098928318929162,
2021-10-22 02:30:00,-6.825713071161969,
2021-10-22 03:00:00,-6.794043531987213,
2021-10-22 18:30:00,-6.794043531987213,
2021-10-22 20:00:00,-6.794043531987213,
2021-10-22 23:00:00,-6.794043531987213,
2021-10-22 23:59:59,-6.7050713850633645,w
2021-10-25 00:00:00,-3.7139192945872495,
2021-10-25 01:00:00,-4.498247051106009,
2021-10-25 02:30:00,-0.8162415625813289,
2021-10-25 03:00:00,-1.0030842628370547,
2021-10-25 18:30:00,-1.0030842628370547,
2021-10-25 20:00:00,0.6453803911922265,
2021-10-25 23:00:00,-4.335659575072806,
2021-10-25 23:59:59,-7.2166771283608115,c
2021-10-26 00:00:00,-5.38199712278439,
2021-10-26 01:00:00,-3.678602814755706,
2021-10-26 02:30:00,-5.054258836604144,
2021-10-26 03:00:00,-5.105756625762004,
2021-10-26 18:30:00,-5.105756625762004,
2021-10-26 20:00:00,-3.2128980229953417,
2021-10-26 23:00:00,-12.84180742653171,
2021-10-26 23:59:59,-16.96918741457941,c
2021-10-27 00:00:00,-19.901818682458764,
2021-10-27 01:00:00,-19.164171988617138,
2021-10-27 02:30:00,-20.739074295711738,
2021-10-27 03:00:00,-20.67881252598491,
2021-10-27 18:30:00,-20.67881252598491,
2021-10-27 20:00:00,-21.218487833943936,
2021-10-27 23:00:00,-25.627369224569115,
2021-10-27 23:59:59,-28.50603661401306,c
2021-10-28 00:00:00,-22.246678529861995,
2021-10-28 01:00:00,-24.01768720237026,
2021-10-28 02:30:00,-16.548593580853986,
2021-10-28 03:00:00,-16.61108203860239,
2021-10-28 18:30:00,-16.61108203860239,
2021-10-28 20:00:00,-14.599177330480236,
2021-10-28 23:00:00,-6.8542763951345265,
2021-10-28 23:59:59,-5.263271728874292,c
2021-10-29 00:00:00,-4.916038059318792,
2021-10-29 01:00:00,-3.4064421756365064,
2021-10-29 02:30:00,-1.0025354053530116,
2021-10-29 03:00:00,-1.240054507110985,
2021-10-29 18:30:00,-1.240054507110985,
2021-10-29 20:00:00,-1.240054507110985,
2021-10-29 23:00:00,-1.240054507110985,
2021-10-29 23:59:59,-0.6190104733549244,w
2021-11-01 00:00:00,-2.2436189576373966,
2021-11-01 01:00:00,-4.812760175807209,
2021-11-01 02:30:00,-5.399710932202184,
2021-11-01 03:00:00,-5.3167770039248445,
2021-11-01 18:30:00,-5.3167770039248445,
2021-11-01 20:00:00,3.611071817334503,
2021-11-01 23:00:00,20.98368340580219,
2021-11-01 23:59:59,13.46314400029874,c
2021-11-02 00:00:00,16.60468265364818,
2021-11-02 01:00:00,13.038086651634355,
2021-11-02 02:30:00,-13.091641323008608,
2021-11-02 03:00:00,-13.0109303212651,
2021-11-02 18:30:00,-13.0109303212651,
2021-11-02 20:00:00,-7.125422468072511,
2021-11-02 23:00:00,-6.9178460995327535,
2021-11-02 23:59:59,-9.36141973903148,c
2021-11-03 00:00:00,-9.181781775650892,
2021-11-03 01:00:00,-10.221802566017972,
2021-11-03 02:30:00,-10.050562426291322,
2021-11-03 03:00:00,-10.038655247609947,
2021-11-03 18:30:00,-10.038655247609947,
2021-11-03 20:00:00,-6.663233525361528,
2021-11-03 23:00:00,-2.0831626849480713,
2021-11-03 23:59:59,-4.220150551731532,c
2021-11-04 00:00:00,-9.548610180050765,
2021-11-04 01:00:00,-12.3537082398227,
2021-11-04 02:30:00,-12.3537082398227,
2021-11-04 03:00:00,-12.3537082398227,
2021-11-04 18:30:00,-12.3537082398227,
2021-11-04 20:00:00,-16.240869696907858,
2021-11-04 23:00:00,-11.251854302229763,
2021-11-04 23:59:59,-10.030182994249165,c
2021-11-05 00:00:00,-6.236005988973145,
2021-11-05 01:00:00,-6.742480332751559,
2021-11-05 02:30:00,-9.32015403728594,
2021-11-05 03:00:00,-9.168424800260029,
2021-11-05 18:30:00,-9.168424800260029,
2021-11-05 20:00:00,-9.168424800260029,
2021-11-05 23:00:00,-9.168424800260029,
2021-11-05 23:59:59,-8.709094462071924,w
2021-11-08 00:00:00,-30.0755488511869,
2021-11-08 01:00:00,-23.376355064252046,
2021-11-08 02:30:00,-23.44851843745926,
2021-11-08 03:00:00,-23.625179525224716,
2021-11-08 18:30:00,-19.49040053875013,
2021-11-08 20:00:00,-2.8453339183454407,
2021-11-08 23:00:00,-6.803949199061093,
2021-11-08 23:59:59,-3.304961609658701,c
2021-11-09 00:00:00,-6.20613055820306,
2021-11-09 01:00:00,-6.325987299833738,
2021-11-09 02:30:00,-6.433696127284445,
2021-11-09 03:00:00,-6.59142262642968,
2021-11-09 18:30:00,-7.852967202009729,
2021-11-09 20:00:00,-5.597033729262265,
2021-11-09 23:00:00,-9.988579391185956,
2021-11-09 23:59:59,-4.411007070294869,c
2021-11-10 00:00:00,-10.09811088946903,
2021-11-10 01:00:00,-14.44485229514399,
2021-11-10 02:30:00,-14.572630964830683,
2021-11-10 03:00:00,-14.600728630697843,
2021-11-10 18:30:00,-14.79707247717569,
2021-11-10 20:00:00,-16.045668879281592,
2021-11-10 23:00:00,-13.022364573521275,
2021-11-10 23:59:59,-14.780389060769556,c
2021-11-11 00:00:00,-18.233915173993758,
2021-11-11 01:00:00,-18.61508108565158,
2021-11-11 02:30:00,-18.591059126221943,
2021-11-11 03:00:00,-18.656675441214492,
2021-11-11 18:30:00,-15.116933137388937,
2021-11-11 20:00:00,-16.89136596649881,
2021-11-11 23:00:00,-5.916763279708492,
