date,CIBR_2022_Q4,meta
2022-12-09 00:00:00,-35.358836452052415,
2022-12-09 10:00:00,26.076241390645748,
2022-12-09 10:30:00,30.63547066222074,
2022-12-09 12:00:00,15.271464837298907,
2022-12-09 13:30:00,3.224694595793693,
2022-12-09 15:00:00,15.86067036690082,
2022-12-09 15:30:30,15.86067036690082,
2022-12-09 23:59:59,0.0,a
2022-12-12 00:00:00,10.473725097265856,
2022-12-12 10:00:00,109.41773138573708,
2022-12-12 10:30:00,126.7085060061766,
2022-12-12 12:00:00,147.28256512088643,
2022-12-12 13:30:00,124.68141457780928,
2022-12-12 15:00:00,132.68193170114967,
2022-12-12 15:30:30,132.68193170114967,
2022-12-12 23:59:59,133.2202781847863,c
2022-12-13 00:00:00,303.3022135002838,
2022-12-13 10:00:00,260.416253792718,
2022-12-13 10:30:00,262.0490010534353,
2022-12-13 12:00:00,208.5205895818309,
2022-12-13 13:30:00,220.70376901805002,
2022-12-13 15:00:00,234.8712028254621,
2022-12-13 15:30:30,234.8712028254621,
2022-12-13 23:59:59,230.3749483634058,c
2022-12-14 00:00:00,210.19776177980629,
2022-12-14 10:00:00,267.59669556411455,
2022-12-14 10:30:00,268.8755763235674,
2022-12-14 12:00:00,250.6247688998252,
2022-12-14 13:30:00,244.19482336885204,
2022-12-14 15:00:00,253.33240209526195,
2022-12-14 15:30:30,253.33240209526195,
2022-12-14 23:59:59,229.2863136849731,c
2022-12-15 00:00:00,134.77590361349047,
2022-12-15 10:00:00,230.19127277484012,
2022-12-15 10:30:00,230.1619238242485,
2022-12-15 12:00:00,168.96602632622472,
2022-12-15 13:30:00,166.25969749467959,
2022-12-15 15:00:00,158.40122292875066,
2022-12-15 15:30:30,158.40122292875066,
2022-12-15 23:59:59,137.45493680544564,c
2022-12-16 00:00:00,137.06860893672558,
2022-12-16 10:00:00,176.6491751222532,
2022-12-16 10:30:00,153.16012866273473,
2022-12-16 12:00:00,94.71280939631694,
2022-12-16 13:30:00,135.78571108467622,
2022-12-16 15:00:00,142.19117201578422,
2022-12-16 15:30:30,142.19117201578422,
2022-12-16 23:59:59,132.28394789372697,e
2022-12-19 00:00:00,112.27243785427325,
2022-12-19 10:00:00,51.09335176240421,
2022-12-19 10:30:00,84.17041727692197,
2022-12-19 12:00:00,21.43426011605311,
2022-12-19 13:30:00,49.5577595115177,
2022-12-19 15:00:00,35.98120306005458,
2022-12-19 15:30:30,35.98120306005458,
2022-12-19 23:59:59,16.809809231265376,c
2022-12-20 00:00:00,-12.466380698461236,
2022-12-20 10:00:00,24.025144709078518,
2022-12-20 10:30:00,62.833422691110286,
2022-12-20 12:00:00,60.79775567869547,
2022-12-20 13:30:00,45.86185430256714,
2022-12-20 15:00:00,54.83025282932516,
2022-12-20 15:30:30,54.83025282932516,
2022-12-20 23:59:59,66.8306575848014,c
2022-12-21 00:00:00,29.10804625432479,
2022-12-21 10:00:00,26.345867335367018,
2022-12-21 10:30:00,37.44074763560772,
2022-12-21 12:00:00,107.65748985487537,
2022-12-21 13:30:00,98.93273569914032,
2022-12-21 15:00:00,87.60982737429586,
2022-12-21 15:30:30,87.60982737429586,
2022-12-21 23:59:59,87.9784402806807,c
2022-12-22 00:00:00,40.89162470979494,
2022-12-22 10:00:00,69.99030595673287,
2022-12-22 10:30:00,37.562841211209474,
2022-12-22 12:00:00,27.35216250047199,
2022-12-22 13:30:00,20.990935679078234,
2022-12-22 15:00:00,29.391786266438743,
2022-12-22 15:30:30,29.391786266438743,
2022-12-22 23:59:59,62.54387007050224,c
2022-12-23 00:00:00,36.32591718314987,
2022-12-23 10:00:00,-20.608456072595374,
2022-12-23 10:30:00,18.193219600726593,
2022-12-23 12:00:00,-1.7754191364388419,
2022-12-23 13:30:00,-16.927167353843018,
2022-12-23 15:00:00,5.681280041518249,
2022-12-23 15:30:30,5.681280041518249,
2022-12-23 23:59:59,20.288884681666786,w
2022-12-26 00:00:00,20.288884681666786,
2022-12-26 10:00:00,20.288884681666786,
2022-12-26 10:30:00,20.288884681666786,
2022-12-26 12:00:00,20.288884681666786,
2022-12-26 13:30:00,20.288884681666786,
2022-12-26 15:00:00,20.288884681666786,
2022-12-26 15:30:30,20.288884681666786,
2022-12-26 23:59:59,20.288884681666786,c
2022-12-27 00:00:00,-15.11728185117994,
2022-12-27 10:00:00,-64.20637325235266,
2022-12-27 10:30:00,-37.922966484668976,
2022-12-27 12:00:00,-45.610679059321626,
2022-12-27 13:30:00,-75.39731480194393,
2022-12-27 15:00:00,-71.8212583212965,
2022-12-27 15:30:30,-71.8212583212965,
2022-12-27 23:59:59,-87.82478566252271,c
2022-12-28 00:00:00,-89.00124206816764,
