date,MSCI_VNQ_2021_Q2,meta
2021-05-03 13:30:00,26.38165377764949,
2021-05-03 15:00:00,24.30871536490065,
2021-05-03 15:30:30,24.30871536490065,
2021-05-03 23:59:59,31.7617681710247,c
2021-05-04 00:00:00,9.082637693220988,
2021-05-04 10:00:00,16.961632140626136,
2021-05-04 10:30:00,38.427254076148074,
2021-05-04 12:00:00,26.42872319940784,
2021-05-04 13:30:00,36.2361981342479,
2021-05-04 15:00:00,36.89041223025288,
2021-05-04 15:30:30,36.89041223025288,
2021-05-04 23:59:59,42.67551156863527,c
2021-05-05 00:00:00,72.55800705896951,
2021-05-05 10:00:00,59.4150477932572,
2021-05-05 10:30:00,60.91208628307288,
2021-05-05 12:00:00,47.75893079516402,
2021-05-05 13:30:00,48.51423766324535,
2021-05-05 15:00:00,48.460731279962374,
2021-05-05 15:30:30,48.460731279962374,
2021-05-05 23:59:59,40.30785834219256,c
2021-05-06 00:00:00,24.633014781688985,
2021-05-06 10:00:00,21.090686464073087,
2021-05-06 10:30:00,25.695105590980404,
2021-05-06 12:00:00,43.87058398307744,
2021-05-06 13:30:00,31.360195793516027,
2021-05-06 15:00:00,7.936646489922396,
2021-05-06 15:30:30,7.936646489922396,
2021-05-06 23:59:59,3.0220355276964597,c
2021-05-07 00:00:00,7.9641101866230315,
2021-05-07 10:00:00,-0.9271344049817003,
2021-05-07 10:30:00,13.170684327438494,
2021-05-07 12:00:00,18.285412381382116,
2021-05-07 13:30:00,24.638182327003506,
2021-05-07 15:00:00,23.88090156124639,
2021-05-07 15:30:30,23.88090156124639,
2021-05-07 23:59:59,26.51396055100389,w
2021-05-10 00:00:00,10.988625946571688,
2021-05-10 10:00:00,-24.196023522122402,
2021-05-10 10:30:00,-22.73301386944138,
2021-05-10 12:00:00,-21.520786039069264,
2021-05-10 13:30:00,-42.692308349321195,
2021-05-10 15:00:00,-46.510032104252616,
2021-05-10 15:30:30,-46.510032104252616,
2021-05-10 23:59:59,-33.61357306429545,c
2021-05-11 00:00:00,-74.5972936850871,
2021-05-11 10:00:00,-37.81988398205243,
2021-05-11 10:30:00,-68.5007498947977,
2021-05-11 12:00:00,-33.28052996683124,
2021-05-11 13:30:00,-29.404358845268803,
2021-05-11 15:00:00,-12.52081201160729,
2021-05-11 15:30:30,-12.52081201160729,
2021-05-11 23:59:59,-13.027051803398138,c
2021-05-12 00:00:00,-37.510543840793446,
2021-05-12 10:00:00,-20.78954390880989,
2021-05-12 10:30:00,-16.28379056325781,
2021-05-12 12:00:00,-12.499216256578052,
2021-05-12 13:30:00,-9.83601591577866,
2021-05-12 15:00:00,-14.072448047981482,
2021-05-12 15:30:30,-14.072448047981482,
2021-05-12 23:59:59,-17.9023893747771,c
2021-05-13 00:00:00,14.194600172433468,
2021-05-13 10:00:00,-7.2618908471653185,
2021-05-13 10:30:00,-26.787690520799288,
2021-05-13 12:00:00,-61.38110813539748,
2021-05-13 13:30:00,-79.06252003242247,
2021-05-13 15:00:00,-82.56590660869301,
2021-05-13 15:30:30,-82.56590660869301,u
2021-05-13 23:59:59,-69.39203795458673,c
2021-05-14 00:00:00,-47.74654902170869,
2021-05-14 10:00:00,-36.66928968559506,
2021-05-14 10:30:00,-19.057054932813912,
2021-05-14 12:00:00,-19.76399627645884,
2021-05-14 13:30:00,-39.07982754373694,
2021-05-14 15:00:00,-32.3002955568374,
2021-05-14 15:30:30,-32.3002955568374,
2021-05-14 23:59:59,-25.509388212549993,w
2021-05-17 00:00:00,-33.836773772813956,
2021-05-17 10:00:00,-18.426105219899114,
2021-05-17 10:30:00,-3.7728031386281486,
2021-05-17 12:00:00,-6.956895313699306,
2021-05-17 13:30:00,-6.607175379872388,
2021-05-17 15:00:00,-15.981947883452904,
2021-05-17 15:30:30,-15.981947883452904,
2021-05-17 23:59:59,0.0,a
2021-05-18 00:00:00,1.2438119748031227,
2021-05-18 10:00:00,25.415649331242662,
2021-05-18 10:30:00,44.69825250081618,
2021-05-18 12:00:00,34.454640239845105,
2021-05-18 13:30:00,28.66642650197298,
2021-05-18 15:00:00,1.3095906203637924,
2021-05-18 15:30:30,1.3095906203637924,
2021-05-18 23:59:59,7.127071831444823,c
2021-05-19 00:00:00,-15.536585691341827,
2021-05-19 10:00:00,18.327169291422365,
2021-05-19 10:30:00,19.55800598748732,
2021-05-19 12:00:00,21.440176617697716,
2021-05-19 13:30:00,7.375190507916102,
2021-05-19 15:00:00,13.450442887220504,
2021-05-19 15:30:30,13.450442887220504,
2021-05-19 23:59:59,-2.686611360641052,c
2021-05-20 00:00:00,-5.572385389396118,
2021-05-20 10:00:00,30.095293785930494,
2021-05-20 10:30:00,31.318196035363087,
2021-05-20 12:00:00,19.39773420394397,
2021-05-20 13:30:00,14.333269316147778,
2021-05-20 15:00:00,6.60396016907805,
2021-05-20 15:30:30,6.60396016907805,
2021-05-20 23:59:59,19.21460585665784,c
0,19.21460585665784,
0,19.21460585665784,
0,19.21460585665784,
0,19.21460585665784,
0,19.21460585665784,
0,19.21460585665784,
0,19.21460585665784,
0,19.21460585665784,
0,19.21460585665784,
0,19.21460585665784,
0,19.21460585665784,
0,19.21460585665784,
0,19.21460585665784,
0,19.21460585665784,
0,19.21460585665784,
0,19.21460585665784,
0,19.21460585665784,
0,19.21460585665784,
0,19.21460585665784,
0,19.21460585665784,
0,19.21460585665784,
0,19.21460585665784,
0,19.21460585665784,
0,19.21460585665784,
2021-05-21 00:00:00,34.83383319346996,
2021-05-21 10:00:00,31.234678954612775,
2021-05-21 10:30:00,39.874331423937065,
2021-05-21 12:00:00,34.27817249264962,
2021-05-21 13:30:00,23.496556008210803,
2021-05-21 15:00:00,28.601271555175686,
2021-05-21 15:30:30,28.601271555175686,
2021-05-21 23:59:59,26.1826728216858,w
2021-05-24 00:00:00,26.250729084142847,
2021-05-24 10:00:00,51.288200677173506,
2021-05-24 10:30:00,28.30485957229297,
2021-05-24 12:00:00,38.41155881190457,
2021-05-24 13:30:00,32.72412636805967,
2021-05-24 15:00:00,38.6724544656563,
2021-05-24 15:30:30,38.6724544656563,
2021-05-24 23:59:59,44.02446419595748,c
2021-05-25 00:00:00,43.03444012256381,
2021-05-25 10:00:00,57.801361514791154,
2021-05-25 10:30:00,56.46364136853333,
2021-05-25 12:00:00,39.59078298214263,
2021-05-25 13:30:00,42.59679696050074,
2021-05-25 15:00:00,54.97777063692871,
2021-05-25 15:30:30,54.97777063692871,
2021-05-25 23:59:59,45.64764509786352,c
2021-05-26 00:00:00,49.603640080212585,
2021-05-26 10:00:00,84.73136321113242,
2021-05-26 10:30:00,91.14491458272346,
2021-05-26 12:00:00,70.41520675078834,
2021-05-26 13:30:00,73.63100603803753,
2021-05-26 15:00:00,83.20738949727678,
2021-05-26 15:30:30,83.20738949727678,
2021-05-26 23:59:59,73.18775845995026,c
2021-05-27 00:00:00,87.62221635222062,
2021-05-27 10:00:00,28.42856922429297,
2021-05-27 10:30:00,42.34692184269397,
2021-05-27 12:00:00,35.3093511401533,
2021-05-27 13:30:00,63.218373760023326,
2021-05-27 15:00:00,62.225852756744416,
2021-05-27 15:30:30,62.225852756744416,
2021-05-27 23:59:59,67.1181999871551,e
2021-05-28 00:00:00,44.465345109251984,
2021-05-28 10:00:00,50.377100059036934,
2021-05-28 10:30:00,30.840156133273695,
2021-05-28 12:00:00,28.777507577880726,
2021-05-28 13:30:00,17.73053749743258,
2021-05-28 15:00:00,10.92693776772677,
2021-05-28 15:30:30,10.92693776772677,
2021-05-28 23:59:59,27.08388580663427,w
2021-05-31 00:00:00,27.08388580663427,
2021-05-31 10:00:00,27.08388580663427,
2021-05-31 10:30:00,27.08388580663427,
2021-05-31 12:00:00,27.08388580663427,
2021-05-31 13:30:00,27.08388580663427,
2021-05-31 15:00:00,27.08388580663427,
2021-05-31 15:30:30,27.08388580663427,
2021-05-31 23:59:59,27.08388580663427,c
2021-06-01 00:00:00,22.500342600785473,
2021-06-01 10:00:00,14.240585329849921,
2021-06-01 10:30:00,-8.00653440626752,
2021-06-01 12:00:00,-12.378625771120426,
2021-06-01 13:30:00,-15.160844222748892,
2021-06-01 15:00:00,-7.210754179417734,
2021-06-01 15:30:30,-7.210754179417734,
2021-06-01 23:59:59,-13.353196572565764,c
2021-06-02 00:00:00,-32.22177574838639,
2021-06-02 10:00:00,-22.256216751749093,
2021-06-02 10:30:00,-35.609980500009726,
2021-06-02 12:00:00,-28.70660565977414,
2021-06-02 13:30:00,6.879860541514404,
