date,AR_MIGRATION_HEDGED_2022_Q2,meta
2022-05-13 00:00:00,19.129730756414318,
2022-05-13 10:00:00,57.96091569556776,
2022-05-13 10:30:00,59.2546816521274,
2022-05-13 12:00:00,110.52880980984416,
2022-05-13 13:30:00,104.13386888618172,
2022-05-13 15:00:00,110.86649234255782,
2022-05-13 15:30:30,110.86649234255782,
2022-05-13 23:59:59,124.96789677697359,w
2022-05-16 00:00:00,109.03704881217044,
2022-05-16 10:00:00,107.34434366716982,
2022-05-16 10:30:00,107.10549046443151,
2022-05-16 12:00:00,125.13335281182725,
2022-05-16 13:30:00,112.39166433689246,
2022-05-16 15:00:00,123.02479120774962,
2022-05-16 15:30:30,123.02479120774962,
2022-05-16 23:59:59,126.75640581078267,c
2022-05-17 00:00:00,137.60375302026472,
2022-05-17 10:00:00,128.02009897417986,
2022-05-17 10:30:00,121.16043388850312,
2022-05-17 12:00:00,97.79019804522098,
2022-05-17 13:30:00,110.04713281766222,
2022-05-17 15:00:00,99.82837827369501,
2022-05-17 15:30:30,99.82837827369501,
2022-05-17 23:59:59,92.00210245628298,c
2022-05-18 00:00:00,123.28182746237819,
2022-05-18 10:00:00,152.21489533850607,
2022-05-18 10:30:00,154.07052103795604,
2022-05-18 12:00:00,162.48191507095765,
2022-05-18 13:30:00,165.2710334001298,
2022-05-18 15:00:00,177.64762724879137,
2022-05-18 15:30:30,177.64762724879137,
2022-05-18 23:59:59,181.6129577152367,c
2022-05-19 00:00:00,171.31133683136107,
2022-05-19 10:00:00,169.2576025455968,
2022-05-19 10:30:00,177.5828957531383,
2022-05-19 12:00:00,177.68773435629998,
2022-05-19 13:30:00,186.3734826685211,
2022-05-19 15:00:00,185.81078629787527,
2022-05-19 15:30:30,185.81078629787527,
2022-05-19 23:59:59,188.5023621751028,c
2022-05-20 00:00:00,188.44035978188487,
2022-05-20 10:00:00,217.50584871841937,
2022-05-20 10:30:00,243.58142607358147,
2022-05-20 12:00:00,223.56393718196648,
2022-05-20 13:30:00,217.27339963335646,
2022-05-20 15:00:00,225.6587605868011,
2022-05-20 15:30:30,225.6587605868011,
2022-05-20 23:59:59,217.68630559487013,w
2022-05-23 00:00:00,219.03388266724752,
2022-05-23 10:00:00,186.6061042463091,
2022-05-23 10:30:00,179.1048889803932,
2022-05-23 12:00:00,172.30735234569684,
2022-05-23 13:30:00,151.4931728363914,
2022-05-23 15:00:00,144.48309376470795,
2022-05-23 15:30:30,144.48309376470795,
2022-05-23 23:59:59,148.15859512373848,c
2022-05-24 00:00:00,132.75411461906538,
2022-05-24 10:00:00,145.0539580744397,
2022-05-24 10:30:00,158.95960162994004,
2022-05-24 12:00:00,162.8158857814522,
2022-05-24 13:30:00,180.49362675972347,
2022-05-24 15:00:00,176.09337305356007,
2022-05-24 15:30:30,176.09337305356007,
2022-05-24 23:59:59,170.39312525741352,c
2022-05-25 00:00:00,145.6321200381662,
2022-05-25 10:00:00,150.9372580219488,
2022-05-25 10:30:00,137.77124101763926,
2022-05-25 12:00:00,151.84915083380463,
2022-05-25 13:30:00,152.36751462246025,
2022-05-25 15:00:00,136.18495133476648,
2022-05-25 15:30:30,136.18495133476648,
2022-05-25 23:59:59,144.67372059576604,c
2022-05-26 00:00:00,112.3013479791677,
2022-05-26 10:00:00,133.5931405999343,
2022-05-26 10:30:00,118.65431481520564,
2022-05-26 12:00:00,87.5142145379208,
2022-05-26 13:30:00,79.55044359788741,
2022-05-26 15:00:00,82.64564066199543,
2022-05-26 15:30:30,82.64564066199543,
2022-05-26 23:59:59,75.7808782257238,c
2022-05-27 00:00:00,69.14934327221931,
2022-05-27 10:00:00,44.253091661441076,
2022-05-27 10:30:00,48.828318318381356,
2022-05-27 12:00:00,24.844671089465905,
2022-05-27 13:30:00,10.647557441920696,
2022-05-27 15:00:00,-2.0098129416548147,
2022-05-27 15:30:30,-2.0098129416548147,
2022-05-27 23:59:59,-4.137490200887072,w
2022-05-30 00:00:00,-4.137490200887072,
2022-05-30 10:00:00,-4.137490200887072,
2022-05-30 10:30:00,-4.137490200887072,
2022-05-30 12:00:00,-4.137490200887072,
2022-05-30 13:30:00,-4.137490200887072,
2022-05-30 15:00:00,-4.137490200887072,
2022-05-30 15:30:30,-4.137490200887072,
2022-05-30 23:59:59,-4.137490200887072,c
2022-05-31 00:00:00,1.3208328312908861,
2022-05-31 10:00:00,-8.169222574149742,
2022-05-31 10:30:00,-8.246928471974115,
2022-05-31 12:00:00,-16.80556903925472,
2022-05-31 13:30:00,-9.833774504779399,
2022-05-31 15:00:00,7.1562839223184085,
2022-05-31 15:30:30,7.1562839223184085,m
2022-05-31 23:59:59,10.404525129321442,c
2022-06-01 00:00:00,7.035748266303898,
2022-06-01 10:00:00,21.744381633698666,
2022-06-01 10:30:00,9.403901668640714,
2022-06-01 12:00:00,20.17027150473031,
2022-06-01 13:30:00,-16.00196700517631,
2022-06-01 15:00:00,-28.58344287684504,
2022-06-01 15:30:30,-28.58344287684504,
2022-06-01 23:59:59,-22.32087691244331,c
2022-06-02 00:00:00,-28.28234064732034,
2022-06-02 10:00:00,-41.456479927475584,
2022-06-02 10:30:00,-31.86818966649095,
2022-06-02 12:00:00,-11.692031415508481,
2022-06-02 13:30:00,-21.11228789523257,
2022-06-02 15:00:00,-4.291866884894205,
2022-06-02 15:30:30,-4.291866884894205,
2022-06-02 23:59:59,-22.377178003529522,c
2022-06-03 00:00:00,-25.305116212719255,
2022-06-03 10:00:00,18.124359961216413,
2022-06-03 10:30:00,13.23983562309455,
2022-06-03 12:00:00,10.83415303035477,
2022-06-03 13:30:00,-0.4575096693905323,
2022-06-03 15:00:00,0.15801570630974027,
2022-06-03 15:30:30,0.15801570630974027,
2022-06-03 23:59:59,0.0,a
2022-06-06 00:00:00,32.33391698017902,
2022-06-06 10:00:00,29.0525644672327,
2022-06-06 10:30:00,14.014958169998863,
2022-06-06 12:00:00,-7.6630364776949875,
