date,EU_AGED_2022_Q2,meta
2022-06-13 03:30:00,-374.2658903235215,
2022-06-13 04:00:00,-377.77757727566586,
2022-06-13 06:00:00,-428.15740446444215,
2022-06-13 08:00:00,-413.7977454956117,
2022-06-13 10:30:00,-408.65342297658026,
2022-06-13 11:00:00,-402.6983076471706,
2022-06-13 23:59:59,-378.9177534841856,c
2022-06-14 00:00:00,-369.645742548777,
2022-06-14 03:30:00,-312.30994145227123,
2022-06-14 04:00:00,-281.7132165245903,
2022-06-14 06:00:00,-398.7439002682959,
2022-06-14 08:00:00,-451.7131702198094,
2022-06-14 10:30:00,-437.84883150380483,
2022-06-14 11:00:00,-423.8153592518174,
2022-06-14 23:59:59,-393.4329302934502,c
2022-06-15 00:00:00,-373.77303877374925,
2022-06-15 03:30:00,-356.97323696910735,
2022-06-15 04:00:00,-300.30942645873347,
2022-06-15 06:00:00,-307.7216597189408,
2022-06-15 08:00:00,-353.72700168268693,
2022-06-15 10:30:00,-294.8603047332417,
2022-06-15 11:00:00,-302.56790354295845,
2022-06-15 23:59:59,-298.4166472238103,c
2022-06-16 00:00:00,-299.54901012138,
2022-06-16 03:30:00,-365.2104056850967,
2022-06-16 04:00:00,-368.55265050981507,
2022-06-16 06:00:00,-413.85520635749253,
2022-06-16 08:00:00,-492.96315642647915,
2022-06-16 10:30:00,-419.53829264965316,
2022-06-16 11:00:00,-427.88733549304106,
2022-06-16 23:59:59,-447.08826625963684,c
2022-06-17 00:00:00,-438.48866085666305,
2022-06-17 03:30:00,-411.6786994481963,
2022-06-17 04:00:00,-386.7881822684403,
2022-06-17 06:00:00,-370.1441416412963,
2022-06-17 08:00:00,-368.0963528569482,
2022-06-17 10:30:00,-404.13872436474776,
2022-06-17 11:00:00,-427.508037409847,
2022-06-17 23:59:59,-385.2911006013992,e
2022-06-20 00:00:00,-317.9927032954174,
2022-06-20 03:30:00,-310.85815951122095,
2022-06-20 04:00:00,-315.8206472947468,
2022-06-20 06:00:00,-276.48799752789273,
2022-06-20 08:00:00,-242.20764716704252,
2022-06-20 10:30:00,-287.7472171241707,
2022-06-20 11:00:00,-294.13762696724643,
2022-06-20 23:59:59,-310.1341725779548,c
2022-06-21 00:00:00,-244.42429078929763,
2022-06-21 03:30:00,-169.6578746043724,
2022-06-21 04:00:00,-138.93336291752712,
2022-06-21 06:00:00,-171.29630104247008,
2022-06-21 08:00:00,-176.23235003838454,
2022-06-21 10:30:00,-193.68600525074544,
2022-06-21 11:00:00,-187.63284028159615,
2022-06-21 23:59:59,-214.92013036753815,c
2022-06-22 00:00:00,-256.8435849891421,
2022-06-22 03:30:00,-317.0283046937466,
2022-06-22 04:00:00,-337.24577204672914,
2022-06-22 06:00:00,-328.03784390854526,
2022-06-22 08:00:00,-297.417692577832,
2022-06-22 10:30:00,-203.66358186695925,
2022-06-22 11:00:00,-163.36896038984924,
2022-06-22 23:59:59,-241.52516757323156,c
2022-06-23 00:00:00,-238.1008951123231,
2022-06-23 03:30:00,-328.1808403518253,
2022-06-23 04:00:00,-356.10858803390147,
2022-06-23 06:00:00,-337.48412784789525,
2022-06-23 08:00:00,-292.02448250417274,
2022-06-23 10:30:00,-362.09342097921854,
2022-06-23 11:00:00,-343.38412287670053,
2022-06-23 23:59:59,-339.9109772822003,c
2022-06-24 00:00:00,-311.436150069655,
2022-06-24 03:30:00,-318.2593801968869,
2022-06-24 04:00:00,-295.0842713011216,
2022-06-24 06:00:00,-263.0312312135284,
2022-06-24 08:00:00,-294.1898804400298,
2022-06-24 10:30:00,-241.03724091745607,
2022-06-24 11:00:00,-242.27674463964013,
2022-06-24 23:59:59,-232.83979645252384,w
2022-06-27 00:00:00,-176.24910373318198,
2022-06-27 03:30:00,-159.18587116915296,
2022-06-27 04:00:00,-103.75855141729153,
2022-06-27 06:00:00,-151.49008657036666,
2022-06-27 08:00:00,-148.18091101821574,
2022-06-27 10:30:00,-183.42338659634606,
2022-06-27 11:00:00,-146.84918036658564,
2022-06-27 23:59:59,-167.11301123086832,c
2022-06-28 00:00:00,-133.78302843108122,
2022-06-28 03:30:00,-115.25129616994309,
2022-06-28 04:00:00,-129.35250049389379,
2022-06-28 06:00:00,-78.76777456319269,
2022-06-28 08:00:00,-121.55768736806203,
2022-06-28 10:30:00,-124.08408686387884,
2022-06-28 11:00:00,-129.75076948078913,
2022-06-28 23:59:59,-102.04721606800013,c
2022-06-29 00:00:00,-149.85269735763268,
2022-06-29 03:30:00,-120.10765241054014,
2022-06-29 04:00:00,-164.81808873047703,
2022-06-29 06:00:00,-185.39467973663068,
2022-06-29 08:00:00,-162.25498070572667,
2022-06-29 10:30:00,-176.1402872823901,
2022-06-29 11:00:00,-164.0934867794631,
2022-06-29 23:59:59,-147.0159467163021,c
2022-06-30 00:00:00,-215.4310339283893,
2022-06-30 03:30:00,-265.35805929550224,
2022-06-30 04:00:00,-246.73630157557727,
2022-06-30 06:00:00,-312.4985034616575,
2022-06-30 08:00:00,-366.8878427089385,
2022-06-30 10:30:00,-346.2083455743341,
2022-06-30 11:00:00,-296.81071695442824,
2022-06-30 23:59:59,-265.36496299784267,c
2022-07-01 00:00:00,-283.7354378747932,
2022-07-01 03:30:00,-312.4256924234842,
2022-07-01 04:00:00,-302.3725349642382,
2022-07-01 06:00:00,-299.30425799446675,
2022-07-01 08:00:00,-336.2348033260041,
2022-07-01 10:30:00,-318.00664951368526,
2022-07-01 11:00:00,-312.72191697716426,
2022-07-01 23:59:59,-276.2683114113397,w
