date,EU_AGED_2022_Q2,meta
2022-05-20 00:00:00,-120.15104384375263,
2022-05-20 03:30:00,-139.54204600561297,
2022-05-20 04:00:00,-111.7842778580125,
2022-05-20 06:00:00,-154.2233889315312,
2022-05-20 08:00:00,-163.51171786484974,
2022-05-20 10:30:00,-184.14315182914015,
2022-05-20 11:00:00,-185.3909965877774,
2022-05-20 23:59:59,-199.79983933988478,w
2022-05-23 00:00:00,-111.25144870450367,
2022-05-23 03:30:00,-68.00513640862755,
2022-05-23 04:00:00,-78.1435717956956,
2022-05-23 06:00:00,-82.55357591389838,
2022-05-23 08:00:00,-106.70947882285964,
2022-05-23 10:30:00,-110.75216182190161,
2022-05-23 11:00:00,-119.94825423030306,
2022-05-23 23:59:59,-109.04073992147823,c
2022-05-24 00:00:00,-138.14247959893146,
2022-05-24 03:30:00,-101.86912802236475,
2022-05-24 04:00:00,-122.02171776357864,
2022-05-24 06:00:00,-123.77031269245708,
2022-05-24 08:00:00,-94.36519217255682,
2022-05-24 10:30:00,-154.9110392571838,
2022-05-24 11:00:00,-146.22238977846428,
2022-05-24 23:59:59,-172.89987325577295,c
2022-05-25 00:00:00,-116.29121629419387,
2022-05-25 03:30:00,-117.95874384925628,
2022-05-25 04:00:00,-117.01265352810424,
2022-05-25 06:00:00,-167.74914094755968,
2022-05-25 08:00:00,-233.40762044593976,
2022-05-25 10:30:00,-185.83632222150482,
2022-05-25 11:00:00,-154.32159523507016,
2022-05-25 23:59:59,-161.61731383322604,c
2022-05-26 00:00:00,-154.2360670110338,
2022-05-26 03:30:00,-147.45257903360107,
2022-05-26 04:00:00,-97.1471070837315,
2022-05-26 06:00:00,-108.66126303923556,
2022-05-26 08:00:00,-106.12772949754162,
2022-05-26 10:30:00,-50.760978272244756,
2022-05-26 11:00:00,-43.911602546263566,
2022-05-26 23:59:59,-37.82075766255821,c
2022-05-27 00:00:00,-24.03459574860699,
2022-05-27 03:30:00,-51.01435172651691,
2022-05-27 04:00:00,-20.53590663957766,
2022-05-27 06:00:00,-53.50548433980475,
2022-05-27 08:00:00,-49.26858726371847,
2022-05-27 10:30:00,-50.18841088618501,
2022-05-27 11:00:00,-78.19595360494259,
2022-05-27 23:59:59,-70.26547297479192,w
2022-05-30 00:00:00,88.81671044805353,
2022-05-30 03:30:00,94.32287240656478,
2022-05-30 04:00:00,78.60390414606172,
2022-05-30 06:00:00,94.17577563640953,
2022-05-30 08:00:00,83.28040532510386,
2022-05-30 10:30:00,81.20875992450328,
2022-05-30 11:00:00,93.71253819003869,
2022-05-30 23:59:59,85.80314293368247,c
2022-05-31 00:00:00,64.62740382569609,
2022-05-31 03:30:00,17.88243232393961,
2022-05-31 04:00:00,-16.259633005075557,
2022-05-31 06:00:00,-27.630162050036233,
2022-05-31 08:00:00,-68.8640083852406,
2022-05-31 10:30:00,-11.652264258608739,
2022-05-31 11:00:00,-11.007142083808503,
2022-05-31 23:59:59,15.15446349996273,c
2022-06-01 00:00:00,61.485158588763625,
2022-06-01 03:30:00,69.43365496668412,
2022-06-01 04:00:00,65.87545462167509,
2022-06-01 06:00:00,75.84094985955016,
2022-06-01 08:00:00,57.40918443149167,
2022-06-01 10:30:00,38.79690338342698,
2022-06-01 11:00:00,40.12131182169469,
2022-06-01 23:59:59,69.73626349049664,c
2022-06-02 00:00:00,84.51806920799572,
2022-06-02 03:30:00,81.81067003641692,
2022-06-02 04:00:00,59.43099410300965,
2022-06-02 06:00:00,64.32226492506561,
2022-06-02 08:00:00,68.2617985451243,
2022-06-02 10:30:00,34.95860653548607,
2022-06-02 11:00:00,45.832034469032806,
2022-06-02 23:59:59,27.35446085950025,c
2022-06-03 00:00:00,27.33336419034913,
2022-06-03 03:30:00,38.14958870506325,
2022-06-03 04:00:00,37.501897306008686,
2022-06-03 06:00:00,41.06648541123468,
2022-06-03 08:00:00,11.678779690219017,
2022-06-03 10:30:00,10.722375969852692,
2022-06-03 11:00:00,1.933812112227315,
2022-06-03 23:59:59,0.0,a
2022-06-06 00:00:00,35.79580139880363,
2022-06-06 03:30:00,15.456077408573947,
2022-06-06 04:00:00,3.3969039964567855,
2022-06-06 06:00:00,19.007065817352668,
2022-06-06 08:00:00,-16.15229330405873,
2022-06-06 10:30:00,12.780349172820934,
2022-06-06 11:00:00,42.72185211715896,
2022-06-06 23:59:59,25.929378318766794,c
2022-06-07 00:00:00,22.48140031568255,
2022-06-07 03:30:00,-5.372680304882124,
2022-06-07 04:00:00,-20.001551905580527,
2022-06-07 06:00:00,-18.716755668855512,
2022-06-07 08:00:00,-51.18900766928073,
2022-06-07 10:30:00,-48.77433411857419,
2022-06-07 11:00:00,-9.15249240715275,
2022-06-07 23:59:59,-41.401315731167415,c
2022-06-08 00:00:00,-22.329100679523435,
2022-06-08 03:30:00,-61.22284427617069,
2022-06-08 04:00:00,-88.66520040082742,
2022-06-08 06:00:00,-119.4872832682031,
2022-06-08 08:00:00,-120.84887132334916,
2022-06-08 10:30:00,-127.24169451404941,
2022-06-08 11:00:00,-130.0657286731821,
2022-06-08 23:59:59,-125.23789041346845,c
2022-06-09 00:00:00,-138.29312603814014,
2022-06-09 03:30:00,-128.89427675638126,
2022-06-09 04:00:00,-115.81959737588022,
2022-06-09 06:00:00,-133.84615833614225,
2022-06-09 08:00:00,-123.30888346060055,
2022-06-09 10:30:00,-230.2733309402911,
2022-06-09 11:00:00,-248.54084708758364,
2022-06-09 23:59:59,-242.13880803693974,c
2022-06-10 00:00:00,-246.106267852967,
2022-06-10 03:30:00,-257.8696807416691,
2022-06-10 04:00:00,-244.21684844499123,
2022-06-10 06:00:00,-235.43792456697247,
2022-06-10 08:00:00,-261.9722076550506,
2022-06-10 10:30:00,-334.3299260160611,
2022-06-10 11:00:00,-290.54710570935094,
2022-06-10 23:59:59,-248.8537057156782,w
2022-06-13 00:00:00,-361.45568765066673,
