date,EU_NAREIT_2023_Q1,meta
2023-02-08 00:00:00,488.76360490514844,
2023-02-08 03:30:00,494.9776319599089,
2023-02-08 04:00:00,501.0451539014282,
2023-02-08 06:00:00,475.586259911106,
2023-02-08 08:00:00,435.34455035734277,
2023-02-08 10:30:00,416.65860756187135,
2023-02-08 11:00:00,396.7493824044534,
2023-02-08 23:59:59,406.16866630678874,c
2023-02-09 00:00:00,434.4134424218637,
2023-02-09 03:30:00,393.653518971679,
2023-02-09 04:00:00,389.84225614693696,
2023-02-09 06:00:00,402.259133322103,
2023-02-09 08:00:00,379.9222367463001,
2023-02-09 10:30:00,356.8624765671732,
2023-02-09 11:00:00,363.27299028277844,
2023-02-09 23:59:59,318.1750317794704,c
2023-02-10 00:00:00,330.7274487224265,
2023-02-10 03:30:00,392.69108672696143,
2023-02-10 04:00:00,334.73058917819003,
2023-02-10 06:00:00,317.2667104755021,
2023-02-10 08:00:00,292.724295987769,
2023-02-10 10:30:00,354.0244631123078,
2023-02-10 11:00:00,331.6063281243305,
2023-02-10 23:59:59,325.9832277011942,w
2023-02-13 00:00:00,291.29345067239706,
2023-02-13 03:30:00,257.26237371489333,
2023-02-13 04:00:00,282.41846505415106,
2023-02-13 06:00:00,368.3214187573524,
2023-02-13 08:00:00,336.92450473730014,
2023-02-13 10:30:00,359.1550155986795,
2023-02-13 11:00:00,360.05969088839925,
2023-02-13 23:59:59,351.28632098369076,c
2023-02-14 00:00:00,410.6413123817083,
2023-02-14 03:30:00,381.01081395255574,
2023-02-14 04:00:00,393.17826746288756,
2023-02-14 06:00:00,432.9564986070577,
2023-02-14 08:00:00,456.9669057761721,
2023-02-14 10:30:00,438.0179112259368,
2023-02-14 11:00:00,404.7791471546477,
2023-02-14 23:59:59,350.85424053264614,c
2023-02-15 00:00:00,363.2744832519804,
2023-02-15 03:30:00,303.95164595601113,
2023-02-15 04:00:00,303.85667878623417,
2023-02-15 06:00:00,361.5709861564271,
2023-02-15 08:00:00,342.98556708446336,
2023-02-15 10:30:00,334.51386470336206,
2023-02-15 11:00:00,406.1397358920083,
2023-02-15 23:59:59,375.49025845984215,c
2023-02-16 00:00:00,297.30344216847584,
2023-02-16 03:30:00,273.89836346331435,
2023-02-16 04:00:00,294.7330590972208,
2023-02-16 06:00:00,256.78529964041854,
2023-02-16 08:00:00,223.86132398343352,
2023-02-16 10:30:00,177.37514346620947,
2023-02-16 11:00:00,198.18401232635256,
2023-02-16 23:59:59,219.84153543095954,c
2023-02-17 00:00:00,194.06712842240427,
2023-02-17 03:30:00,166.35686474167392,
2023-02-17 04:00:00,193.64192391564006,
2023-02-17 06:00:00,187.93445256749533,
2023-02-17 08:00:00,204.00533276323472,
2023-02-17 10:30:00,200.87078302560917,
2023-02-17 11:00:00,183.09406468574343,
2023-02-17 23:59:59,172.662175378445,w
2023-02-20 00:00:00,172.94854716063764,
2023-02-20 03:30:00,201.62375720479827,
2023-02-20 04:00:00,241.3522785894188,
2023-02-20 06:00:00,231.46964327845512,
2023-02-20 08:00:00,171.399085455648,
2023-02-20 10:30:00,176.8284136034788,
2023-02-20 11:00:00,188.15387976551165,
2023-02-20 23:59:59,168.332516942442,c
2023-02-21 00:00:00,154.1117511603495,
2023-02-21 03:30:00,150.21408755392417,
2023-02-21 04:00:00,132.0662091728093,
2023-02-21 06:00:00,161.49896850031746,
2023-02-21 08:00:00,154.31402464977327,
2023-02-21 10:30:00,121.45344588214175,
2023-02-21 11:00:00,140.68637696960263,
2023-02-21 23:59:59,124.89919207834487,c
2023-02-22 00:00:00,134.81017910157948,
2023-02-22 03:30:00,117.57885537625293,
2023-02-22 04:00:00,109.79434274398113,
2023-02-22 06:00:00,102.92545335057662,
2023-02-22 08:00:00,137.7732330444078,
2023-02-22 10:30:00,144.773773720073,
2023-02-22 11:00:00,147.974088325783,
2023-02-22 23:59:59,118.36817858164886,c
2023-02-23 00:00:00,141.24563674672572,
2023-02-23 03:30:00,132.4500608449348,
2023-02-23 04:00:00,152.26700685183073,
2023-02-23 06:00:00,139.4455463104482,
2023-02-23 08:00:00,141.59580262159648,
2023-02-23 10:30:00,180.84296549881378,
2023-02-23 11:00:00,165.88348398277094,
2023-02-23 23:59:59,165.42518412314098,c
2023-02-24 00:00:00,215.39131067978929,
2023-02-24 03:30:00,189.21597153572657,
2023-02-24 04:00:00,166.74499922445125,
2023-02-24 06:00:00,182.08206957449443,
2023-02-24 08:00:00,118.80882097438075,
2023-02-24 10:30:00,83.15110419671828,
2023-02-24 11:00:00,90.88545889229636,
2023-02-24 23:59:59,57.50038483734443,w
2023-02-27 00:00:00,58.558809163502474,
2023-02-27 03:30:00,64.47984925418564,
2023-02-27 04:00:00,67.52760409188477,
2023-02-27 06:00:00,85.31490808437206,
2023-02-27 08:00:00,56.266805728913596,
2023-02-27 10:30:00,87.04468106561603,
2023-02-27 11:00:00,57.46480364037143,
2023-02-27 23:59:59,44.97037851819732,c
2023-02-28 00:00:00,84.8606622959694,
2023-02-28 03:30:00,67.0377701565676,
2023-02-28 04:00:00,92.67995768572223,
2023-02-28 06:00:00,103.57084257720953,
2023-02-28 08:00:00,94.6733950143971,
2023-02-28 10:30:00,75.8414242898175,
2023-02-28 11:00:00,100.28815126730524,
2023-02-28 23:59:59,105.534861955932,c
2023-03-01 00:00:00,52.08745578776643,
2023-03-01 03:30:00,38.79288000396764,
2023-03-01 04:00:00,42.25533791537396,
2023-03-01 06:00:00,17.07294167216378,
2023-03-01 08:00:00,26.295917933905002,
2023-03-01 10:30:00,11.059032044479409,
