date,EU_CGW_2022_Q4,meta
2022-09-30 00:00:00,61.130929026594686,
2022-09-30 03:30:00,78.76993744614742,
2022-09-30 04:00:00,121.6839645510172,
2022-09-30 06:00:00,127.86196363610134,
2022-09-30 08:00:00,71.14938363780175,
2022-09-30 10:30:00,46.69405391187479,
2022-09-30 11:00:00,43.584170489064945,
2022-09-30 23:59:59,54.76572344494116,w
2022-10-03 00:00:00,72.34923515414948,
2022-10-03 03:30:00,36.91109249998408,
2022-10-03 04:00:00,37.02134284676367,
2022-10-03 06:00:00,94.1456651635815,
2022-10-03 08:00:00,79.5403070092757,
2022-10-03 10:30:00,64.4683850019212,
2022-10-03 11:00:00,71.90682320613519,
2022-10-03 23:59:59,63.89586141549535,c
2022-10-04 00:00:00,65.19942546695029,
2022-10-04 03:30:00,54.05943414540502,
2022-10-04 04:00:00,46.74321437417211,
2022-10-04 06:00:00,40.39061260265112,
2022-10-04 08:00:00,9.279771110123647,
2022-10-04 10:30:00,-6.7672981198240905,
2022-10-04 11:00:00,4.001299008458545,
2022-10-04 23:59:59,-3.483154482586542,c
2022-10-05 00:00:00,-6.275763651164198,
2022-10-05 03:30:00,-49.4748054107049,
2022-10-05 04:00:00,-46.21076825836258,
2022-10-05 06:00:00,-78.80557218929766,
2022-10-05 08:00:00,-70.51179161669802,
2022-10-05 10:30:00,-75.457073691098,
2022-10-05 11:00:00,-54.67908233830917,
2022-10-05 23:59:59,-48.55425056690774,c
2022-10-06 00:00:00,-59.66483812593856,
2022-10-06 03:30:00,-66.64879236762636,
2022-10-06 04:00:00,-71.89693825262589,
2022-10-06 06:00:00,-61.7690023996679,
2022-10-06 08:00:00,-92.02070351538964,
2022-10-06 10:30:00,-150.67843578045654,
2022-10-06 11:00:00,-141.47848494548634,
2022-10-06 23:59:59,-135.36727461842952,c
2022-10-07 00:00:00,-127.87487398622966,
2022-10-07 03:30:00,-73.22587094524783,
2022-10-07 04:00:00,-94.8803575432471,
2022-10-07 06:00:00,-83.35073719231877,
2022-10-07 08:00:00,-72.99345289591565,
2022-10-07 10:30:00,-93.30956934911615,
2022-10-07 11:00:00,-79.78812457914819,
2022-10-07 23:59:59,-95.10242237967555,w
2022-10-10 00:00:00,-110.28145926209777,
2022-10-10 03:30:00,-79.8130474058355,
2022-10-10 04:00:00,-98.10110661686599,
2022-10-10 06:00:00,-102.10938854192796,
2022-10-10 08:00:00,-116.57983066035922,
2022-10-10 10:30:00,-146.19928759396544,
2022-10-10 11:00:00,-139.71332757526943,
2022-10-10 23:59:59,-152.38803481307718,c
2022-10-11 00:00:00,-171.03256990267028,
2022-10-11 03:30:00,-161.21806733250924,
2022-10-11 04:00:00,-181.9853878368408,
2022-10-11 06:00:00,-150.74185387025454,
2022-10-11 08:00:00,-134.67220334612853,
2022-10-11 10:30:00,-124.76593753519387,
2022-10-11 11:00:00,-117.83243190948792,
2022-10-11 23:59:59,-145.361987286665,c
2022-10-12 00:00:00,-145.41155718169352,
2022-10-12 03:30:00,-142.05048408947005,
2022-10-12 04:00:00,-185.34314617301106,
2022-10-12 06:00:00,-164.08568988809384,
2022-10-12 08:00:00,-198.3488371799549,
2022-10-12 10:30:00,-164.48798449752167,
2022-10-12 11:00:00,-161.79220700908854,
2022-10-12 23:59:59,-147.05024218664585,c
2022-10-13 00:00:00,-155.63930702590505,
2022-10-13 03:30:00,-151.3480861193657,
2022-10-13 04:00:00,-147.27879700351082,
2022-10-13 06:00:00,-118.59602303153065,
2022-10-13 08:00:00,-77.06397763270479,
2022-10-13 10:30:00,-43.633211789973984,
2022-10-13 11:00:00,-64.05145286549646,
2022-10-13 23:59:59,-61.685757978100355,c
