date,AS_ASX_2022_Q2,meta
2022-04-29 00:00:00,296.3516457685936,
2022-04-29 01:00:00,282.6459618957857,
2022-04-29 02:30:00,282.6459618957857,
2022-04-29 03:00:00,282.6459618957857,
2022-04-29 18:30:00,282.6459618957857,
2022-04-29 20:00:00,282.6459618957857,
2022-04-29 23:00:00,282.6459618957857,
2022-04-29 23:59:59,265.7254062269509,w
2022-05-02 00:00:00,201.47129640690935,
2022-05-02 01:00:00,198.99562133371649,
2022-05-02 02:30:00,198.99562133371649,
2022-05-02 03:00:00,198.99562133371649,
2022-05-02 18:30:00,170.1304085735809,
2022-05-02 20:00:00,169.66868210137898,
2022-05-02 23:00:00,35.52272303104621,
2022-05-02 23:59:59,43.279215720776165,c
2022-05-03 00:00:00,19.90996649291162,
2022-05-03 01:00:00,13.85046464653908,
2022-05-03 02:30:00,13.85046464653908,
2022-05-03 03:00:00,13.85046464653908,
2022-05-03 18:30:00,27.03428310170966,
2022-05-03 20:00:00,27.164398379361955,
2022-05-03 23:00:00,-26.878462272212914,
2022-05-03 23:59:59,-37.92920083936497,c
2022-05-04 00:00:00,-8.351763503538791,
2022-05-04 01:00:00,-13.42802809226987,
2022-05-04 02:30:00,-13.42802809226987,
2022-05-04 03:00:00,-13.42802809226987,
2022-05-04 18:30:00,-17.930045994754664,
2022-05-04 20:00:00,-16.835602146056658,
2022-05-04 23:00:00,121.19825046929577,
2022-05-04 23:59:59,156.05996821840733,c
2022-05-05 00:00:00,179.26835926873468,
2022-05-05 01:00:00,156.83617219269456,
2022-05-05 02:30:00,156.83617219269456,
2022-05-05 03:00:00,156.83617219269456,
2022-05-05 18:30:00,170.6880419851983,
2022-05-05 20:00:00,169.87687517389315,
2022-05-05 23:00:00,280.7026035389275,
2022-05-05 23:59:59,251.00479435772252,c
2022-05-06 00:00:00,155.59453684875405,
2022-05-06 01:00:00,137.495547828423,
2022-05-06 02:30:00,137.495547828423,
2022-05-06 03:00:00,137.495547828423,
2022-05-06 18:30:00,137.495547828423,
2022-05-06 20:00:00,137.495547828423,
2022-05-06 23:00:00,137.495547828423,
2022-05-06 23:59:59,156.68113859228686,w
2022-05-09 00:00:00,151.68274834284261,
2022-05-09 01:00:00,141.06282593989135,
2022-05-09 02:30:00,141.06282593989135,
2022-05-09 03:00:00,141.06282593989135,
2022-05-09 18:30:00,146.67107188546424,
2022-05-09 20:00:00,146.781472932763,
2022-05-09 23:00:00,92.85959203635582,
2022-05-09 23:59:59,136.22602218183806,c
