date,AS_GDXJ_2022_Q1,meta
2022-02-18 00:00:00,-518.3005258757257,
2022-02-18 01:00:00,-523.6522327525672,
2022-02-18 02:30:00,-519.4005355399186,
2022-02-18 03:00:00,-520.4096547940171,
2022-02-18 18:30:00,-520.4096547940171,
2022-02-18 20:00:00,-520.4096547940171,
2022-02-18 23:00:00,-520.4096547940171,
2022-02-18 23:59:59,-545.2183188090021,w
2022-02-21 00:00:00,-480.8509924212958,
2022-02-21 01:00:00,-477.67081420635805,
2022-02-21 02:30:00,-477.6513095519258,
2022-02-21 03:00:00,-476.64825059443865,
2022-02-21 18:30:00,-425.33529172260023,
2022-02-21 20:00:00,-311.7711559712243,
2022-02-21 23:00:00,-310.37057860411005,
2022-02-21 23:59:59,-413.39249511709204,c
2022-02-22 00:00:00,-352.9300070544705,
2022-02-22 01:00:00,-356.11420844953136,
2022-02-22 02:30:00,-345.5608690307563,
2022-02-22 03:00:00,-347.6632512905271,
2022-02-22 18:30:00,-450.4607118478325,
2022-02-22 20:00:00,-382.470779205707,
2022-02-22 23:00:00,-476.5594564386811,
2022-02-22 23:59:59,-512.6621989463856,c
2022-02-23 00:00:00,-531.3011834230292,
2022-02-23 01:00:00,-536.5987410640228,
2022-02-23 02:30:00,-538.8088423972094,
2022-02-23 03:00:00,-538.8281693373829,
2022-02-23 18:30:00,-485.43863201559725,
2022-02-23 20:00:00,-531.89632450321,
2022-02-23 23:00:00,-357.849256222813,
2022-02-23 23:59:59,-317.7681976864478,c
2022-02-24 00:00:00,-287.14443474939617,
2022-02-24 01:00:00,-284.9014075414343,
2022-02-24 02:30:00,-307.47673808776744,
2022-02-24 03:00:00,-307.49650854369975,
2022-02-24 18:30:00,-265.50641439974606,
2022-02-24 20:00:00,-338.5290893431211,
2022-02-24 23:00:00,-410.7207603030038,
2022-02-24 23:59:59,-405.9687344226804,c
2022-02-25 00:00:00,-507.37339030974,
2022-02-25 01:00:00,-526.5943186355671,
2022-02-25 02:30:00,-527.6797863221782,
2022-02-25 03:00:00,-525.5371726877147,
2022-02-25 18:30:00,-525.5371726877147,
2022-02-25 20:00:00,-525.5371726877147,
2022-02-25 23:00:00,-525.5371726877147,
2022-02-25 23:59:59,-559.7173731681833,w
2022-02-28 00:00:00,-462.4321026464331,
2022-02-28 01:00:00,-458.18453192453853,
2022-02-28 02:30:00,-456.127130452036,
2022-02-28 03:00:00,-450.7475647231331,
2022-02-28 18:30:00,-661.7335142898883,
2022-02-28 20:00:00,-513.484742829778,
2022-02-28 23:00:00,-567.3177824310751,
2022-02-28 23:59:59,-526.3344609651886,c
2022-03-01 00:00:00,-556.1815911440863,
2022-03-01 01:00:00,-560.290606105922,
2022-03-01 02:30:00,-549.6026230739099,
2022-03-01 03:00:00,-551.6844003486021,
2022-03-01 18:30:00,-491.48688549931467,
2022-03-01 20:00:00,-503.84829989092395,
2022-03-01 23:00:00,-371.6468249925092,
2022-03-01 23:59:59,-422.8143589655556,c
2022-03-02 00:00:00,-373.41553591894626,
2022-03-02 01:00:00,-391.5741017962937,
2022-03-02 02:30:00,-390.5549085579205,
2022-03-02 03:00:00,-387.34127618811544,
2022-03-02 18:30:00,-310.81244344927654,
2022-03-02 20:00:00,-212.4749895720488,
2022-03-02 23:00:00,-284.6565695854697,
2022-03-02 23:59:59,-323.1905738454898,c
2022-03-03 00:00:00,-397.1764477843044,
2022-03-03 01:00:00,-400.34718082889776,
2022-03-03 02:30:00,-398.15150166416424,
2022-03-03 03:00:00,-398.1755673445987,
2022-03-03 18:30:00,-406.07902129331706,
2022-03-03 20:00:00,-451.55000513404775,
2022-03-03 23:00:00,-407.56996918330515,
2022-03-03 23:59:59,-392.5735250075304,c
2022-03-04 00:00:00,-375.9329210327887,
2022-03-04 01:00:00,-371.5606773634863,
2022-03-04 02:30:00,-378.0464125176404,
2022-03-04 03:00:00,-377.11022729791875,
2022-03-04 18:30:00,-377.11022729791875,
2022-03-04 20:00:00,-377.11022729791875,
2022-03-04 23:00:00,-377.11022729791875,
2022-03-04 23:59:59,-410.3953335340175,w
2022-03-07 00:00:00,-99.4840108419703,
2022-03-07 01:00:00,-89.78960288767303,
2022-03-07 02:30:00,-77.85916276723583,
2022-03-07 03:00:00,-71.42483680455553,
2022-03-07 18:30:00,-131.85546105248977,
2022-03-07 20:00:00,-161.39633793654139,
2022-03-07 23:00:00,-188.62190583174197,
2022-03-07 23:59:59,-256.7154150740007,c
2022-03-08 00:00:00,-172.12404904187315,
2022-03-08 01:00:00,-162.4124372037204,
2022-03-08 02:30:00,-161.55146110838177,
2022-03-08 03:00:00,-148.6600288309528,
2022-03-08 18:30:00,-298.1588440978685,
2022-03-08 20:00:00,-281.0570004505462,
2022-03-08 23:00:00,-209.27187383910132,
2022-03-08 23:59:59,-171.3897375350116,c
2022-03-09 00:00:00,-99.29439958490366,
2022-03-09 01:00:00,-96.14837388218439,
2022-03-09 02:30:00,-94.05693470970255,
2022-03-09 03:00:00,-97.30945118568889,
2022-03-09 18:30:00,-151.60116264659882,
2022-03-09 20:00:00,-154.39967294649068,
2022-03-09 23:00:00,93.06181890574771,
2022-03-09 23:59:59,45.19965280014367,c
2022-03-10 00:00:00,-57.94669912974496,
2022-03-10 01:00:00,-57.99042733138231,
2022-03-10 02:30:00,-61.127737932898526,
2022-03-10 03:00:00,-57.93576610063246,
2022-03-10 18:30:00,-8.528344529897367,
2022-03-10 20:00:00,-52.56137017682522,
2022-03-10 23:00:00,-34.977422752885104,
2022-03-10 23:59:59,-45.95044348195006,c
2022-03-11 00:00:00,-26.546758229660554,
2022-03-11 01:00:00,-22.030218603442336,
2022-03-11 02:30:00,-25.200481766165467,
2022-03-11 03:00:00,-20.900686706479974,
2022-03-11 18:30:00,-20.900686706479974,
2022-03-11 20:00:00,-20.900686706479974,
2022-03-11 23:00:00,-20.900686706479974,
2022-03-11 23:59:59,0.0,a
2022-03-14 00:00:00,105.28629843220733,
2022-03-14 01:00:00,141.49818634787334,
2022-03-14 02:30:00,123.11652258729737,
2022-03-14 03:00:00,113.39743299221482,
2022-03-14 18:30:00,113.39743299221482,
2022-03-14 20:00:00,-50.307461900401904,
2022-03-14 23:00:00,-125.23409412485671,
2022-03-14 23:59:59,-75.06229503665963,c
2022-03-15 00:00:00,-201.9137425069457,
2022-03-15 01:00:00,-193.33866168096574,
2022-03-15 02:30:00,-228.29491009744743,
2022-03-15 03:00:00,-247.93456003769097,
2022-03-15 18:30:00,-247.93456003769097,
2022-03-15 20:00:00,-236.66275309051343,
2022-03-15 23:00:00,-179.8896477268936,
2022-03-15 23:59:59,-169.61316251362223,c
2022-03-16 00:00:00,-106.78560024298531,
2022-03-16 01:00:00,-120.63440729929789,
2022-03-16 02:30:00,-106.35012871400068,
2022-03-16 03:00:00,-103.0624527493328,
2022-03-16 18:30:00,-103.0624527493328,
2022-03-16 20:00:00,-107.46234754314719,
2022-03-16 23:00:00,-199.99219017635733,
2022-03-16 23:59:59,-310.6998736263522,c
2022-03-17 00:00:00,-215.90966260185633,
2022-03-17 01:00:00,-220.96661534254417,
2022-03-17 02:30:00,-224.30586735006364,
2022-03-17 03:00:00,-210.4576633488159,
2022-03-17 18:30:00,-210.4576633488159,
2022-03-17 20:00:00,-220.44559456050956,
2022-03-17 23:00:00,-172.36566915316143,
2022-03-17 23:59:59,-101.55789847857704,c
2022-03-18 00:00:00,-62.842390614152464,
2022-03-18 01:00:00,-207.2486828353667,
2022-03-18 02:30:00,-195.22065935047067,
2022-03-18 03:00:00,-206.94819035337605,
2022-03-18 18:30:00,-206.94819035337605,
2022-03-18 20:00:00,-206.94819035337605,
