date,CRSP_MIG_HEDGED_2020_Q4,meta
2020-10-23 00:00:00,319.7392099614094,
2020-10-23 10:00:00,305.25280935387354,
2020-10-23 10:30:00,298.0195458733856,
2020-10-23 12:00:00,266.3912320371405,
2020-10-23 13:30:00,271.50425899567426,
2020-10-23 15:00:00,264.92230645134,
2020-10-23 15:30:30,264.92230645134,
2020-10-23 23:59:59,260.7086065607499,w
2020-10-26 00:00:00,240.43620885659527,
2020-10-26 10:00:00,259.41279560730607,
2020-10-26 10:30:00,276.06055191634243,
2020-10-26 12:00:00,273.7554605157528,
2020-10-26 13:30:00,270.5576120909517,
2020-10-26 15:00:00,268.08912700924895,
2020-10-26 15:30:30,268.08912700924895,
2020-10-26 23:59:59,283.7057993017561,c
2020-10-27 00:00:00,299.4661238672793,
2020-10-27 10:00:00,313.6883044433166,
2020-10-27 10:30:00,300.96132439727546,
2020-10-27 12:00:00,326.61816027666214,
2020-10-27 13:30:00,341.6571043101376,
2020-10-27 15:00:00,329.86685282909343,
2020-10-27 15:30:30,329.86685282909343,
2020-10-27 23:59:59,330.5625665915817,c
2020-10-28 00:00:00,341.65169551021427,
2020-10-28 10:00:00,324.18406386744323,
2020-10-28 10:30:00,302.22330977747333,
2020-10-28 12:00:00,303.91095579271644,
2020-10-28 13:30:00,284.0894370479182,
2020-10-28 15:00:00,262.4286813692297,
2020-10-28 15:30:30,262.4286813692297,
2020-10-28 23:59:59,232.2811033139801,c
2020-10-29 00:00:00,232.13890244027687,
2020-10-29 10:00:00,246.41602340391205,
2020-10-29 10:30:00,240.12483240172526,
2020-10-29 12:00:00,222.86494761571305,
2020-10-29 13:30:00,225.04415802685253,
2020-10-29 15:00:00,232.74406796520702,
2020-10-29 15:30:30,232.74406796520702,
2020-10-29 23:59:59,228.46781550735489,c
2020-10-30 00:00:00,212.45909740031072,
2020-10-30 10:00:00,242.62626570035138,
2020-10-30 10:30:00,239.25241935585416,
2020-10-30 12:00:00,249.2739249991041,
2020-10-30 13:30:00,235.81304284135763,
2020-10-30 15:00:00,235.22850756219952,
2020-10-30 15:30:30,235.22850756219952,
2020-10-30 23:59:59,237.73907335038461,w
2020-11-02 00:00:00,267.0315745338985,
2020-11-02 10:00:00,252.7883163764002,
2020-11-02 10:30:00,250.561821358143,
2020-11-02 12:00:00,255.37942664495938,
2020-11-02 13:30:00,261.91300073573416,
2020-11-02 15:00:00,259.4779684722614,
2020-11-02 15:30:30,259.4779684722614,
2020-11-02 23:59:59,260.4946388472721,c
2020-11-03 00:00:00,260.19440042073325,
2020-11-03 10:00:00,256.9184900144678,
2020-11-03 10:30:00,270.10609647449576,
2020-11-03 12:00:00,265.80360777080887,
2020-11-03 13:30:00,269.2564176212917,
2020-11-03 15:00:00,265.06569462504353,
2020-11-03 15:30:30,265.06569462504353,
2020-11-03 23:59:59,263.10978637669575,c
2020-11-04 00:00:00,267.5963766818737,
2020-11-04 10:00:00,248.0536918973313,
2020-11-04 10:30:00,250.9713618680272,
2020-11-04 12:00:00,271.03914994026627,
2020-11-04 13:30:00,271.8711738364342,
2020-11-04 15:00:00,264.32503572154417,
2020-11-04 15:30:30,264.32503572154417,
2020-11-04 23:59:59,260.07472409685215,c
2020-11-05 00:00:00,271.3406239638281,
2020-11-05 10:00:00,286.6401659740834,
2020-11-05 10:30:00,292.11770489219657,
2020-11-05 12:00:00,298.62329034467837,
2020-11-05 13:30:00,319.7261056577505,
2020-11-05 15:00:00,329.1166694949252,
2020-11-05 15:30:30,329.1166694949252,
2020-11-05 23:59:59,329.63792436629285,c
2020-11-06 00:00:00,350.1915936244436,
2020-11-06 10:00:00,410.2157659987047,
2020-11-06 10:30:00,406.45909353710624,
2020-11-06 12:00:00,380.6108963999816,
2020-11-06 13:30:00,380.65101033847986,
2020-11-06 15:00:00,401.43520535888524,
2020-11-06 15:30:30,401.43520535888524,
2020-11-06 23:59:59,369.8677675607082,w
2020-11-09 00:00:00,275.9286662309729,
2020-11-09 10:00:00,311.37760651401675,
2020-11-09 10:30:00,303.41734442730126,
2020-11-09 12:00:00,293.44076231048734,
2020-11-09 13:30:00,291.89979721083967,
2020-11-09 15:00:00,281.51532001260534,
2020-11-09 15:30:30,281.51532001260534,x
2020-11-09 23:59:59,303.101399499594,c
2020-11-10 00:00:00,325.50977224504425,
2020-11-10 10:00:00,330.4220121432654,
2020-11-10 10:30:00,304.0129590501549,
2020-11-10 12:00:00,336.3621388123029,
2020-11-10 13:30:00,339.7757959409189,
2020-11-10 15:00:00,359.98086409107293,
2020-11-10 15:30:30,359.98086409107293,
2020-11-10 23:59:59,351.96903110416997,c
2020-11-11 00:00:00,344.3605842027516,
2020-11-11 10:00:00,341.1512802719309,
2020-11-11 10:30:00,345.5122727169294,
2020-11-11 12:00:00,334.2664440363063,
2020-11-11 13:30:00,339.3637231540505,
2020-11-11 15:00:00,331.8058939328125,
2020-11-11 15:30:30,331.8058939328125,
2020-11-11 23:59:59,340.32392982079193,c
2020-11-12 00:00:00,333.6656317637985,
2020-11-12 10:00:00,317.7878840341209,
2020-11-12 10:30:00,319.9731024236344,
2020-11-12 12:00:00,308.7761836921783,
2020-11-12 13:30:00,302.05337804829855,
2020-11-12 15:00:00,323.7408969411056,
2020-11-12 15:30:30,323.7408969411056,
2020-11-12 23:59:59,311.6776234679636,c
2020-11-13 00:00:00,308.9701512977433,
2020-11-13 10:00:00,308.74973120107825,
2020-11-13 10:30:00,296.7687785945109,
2020-11-13 12:00:00,310.5544168573656,
2020-11-13 13:30:00,309.94014779073336,
