date,NDX_HEDGED_2022_Q4,meta
2022-11-04 00:00:00,227.33055261474743,
2022-11-04 10:00:00,237.81333227527702,
2022-11-04 10:30:00,241.9090247030291,
2022-11-04 12:00:00,223.1248119283108,
2022-11-04 13:30:00,206.27884589747524,
2022-11-04 15:00:00,206.329073893755,
2022-11-04 15:30:30,206.329073893755,
2022-11-04 23:59:59,218.77130063189188,w
2022-11-07 00:00:00,223.67076023353806,
2022-11-07 10:00:00,218.65433410662519,
2022-11-07 10:30:00,216.95849097988346,
2022-11-07 12:00:00,207.88322935052886,
2022-11-07 13:30:00,207.1792858520694,
2022-11-07 15:00:00,203.85155108325017,
2022-11-07 15:30:30,203.85155108325017,
2022-11-07 23:59:59,191.49382252764482,c
2022-11-08 00:00:00,190.00691319039365,
2022-11-08 10:00:00,164.39661157595094,
2022-11-08 10:30:00,164.16946373799564,
2022-11-08 12:00:00,155.5858280477173,
2022-11-08 13:30:00,161.15550007297315,
2022-11-08 15:00:00,166.66431790535958,
2022-11-08 15:30:30,166.66431790535958,
2022-11-08 23:59:59,163.08815580070063,c
2022-11-09 00:00:00,168.34173129347033,
2022-11-09 10:00:00,166.5959917967938,
2022-11-09 10:30:00,162.36666453053073,
2022-11-09 12:00:00,154.00091932916018,
2022-11-09 13:30:00,130.19480198645243,
2022-11-09 15:00:00,128.1983167741205,
2022-11-09 15:30:30,128.1983167741205,
2022-11-09 23:59:59,134.54769946993727,c
2022-11-10 00:00:00,159.10688405774482,
2022-11-10 10:00:00,155.0061697400699,
2022-11-10 10:30:00,157.71630072456125,
2022-11-10 12:00:00,182.62348429607556,
2022-11-10 13:30:00,159.46251870126977,
2022-11-10 15:00:00,146.70147004643252,
2022-11-10 15:30:30,146.70147004643252,
2022-11-10 23:59:59,143.61629265733367,c
2022-11-11 00:00:00,155.25403514714404,
2022-11-11 10:00:00,137.8464355655805,
2022-11-11 10:30:00,158.60078307497582,
2022-11-11 12:00:00,147.5452214342149,
2022-11-11 13:30:00,161.28582139021438,
2022-11-11 15:00:00,140.00281814807465,
2022-11-11 15:30:30,140.00281814807465,u
2022-11-11 23:59:59,142.38932463610604,w
2022-11-14 00:00:00,100.85531562128646,
2022-11-14 10:00:00,91.95354643067,
2022-11-14 10:30:00,109.73018659146315,
2022-11-14 12:00:00,100.13186280310842,
2022-11-14 13:30:00,102.82455459324738,
2022-11-14 15:00:00,97.95049919906079,
2022-11-14 15:30:30,97.95049919906079,
2022-11-14 23:59:59,113.83950191615726,c
2022-11-15 00:00:00,99.23886786057547,
2022-11-15 10:00:00,91.75915524950479,
2022-11-15 10:30:00,87.45336933327602,
2022-11-15 12:00:00,87.65841906028403,
2022-11-15 13:30:00,73.24077425575605,
2022-11-15 15:00:00,62.90578615908444,
2022-11-15 15:30:30,62.90578615908444,
2022-11-15 23:59:59,70.70642172682552,c
2022-11-16 00:00:00,74.29399439186753,
2022-11-16 10:00:00,67.14002081664275,
2022-11-16 10:30:00,57.42756115827126,
2022-11-16 12:00:00,90.49298285259385,
2022-11-16 13:30:00,87.08643635607574,
2022-11-16 15:00:00,92.21817397401918,
2022-11-16 15:30:30,92.21817397401918,
2022-11-16 23:59:59,86.14219444663915,c
2022-11-17 00:00:00,80.38368153021004,
2022-11-17 10:00:00,91.60213478391128,
2022-11-17 10:30:00,93.97816217434875,
2022-11-17 12:00:00,99.43338616628111,
2022-11-17 13:30:00,85.87490240952067,
2022-11-17 15:00:00,77.40900010304692,
2022-11-17 15:30:30,77.40900010304692,
2022-11-17 23:59:59,77.0584202093221,c
2022-11-18 00:00:00,67.87709576002813,
2022-11-18 10:00:00,49.60034908505014,
2022-11-18 10:30:00,57.81214299627686,
2022-11-18 12:00:00,47.248921366605146,
2022-11-18 13:30:00,46.028820533320186,
2022-11-18 15:00:00,43.64928310341244,
2022-11-18 15:30:30,43.64928310341244,
2022-11-18 23:59:59,56.83030920860213,w
2022-11-21 00:00:00,51.07821614268286,
2022-11-21 10:00:00,58.83005490206588,
2022-11-21 10:30:00,50.493945639017824,
2022-11-21 12:00:00,39.962499633177686,
2022-11-21 13:30:00,44.66175898774944,
2022-11-21 15:00:00,28.667731470998376,
2022-11-21 15:30:30,28.667731470998376,
2022-11-21 23:59:59,29.086947265146705,c
2022-11-22 00:00:00,37.270526386892186,
2022-11-22 10:00:00,31.485428543496425,
2022-11-22 10:30:00,46.251267328051256,
2022-11-22 12:00:00,29.85312743561923,
2022-11-22 13:30:00,29.641575549182022,
2022-11-22 15:00:00,30.112343417244546,
2022-11-22 15:30:30,30.112343417244546,
2022-11-22 23:59:59,29.11866051644708,c
2022-11-23 00:00:00,38.955761128786975,
2022-11-23 10:00:00,44.62157929375229,
2022-11-23 10:30:00,48.91547632705257,
2022-11-23 12:00:00,55.73006743059608,
2022-11-23 13:30:00,52.55471799622873,
2022-11-23 15:00:00,63.9966543538429,
2022-11-23 15:30:30,63.9966543538429,
2022-11-23 23:59:59,65.88567586788312,c
2022-11-24 00:00:00,65.88567586788312,
2022-11-24 10:00:00,65.88567586788312,
2022-11-24 10:30:00,65.88567586788312,
2022-11-24 12:00:00,65.88567586788312,
2022-11-24 13:30:00,65.88567586788312,
2022-11-24 15:00:00,65.88567586788312,
2022-11-24 15:30:30,65.88567586788312,
2022-11-24 23:59:59,65.88567586788312,c
2022-11-25 00:00:00,86.10162739032043,
2022-11-25 10:00:00,90.25596299699217,
2022-11-25 10:30:00,92.33189820190225,
2022-11-25 12:00:00,85.97421212790928,
2022-11-25 13:30:00,85.97421212790928,
