date,FVD_2022_May,meta
2022-05-30 12:00:00,-42.84915459186368,
2022-05-30 13:30:00,-42.84915459186368,
2022-05-30 15:00:00,-42.84915459186368,
2022-05-30 15:30:30,-42.84915459186368,
2022-05-30 23:59:59,-42.84915459186368,c
2022-05-31 00:00:00,-40.833467356048345,
2022-05-31 10:00:00,-36.37175430584648,
2022-05-31 10:30:00,-36.438766864293825,
2022-05-31 12:00:00,-31.938783685179487,
2022-05-31 13:30:00,-35.44149077600525,
2022-05-31 15:00:00,-29.16957101701928,
2022-05-31 15:30:30,-29.16957101701928,m
2022-05-31 23:59:59,-35.085656696237606,c
2022-06-01 00:00:00,-29.896117752305145,
2022-06-01 10:00:00,-34.81650350221264,
2022-06-01 10:30:00,-33.5626991582011,
2022-06-01 12:00:00,-23.598778231039432,
2022-06-01 13:30:00,-34.36026374007213,
2022-06-01 15:00:00,-34.3825329340533,
2022-06-01 15:30:30,-34.3825329340533,
2022-06-01 23:59:59,-35.06722317459332,c
2022-06-02 00:00:00,-52.29940827822759,
2022-06-02 10:00:00,-57.06748046701273,
2022-06-02 10:30:00,-54.7412593437798,
2022-06-02 12:00:00,-45.493237947020475,
2022-06-02 13:30:00,-54.823455636933545,
2022-06-02 15:00:00,-47.85346600672449,
2022-06-02 15:30:30,-47.85346600672449,
2022-06-02 23:59:59,-53.700344139374124,c
2022-06-03 00:00:00,-51.3827426951982,
2022-06-03 10:00:00,-66.6895233468432,
2022-06-03 10:30:00,-70.19953933914758,
2022-06-03 12:00:00,-64.2537138352618,
2022-06-03 13:30:00,-71.84034500544874,
2022-06-03 15:00:00,-74.98240878425543,
2022-06-03 15:30:30,-74.98240878425543,
2022-06-03 23:59:59,-78.62828591145251,w
2022-06-06 00:00:00,-87.11533831611428,
2022-06-06 10:00:00,-94.37005658394503,
2022-06-06 10:30:00,-92.46786996118271,
2022-06-06 12:00:00,-93.46255930611267,
2022-06-06 13:30:00,-91.87054819354466,
2022-06-06 15:00:00,-92.83102021130867,
2022-06-06 15:30:30,-92.83102021130867,
2022-06-06 23:59:59,-85.30752001068663,c
2022-06-07 00:00:00,-93.68488030682408,
2022-06-07 10:00:00,-91.75488158533267,
2022-06-07 10:30:00,-94.99068175148045,
2022-06-07 12:00:00,-97.51644801942462,
2022-06-07 13:30:00,-102.52662417044394,
2022-06-07 15:00:00,-106.5388588401047,
2022-06-07 15:30:30,-106.5388588401047,u
2022-06-07 23:59:59,-113.4160120074938,c
2022-06-08 00:00:00,-101.81477454576236,
2022-06-08 10:00:00,-112.62888163172715,
2022-06-08 10:30:00,-107.96772456048188,
2022-06-08 12:00:00,-110.61366112532835,
2022-06-08 13:30:00,-108.02609249570673,
2022-06-08 15:00:00,-100.83235511572889,
2022-06-08 15:30:30,-100.83235511572889,
2022-06-08 23:59:59,-102.13152692520714,c
