date,AS_XT_2022_Q4,meta
2022-11-18 00:00:00,-210.77968896422908,
2022-11-18 01:00:00,-231.27334194959258,
2022-11-18 02:30:00,-244.28267784444597,
2022-11-18 03:00:00,-231.08483723053587,
2022-11-18 18:30:00,-231.08483723053587,
2022-11-18 20:00:00,-231.08483723053587,
2022-11-18 23:00:00,-231.08483723053587,
2022-11-18 23:59:59,-230.31223160729178,w
2022-11-21 00:00:00,-241.39005058129305,
2022-11-21 01:00:00,-232.13333680433834,
2022-11-21 02:30:00,-236.580367169473,
2022-11-21 03:00:00,-236.60954843925583,
2022-11-21 18:30:00,-234.70984419485876,
2022-11-21 20:00:00,-257.453536939468,
2022-11-21 23:00:00,-317.81922925888466,
2022-11-21 23:59:59,-319.3243134514237,c
2022-11-22 00:00:00,-325.307452001412,
2022-11-22 01:00:00,-357.1271729082928,
2022-11-22 02:30:00,-373.715401124251,
2022-11-22 03:00:00,-387.4991973224787,
2022-11-22 18:30:00,-375.1550541150318,
2022-11-22 20:00:00,-348.97260068604874,
2022-11-22 23:00:00,-406.43998239778693,
2022-11-22 23:59:59,-406.68923368271317,c
2022-11-23 00:00:00,-424.6926877011283,
2022-11-23 01:00:00,-410.27300273888204,
2022-11-23 02:30:00,-421.36890420897,
2022-11-23 03:00:00,-440.303612660598,
2022-11-23 18:30:00,-437.0543559431849,
2022-11-23 20:00:00,-441.9869244154147,
2022-11-23 23:00:00,-459.1583130716558,
2022-11-23 23:59:59,-465.0950195020919,c
2022-11-24 00:00:00,-457.37379392830735,
2022-11-24 01:00:00,-451.2982275176978,
2022-11-24 02:30:00,-460.0148692769649,
2022-11-24 03:00:00,-454.63160744114384,
2022-11-24 18:30:00,-470.30490464207423,
2022-11-24 20:00:00,-511.13060503504767,
2022-11-24 23:00:00,-531.9981913467641,
2022-11-24 23:59:59,-522.773927732997,c
2022-11-25 00:00:00,-534.911684208947,
2022-11-25 01:00:00,-539.1393988473747,
2022-11-25 02:30:00,-557.2650837715832,
2022-11-25 03:00:00,-559.9833443741913,
2022-11-25 18:30:00,-559.9833443741913,
2022-11-25 20:00:00,-559.9833443741913,
2022-11-25 23:00:00,-559.9833443741913,
2022-11-25 23:59:59,-562.1601820202568,w
2022-11-28 00:00:00,-632.4746240837403,
2022-11-28 01:00:00,-649.8142666168724,
2022-11-28 02:30:00,-635.1289873373598,
2022-11-28 03:00:00,-641.4235528232634,
2022-11-28 18:30:00,-640.6388170997361,
2022-11-28 20:00:00,-642.432736474942,
2022-11-28 23:00:00,-551.2719966029913,
2022-11-28 23:59:59,-546.5393594909124,c
2022-11-29 00:00:00,-531.580664530115,
2022-11-29 01:00:00,-536.3776284706869,
2022-11-29 02:30:00,-529.8886958413586,
2022-11-29 03:00:00,-519.1468667237455,
2022-11-29 18:30:00,-531.6649514577657,
2022-11-29 20:00:00,-522.1443293918815,
2022-11-29 23:00:00,-486.95859381102537,
2022-11-29 23:59:59,-484.7051592910598,c
2022-11-30 00:00:00,-480.6247922566772,
2022-11-30 01:00:00,-460.86143994308986,
2022-11-30 02:30:00,-453.8881344162337,
2022-11-30 03:00:00,-427.52238387287434,
2022-11-30 18:30:00,-390.1548546457261,
2022-11-30 20:00:00,-425.48086199729187,
2022-11-30 23:00:00,-486.2578234965222,
2022-11-30 23:59:59,-487.7365621439685,c
2022-12-01 00:00:00,-369.4504973170142,
2022-12-01 01:00:00,-375.4387797268796,
2022-12-01 02:30:00,-365.71873391292,
2022-12-01 03:00:00,-374.3381942938813,
2022-12-01 18:30:00,-365.89588581107137,
2022-12-01 20:00:00,-341.6593629432846,
2022-12-01 23:00:00,-317.24862578805096,
2022-12-01 23:59:59,-313.6426286051551,c
2022-12-02 00:00:00,-333.38026760265575,
2022-12-02 01:00:00,-314.70720372126607,
2022-12-02 02:30:00,-310.550744550389,
2022-12-02 03:00:00,-311.33646147825175,
2022-12-02 18:30:00,-311.33646147825175,
2022-12-02 20:00:00,-311.33646147825175,
2022-12-02 23:00:00,-311.33646147825175,
2022-12-02 23:59:59,-305.7852880874916,w
2022-12-05 00:00:00,-96.44842479559475,
2022-12-05 01:00:00,-83.66710248991012,
2022-12-05 02:30:00,-74.0554249035722,
2022-12-05 03:00:00,-58.663949253214014,
2022-12-05 18:30:00,-69.66772114726473,
2022-12-05 20:00:00,-82.09662255978492,
