date,KWEB_2022_Q4,meta
2022-11-01 00:00:00,-834.3285485769401,
2022-11-01 10:00:00,-812.8669252646956,
2022-11-01 10:30:00,-788.161384693802,
2022-11-01 12:00:00,-785.0384513766217,
2022-11-01 13:30:00,-765.2340532422007,
2022-11-01 15:00:00,-794.9634333610805,
2022-11-01 15:30:30,-794.9634333610805,
2022-11-01 23:59:59,-816.8967648091422,c
2022-11-02 00:00:00,-889.5259181723218,
2022-11-02 10:00:00,-894.9068039748383,
2022-11-02 10:30:00,-823.9423737115436,
2022-11-02 12:00:00,-846.7514308963815,
2022-11-02 13:30:00,-826.6140063018323,
2022-11-02 15:00:00,-824.1860455370113,
2022-11-02 15:30:30,-824.1860455370113,
2022-11-02 23:59:59,-793.8645597108664,c
2022-11-03 00:00:00,-788.7122796734532,
2022-11-03 10:00:00,-808.820453344632,
2022-11-03 10:30:00,-831.4764554041797,
2022-11-03 12:00:00,-818.2020593550097,
2022-11-03 13:30:00,-782.917850502644,
2022-11-03 15:00:00,-788.5809929387965,
2022-11-03 15:30:30,-788.5809929387965,
2022-11-03 23:59:59,-794.6736470076031,c
2022-11-04 00:00:00,-848.6954238588348,
2022-11-04 10:00:00,-837.9301028911834,
2022-11-04 10:30:00,-887.3843015320396,
2022-11-04 12:00:00,-841.6156377238465,
2022-11-04 13:30:00,-826.3573196532196,
2022-11-04 15:00:00,-843.33858952003,
2022-11-04 15:30:30,-843.33858952003,
2022-11-04 23:59:59,-875.0878569295509,w
2022-11-07 00:00:00,-841.3697485837929,
2022-11-07 10:00:00,-831.8217122554482,
2022-11-07 10:30:00,-887.5575042210346,
2022-11-07 12:00:00,-894.4988101074482,
2022-11-07 13:30:00,-872.6557911451425,
2022-11-07 15:00:00,-848.0141329323303,
2022-11-07 15:30:30,-848.0141329323303,
2022-11-07 23:59:59,-859.1076353551439,c
2022-11-08 00:00:00,-857.3959932444086,
2022-11-08 10:00:00,-836.1729751231317,
2022-11-08 10:30:00,-805.2816958081941,
2022-11-08 12:00:00,-801.375155422132,
2022-11-08 13:30:00,-822.815712958451,
2022-11-08 15:00:00,-814.6747308227211,
2022-11-08 15:30:30,-814.6747308227211,
2022-11-08 23:59:59,-848.9019305642109,c
2022-11-09 00:00:00,-902.3414978271219,
2022-11-09 10:00:00,-840.9803376204737,
2022-11-09 10:30:00,-875.4864790966594,
2022-11-09 12:00:00,-858.1525300445991,
2022-11-09 13:30:00,-809.1135698728029,
2022-11-09 15:00:00,-800.2349861373057,
2022-11-09 15:30:30,-800.2349861373057,
2022-11-09 23:59:59,-842.8404255092277,c
2022-11-10 00:00:00,-836.7252381291969,
2022-11-10 10:00:00,-865.4734287558242,
2022-11-10 10:30:00,-841.3111448793858,
2022-11-10 12:00:00,-865.6100179545404,
2022-11-10 13:30:00,-891.1329575813678,
2022-11-10 15:00:00,-875.1335637049722,
2022-11-10 15:30:30,-875.1335637049722,
