date,CRSP_MICRO_HEDGED_2022_Q4,meta
2022-11-11 15:00:00,27.771155618393095,
2022-11-11 15:30:30,27.771155618393095,u
2022-11-11 23:59:59,95.05497140924854,w
2022-11-14 00:00:00,143.1984646586734,
2022-11-14 10:00:00,123.31180681872502,
2022-11-14 10:30:00,60.51238202532477,
2022-11-14 12:00:00,98.62053562840083,
2022-11-14 13:30:00,9.238841206086363,
2022-11-14 15:00:00,58.98138693309738,
2022-11-14 15:30:30,58.98138693309738,
2022-11-14 23:59:59,178.3472005336098,c
2022-11-15 00:00:00,-8.030397920190808,
2022-11-15 10:00:00,9.177964385411542,
2022-11-15 10:30:00,7.860121911742681,
2022-11-15 12:00:00,55.35318600822211,
2022-11-15 13:30:00,184.60384410571714,
2022-11-15 15:00:00,109.77314061736433,
2022-11-15 15:30:30,109.77314061736433,
2022-11-15 23:59:59,141.14915360774103,c
2022-11-16 00:00:00,170.76985121532744,
2022-11-16 10:00:00,267.2311273528958,
2022-11-16 10:30:00,285.02750496790395,
2022-11-16 12:00:00,279.7953131122922,
2022-11-16 13:30:00,290.04602041278486,
2022-11-16 15:00:00,316.28652058165244,
2022-11-16 15:30:30,316.28652058165244,
2022-11-16 23:59:59,330.50291530235154,c
2022-11-17 00:00:00,453.3648370881365,
2022-11-17 10:00:00,502.3748410076787,
2022-11-17 10:30:00,456.6282802698952,
2022-11-17 12:00:00,451.9758220561762,
2022-11-17 13:30:00,424.09548615875974,
2022-11-17 15:00:00,474.03835846675065,
2022-11-17 15:30:30,474.03835846675065,
2022-11-17 23:59:59,443.0520355567314,c
2022-11-18 00:00:00,323.28922187338503,
2022-11-18 10:00:00,333.3809888347514,
2022-11-18 10:30:00,332.8994954937425,
2022-11-18 12:00:00,373.0722370373096,
2022-11-18 13:30:00,394.4251656097276,
2022-11-18 15:00:00,424.8639418223938,
2022-11-18 15:30:30,424.8639418223938,
2022-11-18 23:59:59,381.2682193083947,w
2022-11-21 00:00:00,428.28731910473107,
2022-11-21 10:00:00,445.1984081474293,
2022-11-21 10:30:00,470.62880318788484,
2022-11-21 12:00:00,514.7805051389096,
2022-11-21 13:30:00,483.77089198312206,
2022-11-21 15:00:00,506.6978111028966,
2022-11-21 15:30:30,506.6978111028966,
2022-11-21 23:59:59,492.55629617507657,c
2022-11-22 00:00:00,449.7849607244134,
2022-11-22 10:00:00,503.50957037371154,
2022-11-22 10:30:00,459.7861202590393,
2022-11-22 12:00:00,464.2792793514982,
2022-11-22 13:30:00,457.33473794093516,
2022-11-22 15:00:00,451.1563505794202,
2022-11-22 15:30:30,451.1563505794202,
2022-11-22 23:59:59,374.3482342614061,c
2022-11-23 00:00:00,380.5180551554986,
2022-11-23 10:00:00,312.609097482642,
2022-11-23 10:30:00,349.89818740911505,
2022-11-23 12:00:00,406.8241456340784,
2022-11-23 13:30:00,383.8089473035361,
2022-11-23 15:00:00,346.56566779627974,
2022-11-23 15:30:30,346.56566779627974,
2022-11-23 23:59:59,365.9100287924866,c
2022-11-24 00:00:00,365.9100287924866,
2022-11-24 10:00:00,365.9100287924866,
2022-11-24 10:30:00,365.9100287924866,
2022-11-24 12:00:00,365.9100287924866,
2022-11-24 13:30:00,365.9100287924866,
2022-11-24 15:00:00,365.9100287924866,
2022-11-24 15:30:30,365.9100287924866,
2022-11-24 23:59:59,365.9100287924866,c
2022-11-25 00:00:00,381.699840097639,
2022-11-25 10:00:00,366.73958787524316,
2022-11-25 10:30:00,341.79460206499607,
2022-11-25 12:00:00,333.73068035619144,
2022-11-25 13:30:00,333.73068035619144,
2022-11-25 15:00:00,333.73068035619144,
2022-11-25 15:30:30,333.73068035619144,
2022-11-25 23:59:59,345.11635161111735,w
2022-11-28 00:00:00,404.1347664418099,
2022-11-28 10:00:00,376.3565177273558,
2022-11-28 10:30:00,391.91005547380155,
2022-11-28 12:00:00,443.44688581320406,
2022-11-28 13:30:00,460.3150859012567,
2022-11-28 15:00:00,513.5595486555012,
2022-11-28 15:30:30,513.5595486555012,
2022-11-28 23:59:59,521.7708692497217,c
2022-11-29 00:00:00,516.9332371463606,
2022-11-29 10:00:00,457.3259299246056,
2022-11-29 10:30:00,424.2100525564492,
2022-11-29 12:00:00,464.9944141766682,
2022-11-29 13:30:00,511.9483376351109,
2022-11-29 15:00:00,496.29586727019705,
2022-11-29 15:30:30,496.29586727019705,
2022-11-29 23:59:59,486.5148834351803,c
2022-11-30 00:00:00,434.61339349033005,
2022-11-30 10:00:00,424.7004970238977,
2022-11-30 10:30:00,435.0415016288098,
2022-11-30 12:00:00,446.24702150986195,
2022-11-30 13:30:00,447.6685724190338,
2022-11-30 15:00:00,246.1015913594092,
2022-11-30 15:30:30,246.1015913594092,m
2022-11-30 23:59:59,141.18210304476452,c
2022-12-01 00:00:00,107.2915014577411,
2022-12-01 10:00:00,115.54193138918708,
2022-12-01 10:30:00,228.5545824769306,
2022-12-01 12:00:00,140.89959530464512,
2022-12-01 13:30:00,200.49201533559608,
2022-12-01 15:00:00,173.61924200740214,
2022-12-01 15:30:30,173.61924200740214,
2022-12-01 23:59:59,174.81123532212223,c
2022-12-02 00:00:00,301.89487183866186,
2022-12-02 10:00:00,194.72936077231316,
2022-12-02 10:30:00,136.7742437500383,
2022-12-02 12:00:00,85.6645692524944,
2022-12-02 13:30:00,114.40340085234857,
2022-12-02 15:00:00,34.16926463735399,
2022-12-02 15:30:30,34.16926463735399,s
2022-12-02 23:59:59,0.0,a
