date,AS_MSCI_MINVOL_2022_Q2,meta
2022-05-05 00:00:00,-141.60879911536836,
2022-05-05 01:00:00,-141.52350703043362,
2022-05-05 02:30:00,-132.99328193514043,
2022-05-05 03:00:00,-132.20303583839313,
2022-05-05 18:30:00,-127.97947080801896,
2022-05-05 20:00:00,-127.87169285445475,
2022-05-05 23:00:00,-83.91154713276228,
2022-05-05 23:59:59,-75.70891972279765,c
2022-05-06 00:00:00,-69.01255670430623,
2022-05-06 01:00:00,-62.46520188493787,
2022-05-06 02:30:00,-63.57057649795706,
2022-05-06 03:00:00,-60.78125407877428,
2022-05-06 18:30:00,-60.78125407877428,
2022-05-06 20:00:00,-60.78125407877428,
2022-05-06 23:00:00,-60.78125407877428,
2022-05-06 23:59:59,-60.47022397718456,w
2022-05-09 00:00:00,-28.19110274790637,
2022-05-09 01:00:00,-25.09269633387771,
2022-05-09 02:30:00,-15.491820076662862,
2022-05-09 03:00:00,-15.294389449548817,
2022-05-09 18:30:00,-14.302009192584364,
2022-05-09 20:00:00,-14.441387191314334,
2022-05-09 23:00:00,-62.03506215493371,
2022-05-09 23:59:59,-55.05830632631796,c
2022-05-10 00:00:00,-41.25183287754203,
2022-05-10 01:00:00,-47.96657820451901,
2022-05-10 02:30:00,-57.38904837429118,
2022-05-10 03:00:00,-61.36900562824326,
2022-05-10 18:30:00,-61.78905540552046,
2022-05-10 20:00:00,-61.67201982319125,
2022-05-10 23:00:00,-76.08688989932443,
2022-05-10 23:59:59,-103.35329810974235,c
2022-05-11 00:00:00,-113.63173136836349,
2022-05-11 01:00:00,-109.10170979891359,
2022-05-11 02:30:00,-95.99282328793993,
2022-05-11 03:00:00,-93.79066628059445,
2022-05-11 18:30:00,-92.8103073580387,
2022-05-11 20:00:00,-92.23710910697514,
2022-05-11 23:00:00,-65.94110952013989,
2022-05-11 23:59:59,-72.51279378379854,c
2022-05-12 00:00:00,-45.91861679066392,
2022-05-12 01:00:00,-47.79535271352688,
2022-05-12 02:30:00,-28.434431809847865,
2022-05-12 03:00:00,-31.540491903605243,
2022-05-12 18:30:00,-30.170341705698092,
2022-05-12 20:00:00,-29.66244844234234,
2022-05-12 23:00:00,-54.07607970132062,
2022-05-12 23:59:59,-43.78780574097232,c
2022-05-13 00:00:00,-65.46278492659872,
2022-05-13 01:00:00,-65.82742808535409,
2022-05-13 02:30:00,-60.036477633103914,
2022-05-13 03:00:00,-62.311258492080015,
2022-05-13 18:30:00,-62.311258492080015,
2022-05-13 20:00:00,-62.311258492080015,
2022-05-13 23:00:00,-62.311258492080015,
2022-05-13 23:59:59,-63.62880985805532,w
2022-05-16 00:00:00,-20.160035182430647,
2022-05-16 01:00:00,-34.22468178534905,
2022-05-16 02:30:00,-30.468041147722715,
2022-05-16 03:00:00,-30.029794707089877,
2022-05-16 18:30:00,-32.13686200482948,
2022-05-16 20:00:00,-31.72465283603924,
2022-05-16 23:00:00,-36.1194904488907,
2022-05-16 23:59:59,-42.186959094762415,c
