date,PAR2_AD_20210518,meta
2020-12-11 00:00:00,-281.3428378664871,
2020-12-11 10:00:00,-293.35686297801124,
2020-12-11 10:30:00,-310.23294927653376,
2020-12-11 12:00:00,-287.3530055230243,
2020-12-11 13:30:00,-295.71780782958206,
2020-12-11 15:00:00,-298.038469418441,
2020-12-11 15:30:30,-298.038469418441,
2020-12-11 23:59:59,-306.950007848098,w
2020-12-14 00:00:00,-318.1600884271799,
2020-12-14 10:00:00,-338.86384334231013,
2020-12-14 10:30:00,-335.48958524873797,
2020-12-14 12:00:00,-331.61410993411164,
2020-12-14 13:30:00,-309.5341335353975,
2020-12-14 15:00:00,-314.45459865172165,
2020-12-14 15:30:30,-314.45459865172165,
2020-12-14 23:59:59,-292.91013305768956,c
2020-12-15 00:00:00,-315.85640685620854,
2020-12-15 10:00:00,-301.103534637971,
2020-12-15 10:30:00,-311.2437776333567,
2020-12-15 12:00:00,-301.29178215819235,
2020-12-15 13:30:00,-319.16804167484884,
2020-12-15 15:00:00,-346.20804608087576,
2020-12-15 15:30:30,-346.20804608087576,
2020-12-15 23:59:59,-341.04521879548435,c
2020-12-16 00:00:00,-329.82279978792974,
2020-12-16 10:00:00,-307.88247196966387,
2020-12-16 10:30:00,-301.18356598152695,
2020-12-16 12:00:00,-300.72547064612604,
2020-12-16 13:30:00,-293.31978436386953,
2020-12-16 15:00:00,-299.8220537173274,
2020-12-16 15:30:30,-299.8220537173274,
2020-12-16 23:59:59,-297.16296363294737,c
2020-12-17 00:00:00,-309.7731809179364,
2020-12-17 10:00:00,-286.3803696453942,
2020-12-17 10:30:00,-296.200083370641,
2020-12-17 12:00:00,-266.7591988709665,
2020-12-17 13:30:00,-268.1018646923369,
2020-12-17 15:00:00,-258.9289461883428,
2020-12-17 15:30:30,-258.9289461883428,
2020-12-17 23:59:59,-263.0035833318469,c
2020-12-18 00:00:00,-276.1730397748341,
2020-12-18 10:00:00,-251.11722160604836,
2020-12-18 10:30:00,-262.3518721687836,
2020-12-18 12:00:00,-256.03204459070497,
2020-12-18 13:30:00,-257.5068823664999,
2020-12-18 15:00:00,-264.7224430486848,
2020-12-18 15:30:30,-264.7224430486848,q
2020-12-18 23:59:59,-249.77503881555663,w
2020-12-21 00:00:00,-209.48383202025556,
2020-12-21 10:00:00,-217.7676084210007,
2020-12-21 10:30:00,-203.20693854471546,
2020-12-21 12:00:00,-193.4193408679784,
2020-12-21 13:30:00,-202.71890238820228,
2020-12-21 15:00:00,-189.6617004357583,
2020-12-21 15:30:30,-189.6617004357583,
2020-12-21 23:59:59,-162.8932877403385,c
2020-12-22 00:00:00,-138.9049172901902,
2020-12-22 10:00:00,-142.22699094704512,
2020-12-22 10:30:00,-147.75549107378419,
2020-12-22 12:00:00,-158.48657697480172,
2020-12-22 13:30:00,-158.96539277513563,
2020-12-22 15:00:00,-148.79835894610994,
2020-12-22 15:30:30,-148.79835894610994,
2020-12-22 23:59:59,-114.43901962633073,c
2020-12-23 00:00:00,-135.06885820846855,
2020-12-23 10:00:00,-148.23026548771333,
2020-12-23 10:30:00,-125.01169971908419,
2020-12-23 12:00:00,-142.65749674659156,
2020-12-23 13:30:00,-143.3715980977429,
2020-12-23 15:00:00,-133.7827520306884,
2020-12-23 15:30:30,-133.7827520306884,
2020-12-23 23:59:59,-148.27051335497063,c
2020-12-24 00:00:00,-148.15824230689375,
2020-12-24 10:00:00,-180.92011008761745,
2020-12-24 10:30:00,-178.11007617887054,
2020-12-24 12:00:00,-180.01224074120688,
2020-12-24 13:30:00,-180.01224074120688,
2020-12-24 15:00:00,-180.01224074120688,
2020-12-24 15:30:30,-180.01224074120688,
2020-12-24 23:59:59,-182.8914040956548,c
2020-12-25 00:00:00,-182.8914040956548,
2020-12-25 10:00:00,-182.8914040956548,
2020-12-25 10:30:00,-182.8914040956548,
2020-12-25 12:00:00,-182.8914040956548,
2020-12-25 13:30:00,-182.8914040956548,
2020-12-25 15:00:00,-182.8914040956548,
2020-12-25 15:30:30,-182.8914040956548,
2020-12-25 23:59:59,-182.8914040956548,w
2020-12-28 00:00:00,-177.40894420992643,
2020-12-28 10:00:00,-146.25764989032996,
