date,SPHQ_2021_Q4,meta
2021-12-10 15:00:00,-4.994532557748244,
2021-12-10 15:30:30,-4.994532557748244,
2021-12-10 23:59:59,0.0,a
2021-12-13 00:00:00,-3.021236536219021,
2021-12-13 10:00:00,78.25080653074701,
2021-12-13 10:30:00,84.69765491758199,
2021-12-13 12:00:00,8.365835782819431,
2021-12-13 13:30:00,55.128541598439824,
2021-12-13 15:00:00,61.87215611540796,
2021-12-13 15:30:30,61.87215611540796,
2021-12-13 23:59:59,68.90465255823756,c
2021-12-14 00:00:00,13.697558457974992,
2021-12-14 10:00:00,14.341406538378578,
2021-12-14 10:30:00,63.322241831444444,
2021-12-14 12:00:00,54.32676926581007,
2021-12-14 13:30:00,60.33905858938988,
2021-12-14 15:00:00,69.59505920095353,
2021-12-14 15:30:30,69.59505920095353,
2021-12-14 23:59:59,86.90115676027062,c
2021-12-15 00:00:00,53.235376191913474,
2021-12-15 10:00:00,107.38759070697233,
2021-12-15 10:30:00,93.85789234491949,
2021-12-15 12:00:00,-5.480502251900361,
2021-12-15 13:30:00,-1.483704100054183,
2021-12-15 15:00:00,12.3476095457886,
2021-12-15 15:30:30,12.3476095457886,
2021-12-15 23:59:59,34.82526689144743,c
2021-12-16 00:00:00,27.910194857731312,
2021-12-16 10:00:00,34.15333715192355,
2021-12-16 10:30:00,49.325145742975565,
2021-12-16 12:00:00,-6.794145406584448,
2021-12-16 13:30:00,-5.113615521584052,
2021-12-16 15:00:00,-2.2198756126467742,
2021-12-16 15:30:30,-2.2198756126467742,
2021-12-16 23:59:59,-11.177338097520533,c
2021-12-17 00:00:00,37.741400613852875,
2021-12-17 10:00:00,53.120350943859194,
2021-12-17 10:30:00,74.3619222626644,
2021-12-17 12:00:00,145.03651648756158,
2021-12-17 13:30:00,190.33293548043457,
2021-12-17 15:00:00,205.5774716006963,
2021-12-17 15:30:30,205.5774716006963,
2021-12-17 23:59:59,228.2998683054875,e
2021-12-20 00:00:00,400.87814032820734,
2021-12-20 10:00:00,259.4996871161493,
2021-12-20 10:30:00,277.29303892426105,
2021-12-20 12:00:00,207.8010667843232,
2021-12-20 13:30:00,166.2808613401994,
2021-12-20 15:00:00,199.86220510704607,
2021-12-20 15:30:30,199.86220510704607,
2021-12-20 23:59:59,159.9315400003493,c
2021-12-21 00:00:00,174.72750483063874,
2021-12-21 10:00:00,81.6111614354786,
2021-12-21 10:30:00,92.51528788606174,
2021-12-21 12:00:00,168.14708541587106,
2021-12-21 13:30:00,175.85180470032947,
2021-12-21 15:00:00,162.53253795454066,
2021-12-21 15:30:30,162.53253795454066,
2021-12-21 23:59:59,146.68231881518705,c
2021-12-22 00:00:00,125.84664432025147,
2021-12-22 10:00:00,72.339597400201,
2021-12-22 10:30:00,71.3710916321188,
2021-12-22 12:00:00,53.382973539975865,
2021-12-22 13:30:00,5.6491864048125535,
2021-12-22 15:00:00,22.705065095658483,
2021-12-22 15:30:30,22.705065095658483,
2021-12-22 23:59:59,25.282230559355867,c
2021-12-23 00:00:00,2.2500898496737136,
2021-12-23 10:00:00,-38.252398825492946,
2021-12-23 10:30:00,-66.82035979007242,
2021-12-23 12:00:00,-19.039523182808807,
2021-12-23 13:30:00,1.3379903601985461,
2021-12-23 15:00:00,4.295700859651788,
2021-12-23 15:30:30,4.295700859651788,
2021-12-23 23:59:59,15.112184020883888,c
2021-12-24 00:00:00,15.112184020883888,
2021-12-24 10:00:00,15.112184020883888,
2021-12-24 10:30:00,15.112184020883888,
2021-12-24 12:00:00,15.112184020883888,
2021-12-24 13:30:00,15.112184020883888,
2021-12-24 15:00:00,15.112184020883888,
2021-12-24 15:30:30,15.112184020883888,
2021-12-24 23:59:59,15.112184020883888,w
2021-12-27 00:00:00,-47.09379709773566,
2021-12-27 10:00:00,-12.238635481592155,
2021-12-27 10:30:00,-9.899123620595674,
2021-12-27 12:00:00,-29.82509725350792,
2021-12-27 13:30:00,-28.163489660023515,
2021-12-27 15:00:00,-21.526916173427708,
2021-12-27 15:30:30,-21.526916173427708,
2021-12-27 23:59:59,-36.74140303490367,c
2021-12-28 00:00:00,-45.1965475700772,
2021-12-28 10:00:00,-6.511558478874576,
2021-12-28 10:30:00,-25.070658548058418,
2021-12-28 12:00:00,-92.17564351120927,
2021-12-28 13:30:00,-97.13912790670247,
2021-12-28 15:00:00,-95.24822057203664,
2021-12-28 15:30:30,-95.24822057203664,
2021-12-28 23:59:59,-84.25359783795784,c
2021-12-29 00:00:00,-101.52690156752078,
2021-12-29 10:00:00,-152.63401930967075,
2021-12-29 10:30:00,-133.2729044722546,
2021-12-29 12:00:00,-97.84902846769683,
2021-12-29 13:30:00,-66.58439212749408,
2021-12-29 15:00:00,-76.46166277714929,
2021-12-29 15:30:30,-76.46166277714929,
2021-12-29 23:59:59,-77.78872469208818,c
2021-12-30 00:00:00,-106.36194994629341,
2021-12-30 10:00:00,-12.704574831449463,
2021-12-30 10:30:00,-31.787067158771606,
2021-12-30 12:00:00,-41.29355029558019,
2021-12-30 13:30:00,-15.12778028939465,
2021-12-30 15:00:00,-21.937641085967698,
2021-12-30 15:30:30,-21.937641085967698,
2021-12-30 23:59:59,-16.90001594872865,c
2021-12-31 00:00:00,-31.988391484630938,
2021-12-31 10:00:00,-18.426027481745678,
2021-12-31 10:30:00,-48.29972727512359,
2021-12-31 12:00:00,33.34966855999755,
2021-12-31 13:30:00,12.865482541801612,
2021-12-31 15:00:00,-6.839160427772185,
2021-12-31 15:30:30,-6.839160427772185,
2021-12-31 23:59:59,-8.555866658287869,w
