date,REGL_2022_Q1,meta
2022-01-03 00:00:00,148.71082793510698,
2022-01-03 10:00:00,145.0980989230984,
2022-01-03 10:30:00,150.46326735698304,
2022-01-03 12:00:00,134.67024972953888,
2022-01-03 13:30:00,149.96273148974203,
2022-01-03 15:00:00,160.80479670227015,
2022-01-03 15:30:30,160.80479670227015,
2022-01-03 23:59:59,145.95539280570915,c
2022-01-04 00:00:00,124.18688034561737,
2022-01-04 10:00:00,158.74035589029964,
2022-01-04 10:30:00,147.25774544969423,
2022-01-04 12:00:00,137.3833358889441,
2022-01-04 13:30:00,152.1108875300589,
2022-01-04 15:00:00,176.95331837098516,
2022-01-04 15:30:30,176.95331837098516,
2022-01-04 23:59:59,183.24744009803638,c
2022-01-05 00:00:00,167.4999306338355,
2022-01-05 10:00:00,187.62999269242906,
2022-01-05 10:30:00,183.8069651491225,
2022-01-05 12:00:00,186.97689753812102,
2022-01-05 13:30:00,189.76309765504928,
2022-01-05 15:00:00,179.54538100146465,
2022-01-05 15:30:30,179.54538100146465,
2022-01-05 23:59:59,171.07999725381856,c
2022-01-06 00:00:00,164.37112880646276,
2022-01-06 10:00:00,141.53189199584864,
2022-01-06 10:30:00,136.95345188988787,
2022-01-06 12:00:00,181.18607062650182,
2022-01-06 13:30:00,173.49613024818555,
2022-01-06 15:00:00,153.80762047514955,
2022-01-06 15:30:30,153.80762047514955,
2022-01-06 23:59:59,146.72238591665564,c
2022-01-07 00:00:00,169.59045933054406,
2022-01-07 10:00:00,183.38590465447376,
2022-01-07 10:30:00,153.2688413975254,
2022-01-07 12:00:00,139.28821136669814,
2022-01-07 13:30:00,140.04311755334118,
2022-01-07 15:00:00,149.5835214104734,
2022-01-07 15:30:30,149.5835214104734,
2022-01-07 23:59:59,158.29829997410522,w
2022-01-10 00:00:00,173.64542362410808,
2022-01-10 10:00:00,155.39886691572306,
2022-01-10 10:30:00,146.98539669754246,
2022-01-10 12:00:00,145.9955053893398,
2022-01-10 13:30:00,152.7541226401266,
2022-01-10 15:00:00,192.2858554309822,
2022-01-10 15:30:30,192.2858554309822,
2022-01-10 23:59:59,203.2758813353212,c
2022-01-11 00:00:00,220.87769430678603,
2022-01-11 10:00:00,227.7109763141377,
2022-01-11 10:30:00,227.84388850349256,
2022-01-11 12:00:00,191.86138496832933,
2022-01-11 13:30:00,181.52757565081308,
2022-01-11 15:00:00,190.8793393055545,
2022-01-11 15:30:30,190.8793393055545,
2022-01-11 23:59:59,179.93425406603916,c
2022-01-12 00:00:00,166.9171995647479,
2022-01-12 10:00:00,133.60479018564263,
2022-01-12 10:30:00,115.98476084136027,
2022-01-12 12:00:00,105.05799136277051,
2022-01-12 13:30:00,152.26716266764322,
2022-01-12 15:00:00,136.10834979372973,
2022-01-12 15:30:30,136.10834979372973,
2022-01-12 23:59:59,134.49112334702426,c
2022-01-13 00:00:00,137.8458427852542,
2022-01-13 10:00:00,117.32817402347126,
2022-01-13 10:30:00,94.77004395836317,
2022-01-13 12:00:00,96.98761597590644,
2022-01-13 13:30:00,100.93156118896552,
2022-01-13 15:00:00,103.03845499419974,
2022-01-13 15:30:30,103.03845499419974,
2022-01-13 23:59:59,84.79702662005633,c
2022-01-14 00:00:00,84.54358880964345,
2022-01-14 10:00:00,82.02469828687943,
2022-01-14 10:30:00,92.7869152769831,
2022-01-14 12:00:00,47.48649589941113,
2022-01-14 13:30:00,9.216817638452426,
2022-01-14 15:00:00,20.817957281297268,
2022-01-14 15:30:30,20.817957281297268,
2022-01-14 23:59:59,17.922091822669586,w
2022-01-17 00:00:00,17.922091822669586,
2022-01-17 10:00:00,17.922091822669586,
2022-01-17 10:30:00,17.922091822669586,
2022-01-17 12:00:00,17.922091822669586,
2022-01-17 13:30:00,17.922091822669586,
2022-01-17 15:00:00,17.922091822669586,
2022-01-17 15:30:30,17.922091822669586,
2022-01-17 23:59:59,17.922091822669586,c
2022-01-18 00:00:00,14.15819376197556,
2022-01-18 10:00:00,39.80964496510856,
2022-01-18 10:30:00,5.048401777629529,
2022-01-18 12:00:00,6.0795186480333285,
2022-01-18 13:30:00,-4.190218300000453,
2022-01-18 15:00:00,1.3116231066342152,
2022-01-18 15:30:30,1.3116231066342152,
2022-01-18 23:59:59,0.12697609232321838,c
2022-01-19 00:00:00,2.3010590378779057,
2022-01-19 10:00:00,17.255221317684587,
2022-01-19 10:30:00,14.153198117746932,
2022-01-19 12:00:00,43.80391893693298,
2022-01-19 13:30:00,33.346320982752204,
2022-01-19 15:00:00,25.34589780647307,
2022-01-19 15:30:30,25.34589780647307,
2022-01-19 23:59:59,18.25625911989229,c
2022-01-20 00:00:00,34.91037159951492,
2022-01-20 10:00:00,41.103444669467635,
2022-01-20 10:30:00,50.11133838269964,
2022-01-20 12:00:00,38.56039895770786,
2022-01-20 13:30:00,41.89090568271923,
2022-01-20 15:00:00,41.74368582856707,
2022-01-20 15:30:30,41.74368582856707,
2022-01-20 23:59:59,27.560450857799626,c
2022-01-21 00:00:00,12.922375587240417,
2022-01-21 10:00:00,-9.161312452270742,
2022-01-21 10:30:00,-23.42759112448588,
2022-01-21 12:00:00,-37.29847874761804,
2022-01-21 13:30:00,-44.88098332243951,
2022-01-21 15:00:00,-32.77671841306867,
2022-01-21 15:30:30,-32.77671841306867,
2022-01-21 23:59:59,-40.754496693899945,w
2022-01-24 00:00:00,-58.5569871065721,
2022-01-24 10:00:00,-69.45749000454069,
2022-01-24 10:30:00,-53.34573479316777,
2022-01-24 12:00:00,-41.620612716349264,
2022-01-24 13:30:00,-20.63351293211604,
