date,EU_MSCI_FACTOR_2022_Q2,meta
2022-04-14 00:00:00,94.58032855546026,
2022-04-14 03:30:00,104.4280888282201,
2022-04-14 04:00:00,97.33976314633583,
2022-04-14 06:00:00,107.0490519417549,
2022-04-14 08:00:00,107.83397899315833,
2022-04-14 10:30:00,113.2706697600247,
2022-04-14 11:00:00,111.12629367852469,
2022-04-14 23:59:59,124.55066115961608,c
2022-04-15 00:00:00,124.55066115961608,
2022-04-15 03:30:00,124.55066115961608,
2022-04-15 04:00:00,124.55066115961608,
2022-04-15 06:00:00,124.55066115961608,
2022-04-15 08:00:00,124.55066115961608,
2022-04-15 10:30:00,124.55066115961608,
2022-04-15 11:00:00,124.55066115961608,
2022-04-15 23:59:59,124.55066115961608,w
2022-04-18 00:00:00,124.38263585660616,
2022-04-18 03:30:00,124.04835908942005,
2022-04-18 04:00:00,124.12946084670602,
2022-04-18 06:00:00,124.49786818644588,
2022-04-18 08:00:00,124.49786818644588,
2022-04-18 10:30:00,124.49786818644588,
2022-04-18 11:00:00,124.49786818644588,
2022-04-18 23:59:59,124.53386391445702,c
2022-04-19 00:00:00,103.29973442698838,
2022-04-19 03:30:00,99.04656319280684,
2022-04-19 04:00:00,106.20106229004023,
2022-04-19 06:00:00,100.54970171340892,
2022-04-19 08:00:00,105.50231678400269,
2022-04-19 10:30:00,117.47952944155031,
2022-04-19 11:00:00,114.9841903542474,
2022-04-19 23:59:59,111.85476140633546,c
2022-04-20 00:00:00,114.51978312583788,
2022-04-20 03:30:00,92.02215738906443,
2022-04-20 04:00:00,84.09018671140029,
2022-04-20 06:00:00,103.37991198862164,
2022-04-20 08:00:00,117.74528608586206,
2022-04-20 10:30:00,119.38874643297231,
2022-04-20 11:00:00,118.27367074584345,
2022-04-20 23:59:59,119.56748915992421,c
2022-04-21 00:00:00,119.17205348811285,
2022-04-21 03:30:00,104.39442949537897,
2022-04-21 04:00:00,110.11381782402805,
2022-04-21 06:00:00,109.0116169204166,
2022-04-21 08:00:00,105.85480496471882,
2022-04-21 10:30:00,102.5370915850931,
2022-04-21 11:00:00,94.46942713340377,
