date,AS_MSCI_EM_HK_STAY_2022_Q3,meta
2022-06-30 00:00:00,239.36929124194614,
2022-06-30 01:00:00,239.36929124194614,
2022-06-30 02:30:00,142.8599325221251,
2022-06-30 03:00:00,159.79016031058143,
2022-06-30 18:30:00,159.79016031058143,
2022-06-30 20:00:00,159.79016031058143,
2022-06-30 23:00:00,159.79016031058143,
2022-06-30 23:59:59,144.36850562654402,c
2022-07-01 00:00:00,144.36850562654402,
2022-07-01 01:00:00,144.36850562654402,
2022-07-01 02:30:00,144.36850562654402,
2022-07-01 03:00:00,144.36850562654402,
2022-07-01 18:30:00,144.36850562654402,
2022-07-01 20:00:00,144.36850562654402,
2022-07-01 23:00:00,144.36850562654402,
2022-07-01 23:59:59,144.36850562654402,w
2022-07-04 00:00:00,293.4127956338891,
2022-07-04 01:00:00,293.4127956338891,
2022-07-04 02:30:00,308.0223702391554,
2022-07-04 03:00:00,331.66224506308777,
2022-07-04 18:30:00,331.66224506308777,
2022-07-04 20:00:00,331.66224506308777,
2022-07-04 23:00:00,245.98982335633326,
2022-07-04 23:59:59,252.82539654898363,c
2022-07-05 00:00:00,258.06573599593054,
2022-07-05 01:00:00,258.06573599593054,
2022-07-05 02:30:00,234.58277369593605,
2022-07-05 03:00:00,249.38713506557718,
2022-07-05 18:30:00,249.38713506557718,
2022-07-05 20:00:00,249.38713506557718,
2022-07-05 23:00:00,248.25341386427073,
2022-07-05 23:59:59,264.30859613734367,c
2022-07-06 00:00:00,224.77523371433097,
2022-07-06 01:00:00,224.77523371433097,
2022-07-06 02:30:00,174.172967908255,
2022-07-06 03:00:00,209.275728100064,
2022-07-06 18:30:00,209.275728100064,
2022-07-06 20:00:00,209.275728100064,
2022-07-06 23:00:00,268.4792504472897,
2022-07-06 23:59:59,271.62930240472565,c
2022-07-07 00:00:00,224.38211256188595,
2022-07-07 01:00:00,224.38211256188595,
2022-07-07 02:30:00,205.37536256480814,
2022-07-07 03:00:00,195.1159186519551,
2022-07-07 18:30:00,195.1159186519551,
2022-07-07 20:00:00,195.1159186519551,
2022-07-07 23:00:00,109.56234822927053,
2022-07-07 23:59:59,114.10627113804696,c
2022-07-08 00:00:00,115.30264021880484,
2022-07-08 01:00:00,115.30264021880484,
2022-07-08 02:30:00,134.01841932409826,
2022-07-08 03:00:00,134.13280701937674,
2022-07-08 18:30:00,134.13280701937674,
2022-07-08 20:00:00,134.13280701937674,
2022-07-08 23:00:00,134.13280701937674,
2022-07-08 23:59:59,128.1307570887593,w
2022-07-11 00:00:00,65.88020958258667,
2022-07-11 01:00:00,65.88020958258667,
2022-07-11 02:30:00,52.95243819291929,
2022-07-11 03:00:00,42.17686003618516,
2022-07-11 18:30:00,42.17686003618516,
2022-07-11 20:00:00,42.17686003618516,
2022-07-11 23:00:00,7.120554789125421,
2022-07-11 23:59:59,-0.8012135928881605,c
2022-07-12 00:00:00,-6.671910394761056,
2022-07-12 01:00:00,-6.671910394761056,
2022-07-12 02:30:00,27.84548901663746,
2022-07-12 03:00:00,28.090763840438825,
2022-07-12 18:30:00,28.090763840438825,
2022-07-12 20:00:00,28.090763840438825,
2022-07-12 23:00:00,134.02380274170704,
2022-07-12 23:59:59,124.50279477947618,c
2022-07-13 00:00:00,156.03695497807243,
2022-07-13 01:00:00,156.03695497807243,
2022-07-13 02:30:00,136.59663323729814,
2022-07-13 03:00:00,147.49595157385852,
2022-07-13 18:30:00,147.49595157385852,
2022-07-13 20:00:00,147.49595157385852,
2022-07-13 23:00:00,205.21742350260757,
2022-07-13 23:59:59,202.17558102469678,c
2022-07-14 00:00:00,233.1925537015776,
2022-07-14 01:00:00,233.1925537015776,
2022-07-14 02:30:00,200.6120726373607,
2022-07-14 03:00:00,211.34961261442152,
2022-07-14 18:30:00,211.34961261442152,
2022-07-14 20:00:00,211.34961261442152,
2022-07-14 23:00:00,220.18669793584633,
2022-07-14 23:59:59,196.5140997396485,c
2022-07-15 00:00:00,192.09207275988882,
2022-07-15 01:00:00,192.09207275988882,
2022-07-15 02:30:00,158.79247143108483,
2022-07-15 03:00:00,192.3330198307163,
2022-07-15 18:30:00,192.3330198307163,
2022-07-15 20:00:00,192.3330198307163,
2022-07-15 23:00:00,192.3330198307163,
2022-07-15 23:59:59,192.42303655633646,w
2022-07-18 00:00:00,299.0877444030356,
2022-07-18 01:00:00,299.0877444030356,
2022-07-18 02:30:00,290.72827077085935,
2022-07-18 03:00:00,280.42987352447955,
2022-07-18 18:30:00,280.42987352447955,
2022-07-18 20:00:00,280.42987352447955,
2022-07-18 23:00:00,233.78475613190153,
2022-07-18 23:59:59,209.57750734682276,c
2022-07-19 00:00:00,236.7440088483424,
2022-07-19 01:00:00,236.7440088483424,
2022-07-19 02:30:00,278.71221116712036,
2022-07-19 03:00:00,277.0153073343895,
2022-07-19 18:30:00,277.0153073343895,
2022-07-19 20:00:00,277.0153073343895,
2022-07-19 23:00:00,290.14234805696964,
2022-07-19 23:59:59,283.80515491255835,c
2022-07-20 00:00:00,310.9334732123971,
2022-07-20 01:00:00,310.9334732123971,
2022-07-20 02:30:00,318.504597728965,
2022-07-20 03:00:00,332.97326391982426,
2022-07-20 18:30:00,332.97326391982426,
2022-07-20 20:00:00,332.97326391982426,
2022-07-20 23:00:00,302.4391015818514,
2022-07-20 23:59:59,316.91885781964834,c
2022-07-21 00:00:00,319.2696255098255,
2022-07-21 01:00:00,319.2696255098255,
2022-07-21 02:30:00,329.2307990069963,
