date,KOMP_2021_Q2,meta
2021-06-11 10:30:00,1.9441866872567743,
2021-06-11 12:00:00,1.1563323547987068,
2021-06-11 13:30:00,11.831053327111675,
2021-06-11 15:00:00,7.226377098396085,
2021-06-11 15:30:30,7.226377098396085,
2021-06-11 23:59:59,0.0,a
2021-06-14 00:00:00,26.808723295069143,
2021-06-14 10:00:00,181.35778983986418,
2021-06-14 10:30:00,248.66062650821195,
2021-06-14 12:00:00,289.46822475291367,
2021-06-14 13:30:00,268.98072612811757,
2021-06-14 15:00:00,267.1493376394035,
2021-06-14 15:30:30,267.1493376394035,
2021-06-14 23:59:59,248.8770390917169,c
2021-06-15 00:00:00,252.5154935799986,
2021-06-15 10:00:00,274.676763637725,
2021-06-15 10:30:00,237.83322997638024,
2021-06-15 12:00:00,287.45340209283165,
2021-06-15 13:30:00,302.8352706730367,
2021-06-15 15:00:00,331.0617406614076,
2021-06-15 15:30:30,331.0617406614076,
2021-06-15 23:59:59,317.98544860488335,c
2021-06-16 00:00:00,316.23294555159714,
2021-06-16 10:00:00,344.34019765930736,
2021-06-16 10:30:00,355.28467074974685,
2021-06-16 12:00:00,372.2442946792379,
2021-06-16 13:30:00,363.01035724194287,
2021-06-16 15:00:00,395.8653170437859,
2021-06-16 15:30:30,395.8653170437859,
2021-06-16 23:59:59,388.70330552638075,c
2021-06-17 00:00:00,378.7527852569734,
2021-06-17 10:00:00,487.2899264421425,
2021-06-17 10:30:00,494.87206241986064,
2021-06-17 12:00:00,503.22258798885275,
2021-06-17 13:30:00,497.3746469534293,
2021-06-17 15:00:00,499.01329164248693,
2021-06-17 15:30:30,499.01329164248693,
2021-06-17 23:59:59,487.7503418043327,c
2021-06-18 00:00:00,509.7417253706768,
2021-06-18 10:00:00,535.4488721021071,
2021-06-18 10:30:00,543.3320564847822,
2021-06-18 12:00:00,562.0960334989708,
2021-06-18 13:30:00,553.9749479833624,
2021-06-18 15:00:00,509.9048735006238,
2021-06-18 15:30:30,509.9048735006238,
2021-06-18 23:59:59,510.96490134998817,e
2021-06-21 00:00:00,493.7931306334948,
2021-06-21 10:00:00,416.36959548117784,
2021-06-21 10:30:00,402.2530841592892,
2021-06-21 12:00:00,370.5466106547249,
2021-06-21 13:30:00,369.96898401555586,
2021-06-21 15:00:00,352.58350576785494,
2021-06-21 15:30:30,352.58350576785494,
2021-06-21 23:59:59,344.29515951130236,c
2021-06-22 00:00:00,333.1342319095917,
2021-06-22 10:00:00,293.20002825456424,
2021-06-22 10:30:00,270.4612893056934,
2021-06-22 12:00:00,273.0808034254218,
2021-06-22 13:30:00,280.629325506726,
2021-06-22 15:00:00,288.0836932231123,
2021-06-22 15:30:30,288.0836932231123,
2021-06-22 23:59:59,283.95840838402717,c
2021-06-23 00:00:00,302.2960720483901,
2021-06-23 10:00:00,298.46830584596216,
2021-06-23 10:30:00,285.47240228646524,
2021-06-23 12:00:00,269.0159532308477,
2021-06-23 13:30:00,269.1057821050373,
2021-06-23 15:00:00,265.5948285894717,
2021-06-23 15:30:30,265.5948285894717,
2021-06-23 23:59:59,271.7815609778985,c
2021-06-24 00:00:00,278.67627977775055,
2021-06-24 10:00:00,289.29488230426887,
2021-06-24 10:30:00,262.7936198288644,
2021-06-24 12:00:00,243.39130770019872,
2021-06-24 13:30:00,227.6375382574773,
2021-06-24 15:00:00,207.17846598155566,
2021-06-24 15:30:30,207.17846598155566,
2021-06-24 23:59:59,208.06086952673164,c
2021-06-25 00:00:00,212.54379091954578,
2021-06-25 10:00:00,182.98337054996964,
2021-06-25 10:30:00,181.5501478997517,
2021-06-25 12:00:00,177.67288408459044,
2021-06-25 13:30:00,155.7125387839582,
2021-06-25 15:00:00,173.46993149492604,
2021-06-25 15:30:30,173.46993149492604,
2021-06-25 23:59:59,181.89310410582263,w
2021-06-28 00:00:00,197.50043011143228,
2021-06-28 10:00:00,174.14783901812862,
2021-06-28 10:30:00,185.0576150378063,
2021-06-28 12:00:00,153.15607499859166,
2021-06-28 13:30:00,145.51426824956084,
2021-06-28 15:00:00,144.57719486527068,
2021-06-28 15:30:30,144.57719486527068,
2021-06-28 23:59:59,154.8127373689534,c
2021-06-29 00:00:00,149.35419184173745,
2021-06-29 10:00:00,121.74892220586494,
2021-06-29 10:30:00,108.02168848553421,
2021-06-29 12:00:00,97.88255053547994,
2021-06-29 13:30:00,120.73860623829884,
2021-06-29 15:00:00,122.92945783348026,
2021-06-29 15:30:30,122.92945783348026,
2021-06-29 23:59:59,126.89071894145255,c
2021-06-30 00:00:00,134.905673428367,
2021-06-30 10:00:00,121.33610908289924,
2021-06-30 10:30:00,120.88698450550251,
2021-06-30 12:00:00,106.89496643111505,
2021-06-30 13:30:00,100.22823385467484,
2021-06-30 15:00:00,97.81954153370256,
2021-06-30 15:30:30,97.81954153370256,
2021-06-30 23:59:59,101.63279360342426,c
2021-07-01 00:00:00,98.04074427947882,
2021-07-01 10:00:00,77.94374811475976,
2021-07-01 10:30:00,74.20850344610722,
2021-07-01 12:00:00,51.51445593121949,
2021-07-01 13:30:00,26.38373327371923,
2021-07-01 15:00:00,19.100221146221486,
2021-07-01 15:30:30,19.100221146221486,
2021-07-01 23:59:59,27.511521832218847,c
2021-07-02 00:00:00,20.854093844222945,
2021-07-02 10:00:00,-8.793702982668322,
2021-07-02 10:30:00,-26.366668393096163,
2021-07-02 12:00:00,-20.790926410672654,
2021-07-02 13:30:00,-8.324968135145639,
2021-07-02 15:00:00,-13.59136003730842,
2021-07-02 15:30:30,-13.59136003730842,
2021-07-02 23:59:59,-20.673380211428395,w
