date,DVY_HEDGED_2023_Q1,meta
2023-02-10 00:00:00,2.599617790207162,
2023-02-10 10:00:00,4.272491085758162,
2023-02-10 10:30:00,12.153773918538974,
2023-02-10 12:00:00,9.195290993601333,
2023-02-10 13:30:00,10.326720907892565,
2023-02-10 15:00:00,10.541362493365597,
2023-02-10 15:30:30,10.541362493365597,
2023-02-10 23:59:59,10.705916405622276,w
2023-02-13 00:00:00,9.400108139477851,
2023-02-13 10:00:00,3.709961567371863,
2023-02-13 10:30:00,6.577874367704709,
2023-02-13 12:00:00,-2.969818857976975,
2023-02-13 13:30:00,-2.8478820229906034,
2023-02-13 15:00:00,-10.800376847813254,
2023-02-13 15:30:30,-10.800376847813254,
2023-02-13 23:59:59,-12.36228107431046,c
2023-02-14 00:00:00,-9.996586590012214,
2023-02-14 10:00:00,-5.9230430438006465,
2023-02-14 10:30:00,-2.9779829962725444,
2023-02-14 12:00:00,-2.653649040028256,
2023-02-14 13:30:00,-9.159549974449106,
2023-02-14 15:00:00,-6.648792225836985,
2023-02-14 15:30:30,-6.648792225836985,
2023-02-14 23:59:59,-1.492893235596597,c
2023-02-15 00:00:00,-2.5192918525190464,
2023-02-15 10:00:00,2.173101629622977,
2023-02-15 10:30:00,-1.2205328853159187,
2023-02-15 12:00:00,9.226887811008993,
2023-02-15 13:30:00,15.76705726993282,
2023-02-15 15:00:00,11.90902874870622,
2023-02-15 15:30:30,11.90902874870622,
2023-02-15 23:59:59,11.004408168127952,c
2023-02-16 00:00:00,-9.924700235785934,
2023-02-16 10:00:00,-0.29605984918535455,
2023-02-16 10:30:00,1.8488729078554513,
2023-02-16 12:00:00,4.389411026924989,
2023-02-16 13:30:00,6.083105216356444,
2023-02-16 15:00:00,6.171363725008291,
2023-02-16 15:30:30,6.171363725008291,
2023-02-16 23:59:59,9.094590431783757,c
2023-02-17 00:00:00,10.474558793584947,
2023-02-17 10:00:00,21.22900172354875,
2023-02-17 10:30:00,18.503422208721446,
2023-02-17 12:00:00,8.305639287968688,
2023-02-17 13:30:00,11.793544724666845,
2023-02-17 15:00:00,5.554522614841773,
2023-02-17 15:30:30,5.554522614841773,
2023-02-17 23:59:59,11.323038627239384,w
2023-02-20 00:00:00,11.323038627239384,
2023-02-20 10:00:00,11.323038627239384,
2023-02-20 10:30:00,11.323038627239384,
2023-02-20 12:00:00,11.323038627239384,
2023-02-20 13:30:00,11.323038627239384,
2023-02-20 15:00:00,11.323038627239384,
2023-02-20 15:30:30,11.323038627239384,
2023-02-20 23:59:59,11.323038627239384,c
2023-02-21 00:00:00,2.597121521333122,
2023-02-21 10:00:00,-17.025626025178184,
2023-02-21 10:30:00,-0.06322192029361418,
2023-02-21 12:00:00,1.7852396963290573,
2023-02-21 13:30:00,-3.136715988060928,
2023-02-21 15:00:00,-5.402936303025854,
2023-02-21 15:30:30,-5.402936303025854,
2023-02-21 23:59:59,2.5069498474265117,c
2023-02-22 00:00:00,-2.2731288968186902,
2023-02-22 10:00:00,-6.649254009693806,
2023-02-22 10:30:00,-5.48657131544104,
2023-02-22 12:00:00,-6.91673460368051,
2023-02-22 13:30:00,-8.47448834494773,
2023-02-22 15:00:00,-6.470601358363012,
2023-02-22 15:30:30,-6.470601358363012,
2023-02-22 23:59:59,-2.9457596427464523,c
2023-02-23 00:00:00,-2.50784990210542,
2023-02-23 10:00:00,2.5452052105305256,
2023-02-23 10:30:00,0.5040019044013491,
2023-02-23 12:00:00,0.18998034449015222,
2023-02-23 13:30:00,4.77111923992274,
2023-02-23 15:00:00,-3.981749200876976,
