date,YYY_2021_Q3,meta
2021-07-02 00:00:00,-4.661512844809415,
2021-07-02 10:00:00,-0.8262711271303322,
2021-07-02 10:30:00,3.192315932319744,
2021-07-02 12:00:00,6.826808328927516,
2021-07-02 13:30:00,6.730794376402885,
2021-07-02 15:00:00,11.421941815480919,
2021-07-02 15:30:30,11.421941815480919,
2021-07-02 23:59:59,5.98044293903196,w
2021-07-05 00:00:00,5.98044293903196,
2021-07-05 10:00:00,5.98044293903196,
2021-07-05 10:30:00,5.98044293903196,
2021-07-05 12:00:00,5.98044293903196,
2021-07-05 13:30:00,5.98044293903196,
2021-07-05 15:00:00,5.98044293903196,
2021-07-05 15:30:30,5.98044293903196,
2021-07-05 23:59:59,5.98044293903196,c
2021-07-06 00:00:00,7.642780805495022,
2021-07-06 10:00:00,15.226817906259614,
2021-07-06 10:30:00,14.590111822887193,
2021-07-06 12:00:00,17.23702615686141,
2021-07-06 13:30:00,15.288387951735979,
2021-07-06 15:00:00,14.58008742713609,
2021-07-06 15:30:30,14.58008742713609,
2021-07-06 23:59:59,11.801524328563138,c
2021-07-07 00:00:00,13.618514238221392,
2021-07-07 10:00:00,6.236891243794892,
2021-07-07 10:30:00,11.125708277863223,
2021-07-07 12:00:00,13.292660477728466,
2021-07-07 13:30:00,14.268833935129363,
2021-07-07 15:00:00,14.870475132408961,
2021-07-07 15:30:30,14.870475132408961,
2021-07-07 23:59:59,17.448976942183187,c
2021-07-08 00:00:00,6.5474435344381305,
2021-07-08 10:00:00,13.79773524544427,
2021-07-08 10:30:00,19.611767476533018,
2021-07-08 12:00:00,20.53159607534336,
2021-07-08 13:30:00,16.60368999801588,
2021-07-08 15:00:00,9.403914631684877,
2021-07-08 15:30:30,9.403914631684877,
2021-07-08 23:59:59,12.830674309619164,c
2021-07-09 00:00:00,13.73904973252539,
2021-07-09 10:00:00,0.5154545877285068,
2021-07-09 10:30:00,1.3868436463659846,
2021-07-09 12:00:00,0.6449223262526811,
2021-07-09 13:30:00,8.221654310182881,
2021-07-09 15:00:00,7.545112509274778,
2021-07-09 15:30:30,7.545112509274778,
2021-07-09 23:59:59,0.0,a
2021-07-12 00:00:00,3.1795106284118297,
2021-07-12 10:00:00,85.23756359188724,
