date,EU_HTWO_2022_Q2,meta
2022-04-29 00:00:00,300.018951210295,
2022-04-29 03:30:00,361.3443243613906,
2022-04-29 04:00:00,380.88422948945345,
2022-04-29 06:00:00,333.24982313769624,
2022-04-29 08:00:00,335.1083660548536,
2022-04-29 10:30:00,480.46755245523946,
2022-04-29 11:00:00,427.89442350236277,
2022-04-29 23:59:59,402.94595151423255,w
2022-05-02 00:00:00,401.1865772809979,
2022-05-02 03:30:00,370.23791355710273,
2022-05-02 04:00:00,326.2153874921496,
2022-05-02 06:00:00,375.8862792522634,
2022-05-02 08:00:00,379.45740213707586,
2022-05-02 10:30:00,371.6727930253717,
2022-05-02 11:00:00,370.4412500996227,
2022-05-02 23:59:59,350.31031957316327,c
2022-05-03 00:00:00,297.089255465022,
2022-05-03 03:30:00,243.79673332861103,
2022-05-03 04:00:00,227.37052233499685,
2022-05-03 06:00:00,204.20331489206615,
2022-05-03 08:00:00,215.6703370401608,
2022-05-03 10:30:00,171.58845966908257,
2022-05-03 11:00:00,172.44707835991449,
2022-05-03 23:59:59,160.91926408288145,c
2022-05-04 00:00:00,121.68475349439245,
2022-05-04 03:30:00,191.41964641376967,
2022-05-04 04:00:00,174.3034297467202,
2022-05-04 06:00:00,159.77399523652093,
2022-05-04 08:00:00,170.5246774269217,
2022-05-04 10:30:00,123.26710150572194,
2022-05-04 11:00:00,126.36273998043066,
2022-05-04 23:59:59,132.0674788155227,c
2022-05-05 00:00:00,126.49657519844686,
2022-05-05 03:30:00,177.55867938067786,
2022-05-05 04:00:00,194.60938922758578,
2022-05-05 06:00:00,240.67618066657883,
2022-05-05 08:00:00,196.04669749220034,
2022-05-05 10:30:00,236.86052835828878,
2022-05-05 11:00:00,243.35029849301782,
2022-05-05 23:59:59,261.1940047545311,c
2022-05-06 00:00:00,225.74025891421252,
2022-05-06 03:30:00,195.97614661376588,
2022-05-06 04:00:00,169.2952738766819,
2022-05-06 06:00:00,73.64842072757028,
2022-05-06 08:00:00,126.784423633904,
2022-05-06 10:30:00,73.03453528770501,
2022-05-06 11:00:00,57.17159230343577,
2022-05-06 23:59:59,103.30227002196466,w
2022-05-09 00:00:00,85.63070059099732,
2022-05-09 03:30:00,78.59435486079587,
2022-05-09 04:00:00,110.98655939073342,
2022-05-09 06:00:00,142.92469172934398,
2022-05-09 08:00:00,152.29378008267304,
2022-05-09 10:30:00,96.69670285109078,
2022-05-09 11:00:00,67.62299843952383,
2022-05-09 23:59:59,71.94393988126353,c
2022-05-10 00:00:00,63.57748990436767,
2022-05-10 03:30:00,74.12953321589112,
2022-05-10 04:00:00,54.13115428118181,
2022-05-10 06:00:00,-18.416440188676006,
2022-05-10 08:00:00,15.290990030126295,
2022-05-10 10:30:00,42.943562476113584,
2022-05-10 11:00:00,16.81600130953734,
2022-05-10 23:59:59,26.433691323083394,c
2022-05-11 00:00:00,-67.59563707564303,
2022-05-11 03:30:00,-49.77089514403792,
2022-05-11 04:00:00,-16.619570619605838,
2022-05-11 06:00:00,42.074491622628784,
