date,AS_MSCI_DM_SC_ALL_2021_Q4,meta
2021-09-30 00:00:00,-89.01108536998072,
2021-09-30 01:00:00,-93.90513721671869,
2021-09-30 02:30:00,-86.14738450577624,
2021-09-30 03:00:00,-90.332919545815,
2021-09-30 18:30:00,-90.332919545815,
2021-09-30 20:00:00,-90.332919545815,
2021-09-30 23:00:00,-125.79444546812783,
2021-09-30 23:59:59,-119.78977340935671,c
2021-10-01 00:00:00,-111.054343963051,
2021-10-01 01:00:00,-123.69199086640765,
2021-10-01 02:30:00,-129.09196773016993,
2021-10-01 03:00:00,-128.59324935728682,
2021-10-01 18:30:00,-128.59324935728682,
2021-10-01 20:00:00,-128.59324935728682,
2021-10-01 23:00:00,-128.59324935728682,
2021-10-01 23:59:59,-126.50342793821483,w
2021-10-04 00:00:00,-175.66748551469937,
2021-10-04 01:00:00,-176.76436038799284,
2021-10-04 02:30:00,-195.26936049866936,
2021-10-04 03:00:00,-192.11799411847642,
2021-10-04 18:30:00,-192.11799411847642,
2021-10-04 20:00:00,-208.48207994660652,
2021-10-04 23:00:00,-208.55289530631808,
2021-10-04 23:59:59,-200.9458796436188,c
2021-10-05 00:00:00,-200.45997478352365,
2021-10-05 01:00:00,-201.56783100311486,
2021-10-05 02:30:00,-199.18501119904204,
2021-10-05 03:00:00,-196.43921970687416,
2021-10-05 18:30:00,-196.43921970687416,
2021-10-05 20:00:00,-190.10149952141046,
2021-10-05 23:00:00,-255.83354020796787,
2021-10-05 23:59:59,-260.8999140845008,c
2021-10-06 00:00:00,-261.5568733559562,
2021-10-06 01:00:00,-264.42745296069734,
2021-10-06 02:30:00,-264.767567305621,
2021-10-06 03:00:00,-261.97000021333406,
2021-10-06 18:30:00,-261.97000021333406,
2021-10-06 20:00:00,-258.400205383914,
2021-10-06 23:00:00,-248.74278507755344,
2021-10-06 23:59:59,-248.60985137597754,c
2021-10-07 00:00:00,-243.36511888759833,
2021-10-07 01:00:00,-242.70221207739678,
2021-10-07 02:30:00,-235.327119990975,
2021-10-07 03:00:00,-228.38290426726007,
2021-10-07 18:30:00,-228.38290426726007,
2021-10-07 20:00:00,-241.29200171884986,
2021-10-07 23:00:00,-238.64464759964267,
2021-10-07 23:59:59,-238.75453708258965,c
2021-10-08 00:00:00,-240.87391448524932,
2021-10-08 01:00:00,-233.60554861043784,
2021-10-08 02:30:00,-219.2147108058739,
2021-10-08 03:00:00,-215.61594902130628,
2021-10-08 18:30:00,-215.61594902130628,
2021-10-08 20:00:00,-215.61594902130628,
2021-10-08 23:00:00,-215.61594902130628,
2021-10-08 23:59:59,-218.18913889955184,w
2021-10-11 00:00:00,-214.52116721128505,
2021-10-11 01:00:00,-219.96525100811232,
2021-10-11 02:30:00,-216.58631824083523,
2021-10-11 03:00:00,-209.42903699506542,
2021-10-11 18:30:00,-209.42903699506542,
2021-10-11 20:00:00,-223.13395760466165,
2021-10-11 23:00:00,-220.04544956842255,
2021-10-11 23:59:59,-213.9820731823097,c
2021-10-12 00:00:00,-207.4856280404383,
2021-10-12 01:00:00,-209.99494200985873,
2021-10-12 02:30:00,-219.55010597370392,
2021-10-12 03:00:00,-213.29173544742707,
2021-10-12 18:30:00,-213.29173544742707,
2021-10-12 20:00:00,-208.9366436122973,
2021-10-12 23:00:00,-184.85363999804713,
2021-10-12 23:59:59,-167.86699073202317,c
2021-10-13 00:00:00,-178.93142672079603,
2021-10-13 01:00:00,-180.16269960412137,
2021-10-13 02:30:00,-176.8810113507111,
2021-10-13 03:00:00,-176.60140363221353,
2021-10-13 18:30:00,-176.60140363221353,
2021-10-13 20:00:00,-173.15321965905923,
2021-10-13 23:00:00,-138.63748429492352,
2021-10-13 23:59:59,-158.7008093116301,c
2021-10-14 00:00:00,-162.77119862732252,
2021-10-14 01:00:00,-160.78556036314058,
2021-10-14 02:30:00,-159.15598463291644,
2021-10-14 03:00:00,-158.5146591408561,
2021-10-14 18:30:00,-158.5146591408561,
2021-10-14 20:00:00,-192.4644712134209,
2021-10-14 23:00:00,-193.59400985575394,
2021-10-14 23:59:59,-207.9145234155758,c
2021-10-15 00:00:00,-220.7204379756572,
2021-10-15 01:00:00,-212.3044172815744,
2021-10-15 02:30:00,-222.3719446043242,
2021-10-15 03:00:00,-226.84843304139804,
2021-10-15 18:30:00,-226.84843304139804,
2021-10-15 20:00:00,-226.84843304139804,
2021-10-15 23:00:00,-226.84843304139804,
2021-10-15 23:59:59,-202.80219191477545,w
2021-10-18 00:00:00,-214.9022374173578,
2021-10-18 01:00:00,-217.46693792476162,
2021-10-18 02:30:00,-203.57454468928836,
2021-10-18 03:00:00,-207.02178643877323,
2021-10-18 18:30:00,-207.02178643877323,
2021-10-18 20:00:00,-188.44814372785095,
2021-10-18 23:00:00,-217.32625784577112,
2021-10-18 23:59:59,-210.4347560054075,c
2021-10-19 00:00:00,-210.56803051061888,
2021-10-19 01:00:00,-208.16308163563735,
2021-10-19 02:30:00,-197.20064020924065,
2021-10-19 03:00:00,-201.18777851884397,
2021-10-19 18:30:00,-201.18777851884397,
2021-10-19 20:00:00,-209.1888811837407,
