date,AS_MSCI_VALUE_2022_Q2,meta
2022-04-14 00:00:00,-49.28021586965315,
2022-04-14 01:00:00,-39.470732902660984,
2022-04-14 02:30:00,-37.17905381726291,
2022-04-14 03:00:00,-36.215327160768084,
2022-04-14 18:30:00,-36.215327160768084,
2022-04-14 20:00:00,-36.215327160768084,
2022-04-14 23:00:00,-36.215327160768084,
2022-04-14 23:59:59,-38.24197272216111,c
2022-04-15 00:00:00,-30.197625971950174,
2022-04-15 01:00:00,-26.553215555072484,
2022-04-15 02:30:00,-26.553215555072484,
2022-04-15 03:00:00,-26.553215555072484,
2022-04-15 18:30:00,-26.553215555072484,
2022-04-15 20:00:00,-26.553215555072484,
2022-04-15 23:00:00,-26.553215555072484,
2022-04-15 23:59:59,-24.636434315375254,w
2022-04-18 00:00:00,6.380443061611686,
2022-04-18 01:00:00,8.18866064923077,
2022-04-18 02:30:00,2.37256959497131,
2022-04-18 03:00:00,2.211317036221544,
2022-04-18 18:30:00,2.211317036221544,
2022-04-18 20:00:00,2.211317036221544,
2022-04-18 23:00:00,11.639451040211043,
2022-04-18 23:59:59,13.984029485231531,c
2022-04-19 00:00:00,14.44689870879506,
2022-04-19 01:00:00,12.966180628144684,
2022-04-19 02:30:00,13.554284048324007,
2022-04-19 03:00:00,9.126483507716785,
2022-04-19 18:30:00,9.126483507716785,
2022-04-19 20:00:00,9.126483507716785,
2022-04-19 23:00:00,-5.807981986132745,
2022-04-19 23:59:59,-15.464278355266515,c
2022-04-20 00:00:00,-16.842066479520327,
2022-04-20 01:00:00,-13.026679985216333,
2022-04-20 02:30:00,-4.560091113742601,
2022-04-20 03:00:00,-4.374497531767702,
2022-04-20 18:30:00,-4.374497531767702,
2022-04-20 20:00:00,-4.374497531767702,
2022-04-20 23:00:00,4.874879603934005,
2022-04-20 23:59:59,25.14785006404304,c
2022-04-21 00:00:00,19.997759278809326,
2022-04-21 01:00:00,18.93640162115571,
2022-04-21 02:30:00,21.0164525651021,
2022-04-21 03:00:00,19.686520592011675,
2022-04-21 18:30:00,19.686520592011675,
2022-04-21 20:00:00,19.686520592011675,
2022-04-21 23:00:00,33.038541935638705,
2022-04-21 23:59:59,27.999733325264515,c
2022-04-22 00:00:00,25.677497091355008,
2022-04-22 01:00:00,17.37498996483214,
2022-04-22 02:30:00,23.2003820524983,
2022-04-22 03:00:00,22.847607158223582,
2022-04-22 18:30:00,22.847607158223582,
2022-04-22 20:00:00,22.847607158223582,
2022-04-22 23:00:00,22.847607158223582,
2022-04-22 23:59:59,25.982881593140064,w
2022-04-25 00:00:00,13.87071589175298,
2022-04-25 01:00:00,17.0032806054694,
2022-04-25 02:30:00,20.154517957862026,
2022-04-25 03:00:00,21.34005379622522,
2022-04-25 18:30:00,21.34005379622522,
2022-04-25 20:00:00,21.34005379622522,
2022-04-25 23:00:00,38.15152938153756,
2022-04-25 23:59:59,45.23841682104967,c
2022-04-26 00:00:00,52.90855507129595,
2022-04-26 01:00:00,53.48537066436393,
2022-04-26 02:30:00,54.684020866600804,
2022-04-26 03:00:00,53.4699808634125,
2022-04-26 18:30:00,53.4699808634125,
2022-04-26 20:00:00,53.4699808634125,
2022-04-26 23:00:00,47.03697758591352,
2022-04-26 23:59:59,40.80503609150787,c
2022-04-27 00:00:00,61.84749983937945,
2022-04-27 01:00:00,67.7264226242421,
2022-04-27 02:30:00,65.1854819300952,
2022-04-27 03:00:00,65.19274880342641,
2022-04-27 18:30:00,65.19274880342641,
2022-04-27 20:00:00,65.19274880342641,
2022-04-27 23:00:00,59.863252376752826,
2022-04-27 23:59:59,11.478624560666276,c
2022-04-28 00:00:00,11.354503624964991,
2022-04-28 01:00:00,15.331208852023792,
2022-04-28 02:30:00,10.753999973806003,
2022-04-28 03:00:00,13.47270575190737,
2022-04-28 18:30:00,13.47270575190737,
2022-04-28 20:00:00,13.47270575190737,
2022-04-28 23:00:00,11.123466665204887,
2022-04-28 23:59:59,0.3172925498022323,c
2022-04-29 00:00:00,0.09574729150176609,
2022-04-29 01:00:00,-2.4564521323520694,
2022-04-29 02:30:00,-4.3623954723937,
2022-04-29 03:00:00,-1.9074570392344867,
2022-04-29 18:30:00,-1.9074570392344867,
2022-04-29 20:00:00,-1.9074570392344867,
2022-04-29 23:00:00,-1.9074570392344867,
2022-04-29 23:59:59,2.2278244216952316,w
2022-05-02 00:00:00,4.987608044676108,
2022-05-02 01:00:00,-1.6573194904519823,
2022-05-02 02:30:00,-1.6573194904519823,
2022-05-02 03:00:00,-1.6573194904519823,
